group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Adaptive Helm,3443,0.07235777483555052,3.408,3.452,-0.159,-0.203,-0.136,0.0115,0.043,0.1923,0.3898,0.7191,1.928,-5.96,0.0,True
populaire,Archangels Staff,6713,0.14107979740663681,3.456,3.476,-0.135,-0.155,-0.105,0.0191,0.0362,0.1832,0.3809,0.7123,1.934,-6.11,0.0,True
populaire,Hextech Gunblade,4320,0.09078872706638925,3.462,3.489,-0.122,-0.149,-0.089,0.0111,0.0311,0.1833,0.3738,0.7072,1.936,-4.83,0.0,True
populaire,Rabadons Deathcap,14984,0.3149023811024946,3.52,3.525,-0.086,-0.092,-0.055,0.0271,0.0185,0.1817,0.3719,0.6946,1.977,-4.93,0.0,True
populaire,Blue Buff,6882,0.14463148603492845,3.514,3.526,-0.085,-0.097,-0.048,0.0123,0.0235,0.1726,0.3681,0.6997,1.941,-3.86,0.00011,True
pepite,Morellonomicon,3506,0.07368177710526869,3.516,3.536,-0.075,-0.095,-0.028,0.0055,0.0204,0.1711,0.3705,0.6965,1.949,-2.78,0.00539,True
populaire,Giant Slayer,6036,0.1268520269844272,3.546,3.555,-0.056,-0.065,-0.012,0.0072,0.0166,0.1774,0.367,0.6927,1.992,-2.4,0.01642,True
pepite,Red Buff,2172,0.045646554441712374,3.544,3.565,-0.046,-0.067,0.0,0.0021,0.0195,0.1722,0.366,0.6957,1.961,-1.55,0.12051,False
populaire,Void Staff,8951,0.18811340184519681,3.577,3.581,-0.03,-0.034,0.0,0.0057,0.0061,0.1777,0.3628,0.6823,1.995,-1.47,0.14272,False
populaire,Spear Of Shojin,19322,0.40606939453166047,3.597,3.598,-0.014,-0.014,0.0,0.0055,0.0021,0.1754,0.3619,0.6782,2.013,-0.83,0.40631,False
pepite,Crownguard,50,0.0010507954521572832,3.4,3.601,-0.011,-0.211,0.0,0.0,0.0039,0.26,0.42,0.68,2.173,-0.69,0.49231,False
populaire,Strikers Flail,8416,0.17686989050711388,3.61,3.61,-0.001,-0.001,0.0,0.0001,-0.0028,0.1738,0.3575,0.6734,2.009,-0.03,0.97736,False
pepite,Tacticians Cape,43,0.0009036840888552634,3.581,3.61,-0.001,-0.03,0.0,0.0,-0.025,0.2326,0.2791,0.6512,1.979,-0.1,0.92175,False
pepite,Tacticians Crown,303,0.006367820440073136,3.607,3.61,-0.001,-0.004,0.0,0.0,0.0169,0.1551,0.3399,0.6931,1.984,-0.03,0.9735,False
,Quicksilver,365,0.007670806800748166,3.625,3.615,0.004,0.014,0.0,-0.0,-0.0158,0.1836,0.3808,0.6603,2.108,0.12,0.90223,False
,Titans Resolve,51,0.0010718113612004287,3.706,3.616,0.005,0.095,0.0,-0.0,-0.0291,0.1569,0.3333,0.6471,1.973,0.34,0.73161,False
,Last Whisper,189,0.00397200680915453,3.667,3.62,0.009,0.056,0.0,-0.0,-0.0095,0.1217,0.3069,0.6667,1.843,0.41,0.679,False
,Edge Of Night,136,0.0028581636298678098,3.757,3.629,0.018,0.146,0.0,-0.0001,-0.0732,0.1838,0.3382,0.6029,2.092,0.81,0.4153,False
,Krakens Fury,68,0.0014290818149339049,3.956,3.634,0.023,0.345,0.0,-0.0,-0.132,0.1471,0.3235,0.5441,2.061,1.38,0.16799,False
populaire,Nashors Tooth,17083,0.3590147741840573,3.644,3.643,0.032,0.033,0.0,-0.0114,-0.0046,0.1627,0.3436,0.6715,1.982,1.89,0.05943,False
,Deathblade,60,0.0012609545425887397,4.267,3.65,0.039,0.656,0.147,-0.0,-0.1261,0.1,0.2333,0.55,2.007,2.53,0.01146,True
,Hand Of Justice,688,0.014458945421684214,3.709,3.652,0.041,0.098,0.0,-0.0006,-0.0133,0.1526,0.343,0.6628,2.022,1.27,0.20575,False
,Bloodthirster,63,0.0013240022697181767,4.381,3.659,0.048,0.77,0.228,-0.0001,-0.1206,0.1111,0.2381,0.5556,2.193,2.79,0.00534,True
,Component Giants Belt,45,0.0009457159069415548,5.089,3.678,0.067,1.478,0.856,-0.0001,-0.2539,0.0222,0.1111,0.4222,2.127,4.66,0.0,True
,Infinity Edge,197,0.004140134081499695,4.096,3.694,0.083,0.485,0.19,-0.0003,-0.067,0.1066,0.2893,0.6091,2.113,3.22,0.00129,True
,Component Tear Of The Goddess,358,0.0075236954374461465,3.955,3.705,0.094,0.344,0.13,-0.0007,-0.0839,0.1201,0.3101,0.5922,2.064,3.14,0.00166,True
,Component B F Sword,144,0.0030262909022129754,4.361,3.71,0.099,0.75,0.401,-0.0003,-0.1622,0.1319,0.2292,0.5139,2.136,4.21,3e-05,True
,Component Sparring Gloves,369,0.007754870436920749,4.192,3.773,0.162,0.581,0.352,-0.0013,-0.1395,0.1545,0.2791,0.5366,2.236,4.98,0.0,True
,Guinsoos Rageblade,2177,0.0457516339869281,3.851,3.778,0.167,0.24,0.153,-0.0076,-0.0477,0.135,0.3114,0.6284,2.017,5.42,0.0,True
,Component Recurve Bow,347,0.007292520437971545,4.248,3.781,0.17,0.637,0.419,-0.0012,-0.1228,0.0922,0.2565,0.5533,2.062,5.73,0.0,True
populaire,Jeweled Gauntlet,16401,0.34468192421663196,3.806,3.795,0.184,0.195,0.159,-0.0635,-0.0387,0.1452,0.3159,0.6375,2.007,10.75,0.0,True
,Component Needlessly Large Rod,623,0.013092911333879747,4.167,3.831,0.22,0.556,0.39,-0.0029,-0.0967,0.1075,0.2697,0.5795,2.101,6.56,0.0,True
