group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Elderwood,1672,0.020319126958085725,3.281,3.48,-0.203,-0.403,-0.305,0.0041,0.0579,0.2536,0.442,0.7195,2.023,-8.06,0.0,True
populaire,Emblem Spellweaver,3107,0.03775809058539016,3.443,3.526,-0.157,-0.24,-0.169,0.0059,0.0494,0.1979,0.3872,0.711,1.983,-6.63,0.0,True
populaire,Emblem Invoker,1141,0.013866102786588404,3.609,3.653,-0.03,-0.074,0.0,0.0004,0.008,0.1893,0.369,0.6696,2.044,-1.22,0.22431,False
pepite,Emblem Brawler,53,0.0006440871583603729,3.264,3.67,-0.013,-0.419,0.0,0.0,0.112,0.1887,0.3774,0.7736,1.771,-1.72,0.0852,False
populaire,Emblem Lunar,687,0.008348827882897663,3.648,3.673,-0.01,-0.035,0.0,0.0001,-0.008,0.2096,0.3683,0.6536,2.124,-0.44,0.66337,False
pepite,Emblem Sprykin,157,0.0019079562992939346,3.58,3.674,-0.009,-0.104,0.0,0.0,0.0136,0.1401,0.3248,0.6752,1.869,-0.69,0.48806,False
populaire,Emblem Rapidfire,253,0.0030746047370787608,3.688,3.684,0.001,0.005,0.0,-0.0,-0.0213,0.2016,0.3478,0.6403,2.039,0.04,0.97142,False
,Emblem Slayer,167,0.002029482178229854,3.743,3.689,0.005,0.059,0.0,-0.0,-0.0508,0.1737,0.3772,0.6108,2.094,0.37,0.71427,False
populaire,Emblem Fae,382,0.0046422885753521215,3.717,3.69,0.006,0.034,0.0,-0.0,-0.0071,0.1832,0.3168,0.6545,2.018,0.33,0.74153,False
populaire,Emblem Blossom,1104,0.013416457034525502,3.709,3.694,0.01,0.026,0.0,-0.0001,-0.023,0.1748,0.3433,0.6386,2.058,0.42,0.67545,False
,Emblem Hunter,62,0.0007534604494027003,4.097,3.698,0.015,0.414,0.0,-0.0,-0.1132,0.1129,0.3065,0.5484,2.046,1.59,0.11147,False
,Emblem Defender,91,0.0011058854983168665,4.022,3.701,0.018,0.339,0.0,-0.0,-0.0462,0.1319,0.2967,0.6154,2.086,1.55,0.12144,False
,Emblem Coven,48,0.0005833242188924132,4.917,3.718,0.035,1.234,0.612,-0.0,-0.2658,0.125,0.1667,0.3958,2.197,3.89,0.0001,True
populaire,Emblem Blackthorn,1075,0.013064031985611336,3.774,3.719,0.036,0.091,0.0,-0.0005,-0.0244,0.1786,0.3367,0.6372,2.115,1.4,0.16166,False
populaire,Emblem Primal,310,0.0037673022470135014,4.029,3.738,0.055,0.346,0.111,-0.0002,-0.0874,0.1355,0.3097,0.5742,2.106,2.89,0.00389,True
populaire,Emblem Inferno,990,0.012031062014656022,4.143,3.856,0.173,0.46,0.325,-0.0021,-0.105,0.1434,0.2798,0.5566,2.154,6.69,0.0,True
