group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Archangels Staff Radiant,85,0.0017863522686673813,3.494,3.601,-0.01,-0.117,0.0,0.0,-0.0173,0.1765,0.3529,0.6588,1.851,-0.58,0.56067,False
populaire,Adaptive Helm Radiant,63,0.0013240022697181767,3.698,3.616,0.005,0.087,0.0,-0.0,-0.0412,0.1587,0.3333,0.6349,1.965,0.35,0.72439,False
populaire,Blue Buff Radiant,95,0.0019965113590988378,3.705,3.62,0.009,0.094,0.0,-0.0,-0.013,0.1684,0.3158,0.6632,2.01,0.46,0.6481,False
populaire,Giant Slayer Radiant,45,0.0009457159069415548,3.844,3.622,0.011,0.233,0.0,-0.0,-0.0761,0.1333,0.2667,0.6,1.92,0.81,0.4151,False
populaire,Rabadons Deathcap Radiant,346,0.007271504528928399,3.673,3.628,0.017,0.062,0.0,-0.0001,-0.0172,0.185,0.3555,0.659,2.06,0.56,0.5747,False
populaire,Spear Of Shojin Radiant,137,0.0028791795389109557,3.839,3.64,0.029,0.228,0.0,-0.0001,-0.0484,0.1606,0.2993,0.6277,2.048,1.3,0.19241,False
populaire,Strikers Flail Radiant,91,0.0019124477229262552,3.945,3.64,0.029,0.334,0.0,-0.0001,-0.0607,0.1099,0.3077,0.6154,2.088,1.52,0.12736,False
populaire,Void Staff Radiant,74,0.001555177269192779,4.378,3.666,0.055,0.767,0.279,-0.0001,-0.1626,0.1486,0.2027,0.5135,2.142,3.08,0.00207,True
populaire,Jeweled Gauntlet Radiant,156,0.003278481810730723,4.25,3.701,0.09,0.639,0.332,-0.0003,-0.1313,0.0962,0.2115,0.5449,1.95,4.09,4e-05,True
populaire,Nashors Tooth Radiant,305,0.006409852258159427,4.01,3.708,0.097,0.399,0.179,-0.0006,-0.0663,0.0721,0.2787,0.6098,1.954,3.55,0.00038,True
