group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Dawncore + Rabadons Deathcap,763,0.009550393030591298,3.101,3.53,-0.205,-0.634,-0.499,0.002,0.1147,0.2477,0.4626,0.7667,1.901,-9.17,0.0,True
populaire,Archangels Staff + Spear Of Shojin,4279,0.05355980573774596,3.477,3.547,-0.188,-0.258,-0.197,0.0101,0.0568,0.1968,0.3821,0.7088,2.0,-8.22,0.0,True
pepite,Dawncore + Spear Of Shojin,491,0.006145796825714715,2.998,3.562,-0.173,-0.737,-0.566,0.0011,0.1178,0.277,0.5071,0.7699,1.928,-8.44,0.0,True
pepite,Archangels Staff + Rabadons Deathcap,2567,0.032130876683522755,3.47,3.572,-0.163,-0.265,-0.187,0.0052,0.0636,0.1983,0.3744,0.7156,1.986,-6.65,0.0,True
populaire,Rabadons Deathcap + Spear Of Shojin,11241,0.14070244830521203,3.565,3.586,-0.149,-0.17,-0.13,0.021,0.0288,0.1859,0.3731,0.6808,2.023,-8.35,0.0,True
pepite,Emblem Spellweaver + Spear Of Shojin,751,0.009400190256846743,3.31,3.599,-0.136,-0.425,-0.283,0.0013,0.0737,0.221,0.4248,0.7257,1.981,-5.85,0.0,True
pepite,Hextech Gunblade + Rabadons Deathcap,1126,0.014094026936364091,3.409,3.601,-0.135,-0.326,-0.211,0.0019,0.0753,0.1838,0.3979,0.7274,1.947,-5.57,0.0,True
pepite,Blue Buff + Rabadons Deathcap,2925,0.036611926100235316,3.539,3.609,-0.127,-0.196,-0.123,0.0046,0.0478,0.1747,0.3515,0.6998,1.959,-5.3,0.0,True
,Archangels Staff + Strikers Flail,1461,0.01828718770339959,3.483,3.615,-0.121,-0.253,-0.151,0.0022,0.0509,0.1821,0.3847,0.7029,1.962,-4.87,0.0,True
,Archangels Staff + Blue Buff,1165,0.014582185951033895,3.451,3.615,-0.12,-0.285,-0.173,0.0017,0.0561,0.188,0.3811,0.7082,1.932,-4.99,0.0,True
,Archangels Staff + Void Staff,1213,0.015182997046012116,3.471,3.621,-0.114,-0.264,-0.155,0.0017,0.0611,0.1855,0.3693,0.7131,1.926,-4.74,0.0,True
,Adaptive Helm + Archangels Staff,1018,0.012742201972663096,3.443,3.622,-0.114,-0.292,-0.173,0.0014,0.067,0.1896,0.3733,0.7191,1.927,-4.8,0.0,True
,Emblem Spellweaver + Rabadons Deathcap,478,0.005983077154158113,3.245,3.622,-0.113,-0.49,-0.318,0.0007,0.0948,0.2259,0.4351,0.7469,1.915,-5.58,0.0,True
,Hextech Gunblade + Void Staff,858,0.010739498322735692,3.417,3.624,-0.111,-0.318,-0.189,0.0012,0.0566,0.1888,0.3986,0.7086,1.918,-4.83,0.0,True
,Hextech Gunblade + Spear Of Shojin,1680,0.021028388324237722,3.526,3.628,-0.107,-0.209,-0.112,0.0023,0.048,0.1756,0.3821,0.7,1.998,-4.24,2e-05,True
populaire,Nashors Tooth + Rabadons Deathcap,9982,0.12494367395984579,3.616,3.632,-0.103,-0.12,-0.078,0.0129,0.0264,0.1674,0.3519,0.6784,1.989,-5.65,0.0,True
,Red Buff + Void Staff,644,0.008060882190957793,3.38,3.633,-0.102,-0.355,-0.205,0.0008,0.0871,0.1863,0.3975,0.7391,1.934,-4.64,0.0,True
,Adaptive Helm + Spear Of Shojin,1392,0.0174235217543684,3.524,3.637,-0.098,-0.212,-0.108,0.0017,0.0441,0.1616,0.3786,0.6961,1.958,-3.99,7e-05,True
,Emblem Spellweaver + Nashors Tooth,570,0.00713463175286637,3.375,3.641,-0.095,-0.36,-0.197,0.0007,0.0918,0.2105,0.3912,0.7439,1.98,-4.32,2e-05,True
,Archangels Staff + Hextech Gunblade,737,0.009224953687478095,3.46,3.648,-0.087,-0.275,-0.136,0.0008,0.0752,0.1764,0.3677,0.7273,1.918,-3.88,0.00011,True
