group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Lux Unique Trait,7540,0.10508857266303363,2.974,3.093,-0.625,-0.744,-0.698,0.0657,0.1277,0.2887,0.5118,0.7834,1.924,-31.78,0.0,True
pepite,Executioner,18633,0.25969699926131373,3.103,3.147,-0.571,-0.615,-0.585,0.1484,0.124,0.2187,0.4513,0.7797,1.805,-40.39,0.0,True
pepite,Elderwood,743,0.01035554502501777,2.055,3.151,-0.567,-1.663,-1.564,0.0059,0.2783,0.4643,0.7268,0.9341,1.354,-33.09,0.0,True
pepite,Alune Unique Trait,8526,0.11883092447281496,3.18,3.257,-0.46,-0.538,-0.494,0.0547,0.097,0.2379,0.4529,0.7528,1.932,-24.18,0.0,True
pepite,Brawler,18629,0.25964124935539173,3.275,3.307,-0.411,-0.443,-0.412,0.1068,0.0839,0.2193,0.4204,0.7396,1.923,-27.71,0.0,True
pepite,Greenfather,12750,0.1777028251264826,3.275,3.32,-0.398,-0.443,-0.405,0.0707,0.0738,0.2458,0.4405,0.7296,2.02,-22.8,0.0,True
,Emerald,13200,0.1839746895427114,3.329,3.367,-0.351,-0.389,-0.352,0.0646,0.0668,0.233,0.4261,0.7226,2.018,-20.35,0.0,True
populaire,Inferno,28981,0.4039220058816151,3.371,3.387,-0.331,-0.347,-0.321,0.1336,0.0701,0.197,0.3996,0.7259,1.932,-25.46,0.0,True
,Defender,1117,0.015568161228727926,3.036,3.419,-0.299,-0.682,-0.576,0.0046,0.1357,0.214,0.4816,0.7914,1.783,-12.66,0.0,True
populaire,Spellweaver,28366,0.3953504578461024,3.412,3.427,-0.291,-0.306,-0.278,0.115,0.0595,0.1932,0.3989,0.7152,1.961,-22.02,0.0,True
,Elderwood,3852,0.05368715940291851,3.323,3.431,-0.287,-0.394,-0.335,0.0154,0.0847,0.1898,0.3897,0.7404,1.837,-12.91,0.0,True
,Maokai Unique Trait,15281,0.21297857809864945,3.411,3.437,-0.281,-0.307,-0.272,0.0599,0.0488,0.2273,0.4068,0.7045,2.036,-16.96,0.0,True
,Elderwood,9826,0.13694964389747594,3.4,3.441,-0.277,-0.318,-0.276,0.038,0.0589,0.2122,0.4015,0.7146,1.997,-14.77,0.0,True
,Sprykin,1994,0.027791328102133826,3.266,3.455,-0.263,-0.452,-0.371,0.0073,0.0965,0.182,0.4127,0.7523,1.815,-10.94,0.0,True
,Rival,2305,0.03212588328757195,3.321,3.474,-0.244,-0.396,-0.317,0.0078,0.0805,0.1931,0.4178,0.7362,1.911,-9.79,0.0,True
,Inferno,4484,0.06249564453859984,3.426,3.497,-0.221,-0.292,-0.232,0.0138,0.0543,0.1942,0.3967,0.7101,1.974,-9.59,0.0,True
,Blossom,7305,0.10181326569011415,3.455,3.498,-0.219,-0.263,-0.216,0.0223,0.0572,0.1725,0.3793,0.7129,1.926,-11.05,0.0,True
,Rival,349,0.0048641792916974454,2.596,3.498,-0.219,-1.122,-0.962,0.0011,0.2182,0.2865,0.5616,0.8739,1.52,-13.73,0.0,True
,Juggernaut,1250,0.01742184560063555,3.292,3.52,-0.198,-0.426,-0.315,0.0035,0.0715,0.2368,0.4224,0.7272,1.984,-7.52,0.0,True
,Elderwood,109,0.00151918493637542,1.055,3.53,-0.188,-2.663,-2.611,0.0003,0.3443,0.9541,0.9908,1.0,0.265,-100.45,0.0,True
,Blackthorn,4655,0.06487895301676679,3.494,3.547,-0.171,-0.224,-0.166,0.0111,0.0474,0.1777,0.3811,0.7031,1.972,-7.51,0.0,True
,Brawler,624,0.008696985323837267,3.17,3.552,-0.166,-0.548,-0.41,0.0014,0.1263,0.2099,0.399,0.7821,1.744,-7.8,0.0,True
,Lunar,794,0.011066356325523701,3.281,3.562,-0.156,-0.437,-0.302,0.0017,0.071,0.228,0.427,0.7267,1.932,-6.34,0.0,True
,Rapidfire,1568,0.021853963121437232,3.419,3.562,-0.156,-0.299,-0.198,0.0034,0.0496,0.1964,0.4171,0.7054,2.007,-5.83,0.0,True
,Blackthorn,1390,0.01937309230790673,3.419,3.571,-0.147,-0.298,-0.191,0.0028,0.0421,0.2187,0.4216,0.6978,2.03,-5.43,0.0,True
,Spellweaver,581,0.008097673835175402,3.21,3.572,-0.146,-0.508,-0.355,0.0012,0.1033,0.2186,0.4131,0.759,1.868,-6.52,0.0,True
,Spellweaver,1806,0.025171082523798242,3.466,3.577,-0.141,-0.252,-0.162,0.0035,0.0574,0.1777,0.371,0.7132,1.929,-5.48,0.0,True
populaire,Executioner,25950,0.361677514669194,3.573,3.58,-0.137,-0.145,-0.117,0.0497,0.0296,0.1778,0.3576,0.6853,1.985,-10.03,0.0,True
,Sprykin,335,0.004669054620970327,3.042,3.59,-0.128,-0.676,-0.495,0.0006,0.1473,0.1851,0.4567,0.803,1.689,-7.3,0.0,True
,Lunar,272,0.0037909936026982952,2.989,3.602,-0.116,-0.729,-0.497,0.0004,0.1347,0.2978,0.4926,0.7904,1.945,-6.17,0.0,True
,Lunar,3748,0.05223766184894563,3.572,3.613,-0.105,-0.146,-0.079,0.0055,0.0217,0.1836,0.3759,0.6774,2.026,-4.29,2e-05,True
populaire,Defender,26552,0.37006787551046005,3.629,3.634,-0.084,-0.089,-0.061,0.0312,0.0182,0.1667,0.3537,0.6739,2.004,-6.16,0.0,True
,Slayer,2444,0.03406319251836262,3.609,3.649,-0.068,-0.109,-0.026,0.0023,0.0186,0.1735,0.3736,0.6743,2.04,-2.59,0.0096,True
