group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Lux Base,7920,0.1053247513165594,2.973,3.092,-0.628,-0.747,-0.702,0.0661,0.1265,0.292,0.5138,0.7817,1.936,-32.51,0.0,True
populaire,Gnar Small,15207,0.20223150167562104,3.093,3.149,-0.57,-0.627,-0.594,0.1153,0.119,0.2513,0.4587,0.7742,1.87,-37.13,0.0,True
populaire,Kennen,39836,0.529762221394755,3.18,3.199,-0.521,-0.54,-0.517,0.2758,0.1052,0.2217,0.4393,0.7604,1.87,-45.23,0.0,True
pepite,Alune,9096,0.12096388105750305,3.16,3.239,-0.48,-0.56,-0.517,0.0581,0.1014,0.2419,0.4587,0.7566,1.93,-25.97,0.0,True
pepite,Ivern,13684,0.18197776477472205,3.253,3.299,-0.421,-0.467,-0.43,0.0766,0.0776,0.2512,0.445,0.7328,2.015,-24.91,0.0,True
pepite,Taric,14112,0.187669556891324,3.329,3.367,-0.353,-0.391,-0.354,0.0663,0.067,0.2348,0.4257,0.7222,2.019,-21.07,0.0,True
pepite,Cassiopeia,6504,0.08649396244481089,3.312,3.389,-0.331,-0.408,-0.359,0.0286,0.0901,0.1668,0.4305,0.7452,1.906,-16.46,0.0,True
pepite,Kha Zix,2422,0.03220916006170541,3.192,3.394,-0.326,-0.528,-0.452,0.0105,0.1016,0.2126,0.4459,0.7568,1.87,-13.64,0.0,True
,Rammus,10028,0.13335815734879514,3.363,3.41,-0.31,-0.356,-0.317,0.0413,0.0786,0.1649,0.4084,0.7337,1.889,-17.59,0.0,True
populaire,Maokai,16321,0.21704611947444014,3.419,3.444,-0.275,-0.301,-0.266,0.0598,0.0468,0.2276,0.4057,0.702,2.042,-17.08,0.0,True
,Rengar,772,0.010266503537422204,3.003,3.476,-0.243,-0.717,-0.587,0.0025,0.1492,0.2345,0.4845,0.8044,1.83,-10.82,0.0,True
,Ashe,1802,0.023964040640459598,3.394,3.542,-0.178,-0.326,-0.233,0.0043,0.0568,0.2114,0.3984,0.712,1.981,-6.89,0.0,True
,Ahri,9721,0.12927549337730732,3.544,3.568,-0.152,-0.176,-0.134,0.0197,0.0405,0.172,0.3645,0.6957,1.975,-8.22,0.0,True
populaire,Ezreal,27630,0.36743975743390606,3.571,3.579,-0.141,-0.149,-0.121,0.0519,0.0284,0.1828,0.3616,0.6835,1.998,-10.55,0.0,True
,Le Blanc,9765,0.12986063088462152,3.56,3.581,-0.139,-0.16,-0.118,0.018,0.0303,0.1821,0.3621,0.6855,1.989,-7.47,0.0,True
,Ornn,11263,0.14978190329272834,3.562,3.58,-0.139,-0.158,-0.118,0.0209,0.0283,0.1838,0.3679,0.6835,2.005,-7.79,0.0,True
,Alistar,14916,0.19836161497952018,3.581,3.594,-0.126,-0.139,-0.103,0.025,0.0213,0.1956,0.3658,0.6765,2.04,-7.58,0.0,True
,Sett,9732,0.12942177775413585,3.608,3.623,-0.097,-0.112,-0.07,0.0125,0.0278,0.1647,0.3536,0.683,1.987,-5.21,0.0,True
,Teemo,619,0.008231820841534124,3.447,3.64,-0.079,-0.272,-0.128,0.0007,0.0734,0.1276,0.3748,0.7286,1.823,-3.7,0.00022,True
,Yunara,8902,0.11838395659343583,3.658,3.667,-0.053,-0.062,-0.018,0.0063,0.0188,0.1543,0.3378,0.674,1.975,-2.79,0.00532,True
,Xayah,4791,0.06371349539869142,3.662,3.676,-0.044,-0.058,0.0,0.0028,0.0013,0.1826,0.3482,0.6564,2.027,-1.92,0.05539,True
,Leona,1100,0.014628437682855471,3.618,3.677,-0.043,-0.102,0.0,0.0006,0.0221,0.1427,0.3573,0.6773,1.947,-1.72,0.08618,True
populaire,Fiddlesticks,56387,0.7498670142028832,3.694,3.695,-0.025,-0.025,-0.003,0.0184,0.0078,0.157,0.3392,0.6629,2.012,-2.24,0.02488,True
,Kobuko,2086,0.027740837278578647,3.689,3.702,-0.018,-0.031,0.0,0.0005,0.0097,0.14,0.3327,0.6649,1.958,-0.71,0.47825,False
,Aphelios,1594,0.021197936060428746,3.696,3.708,-0.012,-0.023,0.0,0.0003,0.0023,0.1675,0.3494,0.6575,2.046,-0.45,0.65174,False
,Elder Dragon,707,0.009402095856162562,3.713,3.718,-0.002,-0.007,0.0,0.0,0.0011,0.1924,0.3437,0.6563,2.111,-0.09,0.93143,False
,Draven,1727,0.02296664716208309,3.723,3.721,0.002,0.003,0.0,-0.0,-0.0124,0.1951,0.3434,0.6427,2.109,0.06,0.95477,False
,Veigar,5469,0.07272993244321506,3.725,3.724,0.004,0.006,0.0,-0.0003,0.002,0.1477,0.3341,0.6572,2.005,0.2,0.84124,False
populaire,Amumu,43053,0.5725437523272514,3.727,3.727,0.007,0.007,0.0,-0.0041,-0.0039,0.167,0.3368,0.6513,2.048,0.6,0.54526,False
