group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Crownguard + Protectors Vow + Spirit Visage,148,0.003120322152178955,2.872,3.269,-0.062,-0.459,-0.137,0.0002,0.0619,0.3176,0.5676,0.777,2.001,-2.79,0.00529,True
pepite,Protectors Vow + Steadfast Heart + Warmogs Armor,167,0.0035209040500938206,2.94,3.273,-0.059,-0.391,-0.103,0.0002,0.0693,0.2814,0.5389,0.7844,1.898,-2.66,0.00788,True
pepite,Crownguard + Evenshroud + Sunfire Cape,67,0.0014125782715945269,2.433,3.272,-0.059,-0.898,-0.52,0.0001,0.2103,0.3731,0.6119,0.9254,1.576,-4.66,0.0,True
pepite,Bramble Vest + Crownguard + Gargoyle Stoneplate,99,0.0020872425207143007,2.778,3.279,-0.052,-0.553,-0.152,0.0001,0.1031,0.3737,0.5859,0.8182,2.033,-2.71,0.00682,True
pepite,Crownguard + Evenshroud + Warmogs Armor,78,0.001644494107229449,2.641,3.279,-0.052,-0.69,-0.312,0.0001,0.1567,0.3462,0.5513,0.8718,1.702,-3.58,0.00035,True
pepite,Evenshroud + Steadfast Heart + Sunfire Cape,69,0.0014547447871645126,2.594,3.281,-0.05,-0.737,-0.324,0.0001,0.111,0.3623,0.6087,0.8261,1.747,-3.5,0.00047,True
,Crownguard + Gargoyle Stoneplate + Steadfast Heart,140,0.0029516560898990114,2.957,3.283,-0.048,-0.374,-0.08,0.0001,0.0778,0.2714,0.4857,0.7929,1.772,-2.49,0.01271,True
,Evenshroud + Gargoyle Stoneplate + Warmogs Armor,381,0.00803272121608231,3.176,3.287,-0.044,-0.155,0.0,0.0004,0.0356,0.2625,0.4619,0.7507,2.026,-1.49,0.13621,False
,Dragons Claw + Evenshroud + Protectors Vow,62,0.001307161982669562,2.613,3.287,-0.044,-0.718,-0.274,0.0001,0.172,0.3226,0.5968,0.8871,1.781,-3.17,0.00151,True
,Gargoyle Stoneplate + Ionic Spark + Protectors Vow,79,0.001665577365014442,2.772,3.288,-0.043,-0.559,-0.168,0.0001,0.1457,0.3038,0.519,0.8608,1.771,-2.8,0.00509,True
,Evenshroud + Protectors Vow + Steadfast Heart,63,0.001328245240454555,2.635,3.288,-0.043,-0.696,-0.262,0.0001,0.1738,0.3016,0.5714,0.8889,1.758,-3.14,0.00168,True
,Bramble Vest + Crownguard + Warmogs Armor,72,0.0015179945605194914,2.736,3.289,-0.042,-0.595,-0.129,0.0001,0.0627,0.375,0.6389,0.7778,2.014,-2.51,0.01224,True
,Crownguard + Protectors Vow + Warmogs Armor,177,0.0037317366279437498,3.068,3.29,-0.041,-0.263,0.0,0.0002,0.042,0.2655,0.4972,0.7571,1.939,-1.8,0.07134,False
,Gargoyle Stoneplate + Ionic Spark + Steadfast Heart,65,0.001370411756024541,2.692,3.29,-0.041,-0.639,-0.195,0.0001,0.1003,0.3846,0.5692,0.8154,1.822,-2.82,0.00475,True
,Crownguard + Spirit Visage + Warmogs Armor,192,0.004047985494718644,3.099,3.292,-0.039,-0.232,0.0,0.0002,0.0401,0.25,0.5,0.7552,1.954,-1.64,0.10047,False
,Bramble Vest + Crownguard + Protectors Vow,44,0.0009276633425396892,2.455,3.292,-0.039,-0.877,-0.416,0.0,0.194,0.3182,0.5909,0.9091,1.559,-3.73,0.00019,True
populaire,Crownguard + Gargoyle Stoneplate + Warmogs Armor,632,0.013324618920115536,3.236,3.293,-0.038,-0.095,0.0,0.0005,0.0096,0.2769,0.4604,0.7247,2.084,-1.14,0.25316,False
,Crownguard + Dragons Claw + Spirit Visage,82,0.0017288271383694208,2.854,3.293,-0.038,-0.477,-0.093,0.0001,0.1142,0.2561,0.5122,0.8293,1.775,-2.43,0.01495,True
,Bramble Vest + Crownguard + Spirit Visage,73,0.0015390778183044843,2.795,3.293,-0.038,-0.537,-0.085,0.0001,0.1068,0.3425,0.5753,0.8219,1.965,-2.33,0.01975,False
,Bramble Vest + Crownguard + Dragons Claw,51,0.0010752461470346399,2.588,3.293,-0.038,-0.743,-0.284,0.0,0.128,0.3725,0.5686,0.8431,1.671,-3.17,0.00151,True
,Dragons Claw + Steadfast Heart + Sunfire Cape,60,0.0012649954670995761,2.717,3.295,-0.037,-0.614,-0.14,0.0,0.1016,0.3333,0.6,0.8167,1.872,-2.54,0.01105,True
,Gargoyle Stoneplate + Gargoyle Stoneplate + Steadfast Heart,142,0.002993822605468997,3.056,3.295,-0.036,-0.275,0.0,0.0001,0.0736,0.2394,0.4859,0.7887,1.898,-1.72,0.08505,False
,Ionic Spark + Sunfire Cape + Warmogs Armor,67,0.0014125782715945269,2.791,3.295,-0.036,-0.54,-0.076,0.0001,0.061,0.3881,0.5821,0.7761,1.936,-2.28,0.0225,False
,Adaptive Helm + Evenshroud + Protectors Vow,57,0.0012017456937445975,2.702,3.295,-0.036,-0.629,-0.186,0.0,0.1445,0.2807,0.5789,0.8596,1.706,-2.78,0.00539,True
,Gargoyle Stoneplate + Protectors Vow + Steadfast Heart,240,0.0050599818683983045,3.158,3.296,-0.035,-0.173,0.0,0.0002,0.0099,0.2958,0.4792,0.725,2.041,-1.31,0.19088,False
,Evenshroud + Sunfire Cape + Warmogs Armor,101,0.002129409036284287,2.98,3.297,-0.034,-0.351,0.0,0.0001,0.0968,0.2772,0.5248,0.8119,1.945,-1.81,0.07009,False
,Bramble Vest + Gargoyle Stoneplate + Steadfast Heart,97,0.002045076005144315,2.969,3.298,-0.034,-0.362,0.0,0.0001,0.0581,0.3505,0.5155,0.7732,2.023,-1.76,0.07826,False
,Bramble Vest + Spirit Visage + Steadfast Heart,80,0.001686660622799435,2.9,3.298,-0.034,-0.431,-0.035,0.0001,0.1099,0.225,0.55,0.825,1.807,-2.13,0.03303,False
,Crownguard + Sunfire Cape + Warmogs Armor,78,0.001644494107229449,2.885,3.297,-0.034,-0.446,-0.032,0.0001,0.0926,0.3077,0.5385,0.8077,1.867,-2.11,0.03488,False
,Evenshroud + Gargoyle Stoneplate + Steadfast Heart,101,0.002129409036284287,2.99,3.298,-0.033,-0.341,0.0,0.0001,0.0671,0.2871,0.4653,0.7822,1.805,-1.9,0.05792,False
,Crownguard + Gargoyle Stoneplate + Ionic Spark,46,0.0009698298581096751,2.609,3.298,-0.033,-0.722,-0.294,0.0,0.1327,0.2826,0.5435,0.8478,1.481,-3.3,0.00095,True
,Crownguard + Gargoyle Stoneplate + Gargoyle Stoneplate,134,0.0028251565431890537,3.075,3.299,-0.032,-0.256,0.0,0.0001,0.0909,0.2388,0.4701,0.806,1.907,-1.55,0.12007,False
,Emblem Juggernaut + Gargoyle Stoneplate + Warmogs Armor,74,0.0015601610760894774,2.892,3.299,-0.032,-0.439,-0.022,0.0,0.0957,0.2973,0.4865,0.8108,1.827,-2.07,0.03888,False
,Crownguard + Protectors Vow + Steadfast Heart,70,0.0014758280449495057,2.871,3.3,-0.032,-0.46,-0.054,0.0,0.1278,0.2857,0.4857,0.8429,1.731,-2.22,0.02648,False
,Adaptive Helm + Spirit Visage + Steadfast Heart,52,0.0010963294048196327,2.712,3.299,-0.032,-0.62,-0.16,0.0,0.1118,0.3654,0.5,0.8269,1.691,-2.64,0.00829,True
,Dragons Claw + Protectors Vow + Spirit Visage,146,0.0030781556366089686,3.096,3.3,-0.031,-0.235,0.0,0.0001,0.0452,0.226,0.4521,0.7603,1.841,-1.54,0.12327,False
,Bramble Vest + Evenshroud + Warmogs Armor,107,0.002255908582994244,3.028,3.3,-0.031,-0.303,0.0,0.0001,0.0513,0.2804,0.486,0.7664,1.857,-1.69,0.09178,False
,Protectors Vow + Spirit Visage + Sunfire Cape,167,0.0035209040500938206,3.132,3.301,-0.03,-0.199,0.0,0.0001,0.0574,0.2455,0.479,0.7725,1.913,-1.34,0.17889,False
,Evenshroud + Protectors Vow + Warmogs Armor,140,0.0029516560898990114,3.1,3.301,-0.03,-0.231,0.0,0.0001,0.0563,0.2714,0.45,0.7714,1.925,-1.42,0.15606,False
,Evenshroud + Spirit Visage + Warmogs Armor,141,0.0029727393476840043,3.106,3.302,-0.029,-0.225,0.0,0.0001,0.0367,0.2766,0.4965,0.7518,2.006,-1.33,0.18411,False
,Crownguard + Spirit Visage + Steadfast Heart,86,0.0018131601695093925,3.0,3.304,-0.028,-0.331,0.0,0.0,0.0523,0.2674,0.5116,0.7674,1.874,-1.64,0.10167,False
,Evenshroud + Steadfast Heart + Warmogs Armor,75,0.0015812443338744703,2.947,3.303,-0.028,-0.384,0.0,0.0,0.0582,0.28,0.4933,0.7733,1.788,-1.86,0.06287,False
,Adaptive Helm + Crownguard + Protectors Vow,71,0.0014969113027344986,2.93,3.303,-0.028,-0.402,0.0,0.0,0.0595,0.338,0.4789,0.7746,1.818,-1.86,0.06298,False
,Ionic Spark + Spirit Visage + Warmogs Armor,70,0.0014758280449495057,2.929,3.303,-0.028,-0.403,0.0,0.0,0.0992,0.2571,0.5286,0.8143,1.9,-1.77,0.07652,False
,Bramble Vest + Evenshroud + Sunfire Cape,54,0.0011384959203896187,2.815,3.303,-0.028,-0.516,-0.08,0.0,0.1182,0.2778,0.5185,0.8333,1.634,-2.32,0.02034,False
,Crownguard + Ionic Spark + Warmogs Armor,42,0.0008854968269697034,2.667,3.303,-0.028,-0.664,-0.121,0.0,0.1182,0.3095,0.619,0.8333,1.795,-2.4,0.01651,False
,Bramble Vest + Protectors Vow + Steadfast Heart,40,0.0008433303113997175,2.65,3.304,-0.028,-0.681,-0.107,0.0,0.1349,0.35,0.575,0.85,1.851,-2.33,0.02004,False
,Spirit Visage + Steadfast Heart + Warmogs Armor,196,0.004132318525858616,3.173,3.304,-0.027,-0.158,0.0,0.0001,0.0451,0.2296,0.4643,0.7602,1.925,-1.14,0.25263,False
,Crownguard + Evenshroud + Gargoyle Stoneplate,131,0.0027619067698340747,3.107,3.304,-0.027,-0.224,0.0,0.0001,0.0025,0.313,0.5267,0.7176,2.105,-1.22,0.22336,False
,Adaptive Helm + Crownguard + Sunfire Cape,40,0.0008433303113997175,2.675,3.305,-0.027,-0.656,-0.199,0.0,0.1349,0.3,0.5,0.85,1.473,-2.82,0.00488,True
,Crownguard + Gargoyle Stoneplate + Protectors Vow,278,0.005861145664228036,3.216,3.305,-0.026,-0.115,0.0,0.0002,0.0187,0.277,0.4748,0.7338,2.097,-0.91,0.36078,False
,Evenshroud + Spirit Visage + Sunfire Cape,120,0.0025299909341991523,3.1,3.305,-0.026,-0.231,0.0,0.0001,0.0349,0.2917,0.525,0.75,2.107,-1.2,0.23011,False
,Crownguard + Crownguard + Gargoyle Stoneplate,48,0.001011996373679661,2.792,3.305,-0.026,-0.539,-0.092,0.0,0.1182,0.2292,0.5417,0.8333,1.581,-2.36,0.01815,False
