group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Ionic Spark,2417,0.04684380874857065,2.947,3.06,-0.265,-0.379,-0.301,0.0124,0.073,0.2925,0.5048,0.789,1.888,-9.6,0.0,True
populaire,Crownguard,6169,0.11956121479931003,3.07,3.106,-0.219,-0.255,-0.203,0.0261,0.0454,0.2798,0.4951,0.7614,1.979,-9.54,0.0,True
populaire,Steadfast Heart,5836,0.1131073512025893,3.094,3.129,-0.196,-0.231,-0.178,0.0222,0.0469,0.2608,0.48,0.7629,1.94,-8.58,0.0,True
populaire,Evenshroud,5062,0.09810647905886001,3.114,3.15,-0.175,-0.211,-0.153,0.0172,0.0392,0.2764,0.4783,0.7552,1.99,-7.18,0.0,True
pepite,Emblem Juggernaut,525,0.010175010175010175,2.844,3.163,-0.162,-0.481,-0.322,0.0017,0.0859,0.3124,0.5295,0.8019,1.852,-5.92,0.0,True
pepite,Emblem Brawler,381,0.007384150241293098,2.921,3.216,-0.109,-0.404,-0.219,0.0008,0.0793,0.2808,0.5118,0.7953,1.833,-4.28,2e-05,True
populaire,Bramble Vest,5639,0.10928929976549025,3.214,3.232,-0.094,-0.111,-0.055,0.0102,0.0226,0.2538,0.4598,0.7386,2.011,-3.92,9e-05,True
pepite,Emblem Elderwood,869,0.01684206446111208,3.136,3.239,-0.087,-0.189,-0.056,0.0015,0.0412,0.2785,0.4591,0.7572,1.987,-2.78,0.00537,True
pepite,Adaptive Helm,3882,0.07523693237978953,3.221,3.243,-0.082,-0.104,-0.039,0.0062,0.0267,0.2481,0.4575,0.7427,2.006,-3.11,0.00185,True
populaire,Protectors Vow,10679,0.20696939744558793,3.284,3.287,-0.038,-0.041,0.0,0.0078,0.0097,0.2482,0.4441,0.7257,2.042,-1.9,0.05727,True
pepite,Steraks Gage,564,0.010930868073725217,3.254,3.3,-0.025,-0.072,0.0,0.0003,0.0251,0.2234,0.4592,0.7411,2.043,-0.83,0.40794,False
populaire,Sunfire Cape,7925,0.15359420121324882,3.304,3.306,-0.019,-0.022,0.0,0.0029,0.0088,0.23,0.4366,0.7248,2.002,-0.89,0.374,False
populaire,Dragons Claw,6795,0.13169370312227455,3.319,3.32,-0.005,-0.006,0.0,0.0007,0.0041,0.2313,0.4325,0.7201,2.009,-0.22,0.8239,False
,Gargoyle Stoneplate Radiant,52,0.0010078105316200555,3.385,3.328,0.003,0.059,0.0,-0.0,0.0148,0.25,0.3846,0.7308,1.953,0.22,0.82625,False
,Warmogs Armor Radiant,87,0.0016861445432874004,3.379,3.329,0.004,0.054,0.0,-0.0,-0.0033,0.2299,0.4483,0.7126,2.119,0.24,0.81163,False
,Titans Resolve,66,0.0012791441362869935,3.47,3.334,0.009,0.145,0.0,-0.0,-0.0645,0.2576,0.4242,0.6515,2.141,0.55,0.58348,False
,Spirit Visage Radiant,44,0.0008527627575246623,3.568,3.335,0.01,0.243,0.0,-0.0,-0.0342,0.25,0.3636,0.6818,2.115,0.76,0.44605,False
,Lightshield Crest,282,0.005465434036862608,3.376,3.336,0.011,0.051,0.0,-0.0001,-0.0103,0.2482,0.461,0.7057,2.139,0.4,0.69103,False
,Emblem Invoker,62,0.0012016202492392968,3.613,3.341,0.016,0.288,0.0,-0.0,-0.0708,0.2419,0.4032,0.6452,2.239,1.01,0.3117,False
,Forbidden Idol,66,0.0012791441362869935,3.697,3.347,0.022,0.372,0.0,-0.0,-0.0948,0.1818,0.4394,0.6212,2.222,1.36,0.17428,False
,Emblem Lunar,58,0.0011240963621916003,3.793,3.35,0.025,0.468,0.0,-0.0,-0.0953,0.1552,0.3103,0.6207,2.049,1.74,0.08215,False
,Emblem Defender,258,0.0050002907145764285,3.453,3.351,0.026,0.128,0.0,-0.0001,-0.0183,0.2287,0.376,0.6977,2.025,1.02,0.30986,False
,Void Gauntlet,70,0.00135666802333469,3.886,3.361,0.036,0.561,0.046,-0.0,-0.1303,0.1571,0.3571,0.5857,2.194,2.14,0.03268,True
,Hullcrusher,60,0.0011628583057154485,4.017,3.363,0.038,0.692,0.119,-0.0,-0.1827,0.1667,0.3833,0.5333,2.262,2.37,0.01793,True
populaire,Warmogs Armor,17594,0.34098881717929336,3.373,3.37,0.045,0.048,0.013,-0.0154,-0.0113,0.2339,0.4285,0.7047,2.056,2.67,0.00766,True
,Aegis Of Dusk,103,0.001996240091478187,3.816,3.37,0.045,0.49,0.077,-0.0001,-0.0849,0.1845,0.3204,0.6311,2.14,2.32,0.02012,True
,The Indomitable,296,0.005736767641529546,3.534,3.372,0.047,0.209,0.0,-0.0003,-0.0302,0.2061,0.3818,0.6858,2.045,1.75,0.08003,False
