group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Zhonyas Paradox,46,0.0008915247010485106,3.283,3.323,-0.002,-0.043,0.0,0.0,0.0014,0.2826,0.4565,0.7174,2.143,-0.13,0.893,False
populaire,Lightshield Crest,603,0.011686725972440259,3.406,3.355,0.03,0.081,0.0,-0.0003,-0.0244,0.257,0.4345,0.6915,2.137,0.93,0.35353,False
,Seekers Armguard,46,0.0008915247010485106,4.087,3.358,0.033,0.762,0.099,-0.0,-0.216,0.1739,0.3696,0.5,2.292,2.25,0.02423,True
populaire,Silvermere Dawn,59,0.0011434773339535245,4.051,3.364,0.039,0.726,0.191,-0.0,-0.1058,0.1525,0.2542,0.6102,2.095,2.66,0.00782,True
populaire,Artifact Talisman Of Ascension,77,0.001492334825668159,4.299,3.393,0.068,0.974,0.514,-0.0001,-0.2095,0.1169,0.2338,0.5065,2.058,4.15,3e-05,True
populaire,The Indomitable,596,0.011551059170106789,3.537,3.403,0.078,0.212,0.042,-0.0009,-0.0398,0.2181,0.3977,0.6762,2.104,2.44,0.01452,True
populaire,Hullcrusher,214,0.004147527957051767,3.822,3.411,0.085,0.497,0.218,-0.0004,-0.0898,0.1682,0.3271,0.6262,2.084,3.48,0.00049,True
populaire,Forbidden Idol,284,0.005504195980386457,3.732,3.413,0.088,0.407,0.149,-0.0005,-0.0892,0.2042,0.3944,0.6268,2.214,3.09,0.00198,True
populaire,Aegis Of Dusk,337,0.006531387483768436,3.703,3.418,0.093,0.378,0.141,-0.0006,-0.0958,0.2285,0.3798,0.6202,2.212,3.13,0.00175,True
populaire,Void Gauntlet,275,0.005329767234529139,3.778,3.42,0.095,0.453,0.194,-0.0005,-0.1051,0.1782,0.3818,0.6109,2.187,3.43,0.00061,True
populaire,Moguls Mail,882,0.017094017094017096,3.553,3.43,0.105,0.228,0.086,-0.0018,-0.0516,0.2166,0.4048,0.6644,2.143,3.14,0.0017,True
populaire,Aegis Of Dawn,410,0.007946198422388898,3.81,3.463,0.138,0.485,0.28,-0.0011,-0.0965,0.1829,0.3415,0.6195,2.102,4.65,0.0,True
