group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Ionic Spark,3288,0.06372463515320659,2.97,3.055,-0.27,-0.355,-0.287,0.0172,0.0732,0.2883,0.5009,0.7892,1.901,-10.32,0.0,True
populaire,Crownguard,7307,0.1416167606643797,3.067,3.099,-0.226,-0.258,-0.21,0.032,0.0457,0.2795,0.4935,0.7617,1.97,-10.43,0.0,True
populaire,Steadfast Heart,7049,0.13661646994980328,3.094,3.124,-0.201,-0.231,-0.182,0.0275,0.0464,0.2629,0.4802,0.7624,1.946,-9.28,0.0,True
populaire,Evenshroud,6133,0.11886349981588076,3.12,3.15,-0.175,-0.205,-0.152,0.0208,0.0371,0.278,0.4781,0.7531,1.999,-7.56,0.0,True
pepite,Adaptive Helm,5006,0.09702114464019226,3.197,3.219,-0.107,-0.129,-0.07,0.0103,0.0295,0.2521,0.4638,0.7455,1.999,-4.33,1e-05,True
populaire,Bramble Vest,6822,0.1322169893598465,3.233,3.245,-0.08,-0.092,-0.041,0.0106,0.0197,0.2512,0.4579,0.7357,2.02,-3.53,0.00042,True
pepite,Steraks Gage,1195,0.023160261255499352,3.193,3.254,-0.071,-0.132,-0.014,0.0016,0.0254,0.2636,0.4736,0.7414,2.062,-2.18,0.02889,True
pepite,Tacticians Crown,70,0.00135666802333469,2.343,3.263,-0.062,-0.982,-0.58,0.0001,0.1697,0.4286,0.7,0.8857,1.715,-4.79,0.0,True
populaire,Protectors Vow,12159,0.23565323565323565,3.281,3.285,-0.04,-0.044,-0.004,0.0095,0.01,0.2471,0.4441,0.726,2.037,-2.13,0.03286,True
pepite,Blue Buff,138,0.002674574103145532,3.123,3.301,-0.024,-0.202,0.0,0.0001,0.0521,0.2464,0.4783,0.7681,1.932,-1.23,0.22008,False
pepite,Edge Of Night,174,0.003372289086574801,3.201,3.307,-0.018,-0.124,0.0,0.0001,0.0139,0.2644,0.477,0.7299,2.02,-0.81,0.41894,False
populaire,Sunfire Cape,9354,0.18128960986103843,3.312,3.314,-0.011,-0.013,0.0,0.0021,0.0068,0.2295,0.4334,0.7228,2.004,-0.56,0.57253,False
