group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Juggernaut,965,0.020345343762518186,2.89,3.109,-0.222,-0.441,-0.324,0.0045,0.087,0.3036,0.4984,0.8021,1.837,-7.36,0.0,True
populaire,Emblem Brawler,858,0.01808943517952394,3.042,3.194,-0.137,-0.289,-0.157,0.0025,0.0541,0.2716,0.5058,0.7692,1.962,-4.28,2e-05,True
populaire,Emblem Elderwood,1288,0.027155236027070904,3.174,3.241,-0.091,-0.157,-0.046,0.0025,0.0318,0.2655,0.4573,0.7469,2.001,-2.78,0.00542,True
pepite,Emblem Blackthorn,135,0.0028462398009740466,3.156,3.309,-0.022,-0.176,0.0,0.0001,0.0405,0.2667,0.4296,0.7556,1.901,-1.07,0.284,False
pepite,Emblem Fae,210,0.004427484134848517,3.267,3.319,-0.012,-0.064,0.0,0.0001,0.0087,0.2762,0.4381,0.7238,2.037,-0.46,0.64729,False
populaire,Emblem Spellweaver,234,0.004933482321688347,3.286,3.322,-0.009,-0.045,0.0,0.0,0.0114,0.2393,0.4359,0.7265,1.998,-0.34,0.73229,False
populaire,Emblem Sprykin,320,0.00674664249119774,3.294,3.322,-0.009,-0.037,0.0,0.0001,0.013,0.2219,0.4313,0.7281,1.951,-0.34,0.73291,False
pepite,Emblem Slayer,119,0.0025089076764141594,3.311,3.329,-0.002,-0.02,0.0,0.0,-0.0092,0.2521,0.4202,0.7059,1.999,-0.11,0.91239,False
populaire,Emblem Invoker,400,0.008433303113997174,3.342,3.334,0.003,0.011,0.0,-0.0,0.0074,0.21,0.4175,0.7225,1.958,0.12,0.90784,False
populaire,Emblem Defender,680,0.014336615293795197,3.371,3.348,0.016,0.039,0.0,-0.0002,0.007,0.2426,0.4147,0.7221,2.065,0.5,0.62052,False
,Emblem Flora Fatalis Augment,42,0.0008854968269697034,3.857,3.353,0.022,0.526,0.0,-0.0,-0.0722,0.1667,0.3333,0.6429,2.111,1.61,0.10646,False
populaire,Emblem Lunar,332,0.0069996415846176555,3.47,3.367,0.036,0.139,0.0,-0.0003,-0.0193,0.2139,0.4036,0.6958,2.085,1.21,0.22672,False
,Emblem Flora Fatalis,190,0.004005818979148658,3.605,3.377,0.046,0.274,0.0,-0.0002,-0.0677,0.2105,0.3947,0.6474,2.112,1.79,0.0741,False
,Emblem Primal,125,0.002635407223124117,3.8,3.386,0.055,0.469,0.112,-0.0001,-0.0831,0.12,0.36,0.632,2.036,2.57,0.01012,True
populaire,Emblem Blossom,537,0.011321709430541208,3.488,3.388,0.057,0.157,0.0,-0.0006,-0.0298,0.2328,0.4115,0.6853,2.116,1.71,0.08763,False
,Emblem Inferno,104,0.0021926588096392655,4.058,3.403,0.072,0.727,0.313,-0.0002,-0.1189,0.1442,0.2981,0.5962,2.148,3.45,0.00057,True
populaire,Emblem Coven,301,0.006346060593282874,3.757,3.434,0.103,0.426,0.174,-0.0007,-0.0806,0.2226,0.3488,0.6346,2.23,3.31,0.00094,True
