group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Bramble Vest Radiant,63,0.001328245240454555,2.556,3.283,-0.048,-0.776,-0.349,0.0001,0.142,0.381,0.6032,0.8571,1.725,-3.56,0.00036,True
populaire,Warmogs Armor Radiant,309,0.006514726655562818,3.142,3.285,-0.046,-0.189,0.0,0.0003,0.0098,0.3042,0.479,0.7249,2.057,-1.61,0.10797,False
populaire,Ionic Spark Radiant,60,0.0012649954670995761,2.617,3.289,-0.043,-0.714,-0.227,0.0001,0.1016,0.4,0.6333,0.8167,1.924,-2.87,0.00406,True
populaire,Protectors Vow Radiant,117,0.0024667411608441736,3.0,3.295,-0.036,-0.331,0.0,0.0001,0.0199,0.359,0.5043,0.735,2.055,-1.74,0.08171,False
populaire,Steadfast Heart Radiant,63,0.001328245240454555,2.889,3.304,-0.028,-0.442,0.0,0.0,0.0468,0.381,0.5397,0.7619,2.04,-1.72,0.08556,False
pepite,Evenshroud Radiant,41,0.0008644135691847104,2.683,3.304,-0.027,-0.648,-0.057,0.0,0.041,0.439,0.5854,0.7561,1.931,-2.15,0.03169,False
populaire,Crownguard Radiant,43,0.0009065800847546962,2.744,3.306,-0.025,-0.587,0.0,0.0,0.0291,0.4419,0.5814,0.7442,1.966,-1.96,0.05037,False
populaire,Dragons Claw Radiant,102,0.0021504922940692797,3.137,3.312,-0.019,-0.194,0.0,0.0,0.0594,0.3529,0.4902,0.7745,2.214,-0.88,0.37701,False
populaire,Spirit Visage Radiant,180,0.003794986401298729,3.322,3.33,-0.001,-0.009,0.0,0.0,-0.0151,0.2722,0.4222,0.7,2.073,-0.06,0.9542,False
populaire,Gargoyle Stoneplate Radiant,242,0.005102148383968291,3.364,3.338,0.007,0.033,0.0,-0.0,-0.0209,0.2851,0.4132,0.6942,2.087,0.24,0.8089,False
populaire,Sunfire Cape Radiant,62,0.001307161982669562,3.484,3.34,0.009,0.153,0.0,-0.0,-0.0377,0.2742,0.4516,0.6774,2.291,0.52,0.5998,False
