group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Bramble Vest + Crownguard,462,0.009740465096666737,2.729,3.134,-0.197,-0.602,-0.431,0.0019,0.1096,0.342,0.5714,0.8247,1.865,-6.89,0.0,True
pepite,Evenshroud + Steadfast Heart,486,0.010246463283506568,2.817,3.157,-0.174,-0.514,-0.348,0.0018,0.0853,0.3272,0.5391,0.8004,1.859,-6.06,0.0,True
pepite,Ionic Spark + Protectors Vow,407,0.008580885918492126,2.774,3.164,-0.167,-0.557,-0.38,0.0014,0.1105,0.3219,0.5283,0.8256,1.81,-6.18,0.0,True
pepite,Bramble Vest + Steadfast Heart,461,0.009719381838881744,2.846,3.172,-0.159,-0.485,-0.312,0.0015,0.1027,0.3102,0.538,0.8178,1.887,-5.49,0.0,True
pepite,Crownguard + Steadfast Heart,622,0.013113786342265607,2.937,3.175,-0.156,-0.394,-0.251,0.002,0.0855,0.2669,0.508,0.8006,1.807,-5.39,0.0,True
pepite,Crownguard + Protectors Vow,1161,0.0244776622883768,3.058,3.181,-0.15,-0.273,-0.157,0.0037,0.0437,0.286,0.4987,0.7588,2.002,-4.59,0.0,True
,Protectors Vow + Steadfast Heart,960,0.020239927473593218,3.032,3.181,-0.15,-0.299,-0.177,0.003,0.0693,0.2729,0.4813,0.7844,1.907,-4.8,0.0,True
,Evenshroud + Sunfire Cape,855,0.01802618540616896,3.015,3.181,-0.15,-0.316,-0.185,0.0027,0.0592,0.276,0.5146,0.7743,1.934,-4.73,0.0,True
,Ionic Spark + Warmogs Armor,617,0.013008370053340643,2.951,3.181,-0.15,-0.38,-0.225,0.0019,0.0612,0.3096,0.5186,0.7763,1.943,-4.82,0.0,True
,Crownguard + Warmogs Armor,1692,0.03567287217220805,3.103,3.185,-0.146,-0.228,-0.131,0.0052,0.0373,0.2742,0.4929,0.7524,1.993,-4.61,0.0,True
,Crownguard + Ionic Spark,243,0.005123231641753284,2.626,3.187,-0.144,-0.706,-0.492,0.0007,0.1285,0.3251,0.5844,0.8436,1.691,-6.48,0.0,True
,Evenshroud + Warmogs Armor,1178,0.02483607767072168,3.074,3.189,-0.143,-0.257,-0.145,0.0035,0.0523,0.2716,0.4788,0.7674,1.934,-4.5,1e-05,True
,Ionic Spark + Sunfire Cape,458,0.009656132065526766,2.91,3.194,-0.137,-0.421,-0.253,0.0013,0.0949,0.2686,0.5218,0.81,1.824,-4.91,0.0,True
