group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Lux Unique Trait,10994,0.21307440355059404,2.816,2.859,-0.466,-0.509,-0.469,0.0992,0.0824,0.3393,0.5525,0.7984,1.915,-25.01,0.0,True
pepite,Elderwood,600,0.011628583057154486,2.21,2.915,-0.41,-1.115,-0.996,0.0048,0.2023,0.4167,0.695,0.9183,1.472,-18.35,0.0,True
pepite,Executioner,1172,0.022714498904975094,2.594,2.936,-0.389,-0.731,-0.63,0.0088,0.127,0.3498,0.6041,0.843,1.748,-14.1,0.0,True
pepite,Lunar,1270,0.02461383413764366,2.668,2.962,-0.363,-0.657,-0.562,0.0089,0.1313,0.3126,0.5606,0.8472,1.697,-13.57,0.0,True
pepite,Invoker,942,0.01825687539973254,2.594,2.976,-0.349,-0.731,-0.628,0.0064,0.1587,0.2941,0.5775,0.8747,1.578,-13.99,0.0,True
pepite,Lunar,604,0.011706106944202183,2.407,2.986,-0.339,-0.918,-0.794,0.004,0.1681,0.3642,0.6341,0.8841,1.541,-14.49,0.0,True
populaire,Alune Unique Trait,13195,0.25573192239858905,2.977,3.002,-0.323,-0.348,-0.311,0.0825,0.0687,0.2775,0.5011,0.7847,1.882,-18.6,0.0,True
populaire,Brawler,13474,0.2611392135201659,2.986,3.011,-0.315,-0.339,-0.302,0.0821,0.0622,0.2864,0.5024,0.7782,1.908,-18.06,0.0,True
,Riftbeast,349,0.006763959144911525,2.1,3.016,-0.31,-1.225,-1.107,0.0021,0.2496,0.3524,0.7077,0.9656,1.109,-20.39,0.0,True
,Fae,1295,0.025098358431691763,2.782,3.023,-0.302,-0.543,-0.446,0.0076,0.1095,0.2942,0.5467,0.8255,1.754,-10.95,0.0,True
,Caustic,4302,0.08337694051979766,2.982,3.048,-0.277,-0.343,-0.286,0.0231,0.0899,0.2299,0.4977,0.8059,1.803,-11.86,0.0,True
,Primal,4680,0.09070294784580499,3.028,3.082,-0.243,-0.297,-0.241,0.0221,0.0699,0.2404,0.4983,0.7859,1.866,-10.34,0.0,True
,Executioner,2784,0.05395662538519681,3.003,3.09,-0.235,-0.322,-0.248,0.0127,0.0613,0.292,0.5007,0.7773,1.934,-8.54,0.0,True
,Vanguard,1199,0.023237785142547047,2.89,3.091,-0.234,-0.435,-0.336,0.0054,0.0964,0.2469,0.5046,0.8123,1.733,-8.56,0.0,True
,Lunar,3073,0.05955772622439289,3.015,3.093,-0.232,-0.31,-0.244,0.0138,0.0689,0.2457,0.4813,0.7849,1.814,-9.15,0.0,True
populaire,Riftbeast,16608,0.32187917902203617,3.08,3.094,-0.231,-0.245,-0.21,0.0742,0.042,0.2803,0.4845,0.758,1.967,-13.82,0.0,True
,Hunter,770,0.01492334825668159,2.792,3.097,-0.228,-0.533,-0.401,0.0034,0.1009,0.3182,0.5558,0.8169,1.851,-7.92,0.0,True
,Invoker,990,0.0191871620443049,2.873,3.104,-0.222,-0.452,-0.338,0.0043,0.1042,0.2768,0.5192,0.8202,1.812,-7.76,0.0,True
populaire,Greenfather,23106,0.44781673353101925,3.094,3.104,-0.221,-0.231,-0.2,0.099,0.0326,0.3013,0.4875,0.7486,2.021,-14.38,0.0,True
,Adaptor,677,0.013120917882822644,2.775,3.107,-0.218,-0.55,-0.429,0.0029,0.1363,0.2142,0.5465,0.8523,1.584,-8.93,0.0,True
,Primal,818,0.01585363490125395,2.851,3.115,-0.21,-0.474,-0.353,0.0033,0.108,0.2628,0.5232,0.824,1.749,-7.67,0.0,True
populaire,Juggernaut,24502,0.47487257011066536,3.108,3.117,-0.208,-0.217,-0.186,0.0988,0.0366,0.2828,0.48,0.7526,1.987,-13.93,0.0,True
,Spellweaver,1426,0.027637265732503826,2.97,3.119,-0.206,-0.355,-0.257,0.0057,0.075,0.2728,0.4972,0.791,1.857,-7.11,0.0,True
,Invoker,7723,0.14967924491734017,3.093,3.12,-0.205,-0.232,-0.185,0.0307,0.0504,0.2607,0.4783,0.7664,1.943,-9.72,0.0,True
,Sprykin,1241,0.02405178595654786,2.955,3.123,-0.202,-0.37,-0.263,0.0049,0.0632,0.2707,0.5254,0.7792,1.894,-6.79,0.0,True
,Invoker,2299,0.04455685408066361,3.033,3.124,-0.201,-0.292,-0.212,0.009,0.0626,0.2553,0.4954,0.7786,1.895,-7.19,0.0,True
populaire,Inferno,18342,0.35548578405721265,3.125,3.135,-0.19,-0.2,-0.167,0.0675,0.0292,0.288,0.4759,0.7452,2.0,-11.59,0.0,True
,Juggernaut,699,0.013547299261584976,2.86,3.137,-0.188,-0.465,-0.33,0.0025,0.0937,0.279,0.5279,0.8097,1.814,-6.72,0.0,True
populaire,Maokai Unique Trait,21718,0.42091594472546856,3.131,3.14,-0.186,-0.194,-0.162,0.0781,0.0271,0.2897,0.4756,0.7431,2.01,-11.89,0.0,True
,Blossom,3040,0.058918154156249396,3.087,3.147,-0.178,-0.238,-0.165,0.0105,0.0386,0.2766,0.4924,0.7546,1.979,-6.43,0.0,True
,Sprykin,236,0.004573909335814098,2.441,3.161,-0.165,-0.884,-0.709,0.0008,0.1866,0.2839,0.6059,0.9025,1.366,-9.9,0.0,True
,Vanguard,9848,0.19086380991142896,3.146,3.163,-0.162,-0.179,-0.137,0.0309,0.0415,0.24,0.4635,0.7575,1.925,-8.35,0.0,True
,Elderwood,1750,0.03391670058336725,3.07,3.164,-0.161,-0.255,-0.169,0.0054,0.0634,0.228,0.4571,0.7794,1.796,-5.82,0.0,True
,Sprykin,632,0.012248774153536058,2.926,3.173,-0.152,-0.4,-0.257,0.0019,0.0926,0.2421,0.5316,0.8085,1.812,-5.5,0.0,True
,Elderwood,71,0.0013760489950966142,1.085,3.181,-0.144,-2.241,-2.174,0.0002,0.284,0.9155,1.0,1.0,0.278,-65.48,0.0,True
populaire,Apex Predator,13239,0.2565846851561137,3.175,3.186,-0.139,-0.15,-0.111,0.0357,0.0139,0.2941,0.4725,0.7299,2.063,-7.47,0.0,True
,Adaptor,2021,0.039168943930848694,3.117,3.187,-0.138,-0.208,-0.126,0.0054,0.0643,0.2024,0.4701,0.7803,1.841,-4.97,0.0,True
,Eclipse,640,0.012403821927631451,2.969,3.189,-0.136,-0.356,-0.221,0.0017,0.0949,0.2313,0.4734,0.8109,1.735,-5.15,0.0,True
,Brawler,341,0.0066089113708161324,2.795,3.193,-0.132,-0.53,-0.35,0.0009,0.111,0.2581,0.5513,0.827,1.69,-5.77,0.0,True
,Defender,6464,0.12527860146907766,3.179,3.199,-0.126,-0.146,-0.095,0.0158,0.0383,0.241,0.4703,0.7543,1.983,-5.57,0.0,True
,Lunar,9004,0.17450626974436498,3.199,3.212,-0.113,-0.126,-0.082,0.0197,0.0315,0.2358,0.4569,0.7474,1.957,-5.59,0.0,True
,Hunter,3281,0.06358896835087312,3.178,3.213,-0.112,-0.147,-0.076,0.0071,0.0231,0.26,0.4727,0.7391,2.005,-4.06,5e-05,True
,Spellweaver,10899,0.21123321123321123,3.21,3.22,-0.105,-0.115,-0.073,0.0221,0.0227,0.2515,0.4554,0.7387,1.992,-5.43,0.0,True
,Hunter,230,0.004457623505242553,2.813,3.232,-0.093,-0.512,-0.282,0.0004,0.0884,0.2957,0.5478,0.8043,1.775,-4.36,1e-05,True
,Spellweaver,312,0.006046863189720333,2.939,3.236,-0.09,-0.386,-0.165,0.0005,0.0725,0.3205,0.5192,0.7885,1.982,-3.43,0.00061,True
,Blossom,274,0.005310386262767215,2.905,3.237,-0.088,-0.42,-0.202,0.0005,0.0833,0.2774,0.5146,0.7993,1.832,-3.78,0.00016,True
populaire,Draven Unique Trait,18311,0.354884973932593,3.24,3.244,-0.081,-0.086,-0.051,0.0287,0.0049,0.2872,0.4581,0.7209,2.083,-4.8,0.0,True
,Blossom,41,0.0007946198422388898,1.244,3.246,-0.08,-2.081,-1.88,0.0001,0.284,0.8537,0.9268,1.0,0.654,-20.28,0.0,True
,Blackthorn,279,0.005407291121576836,2.968,3.249,-0.076,-0.357,-0.13,0.0004,0.0618,0.3154,0.5054,0.7778,1.935,-3.08,0.0021,True
,Fae,2890,0.05601100839196077,3.238,3.261,-0.064,-0.087,-0.012,0.0036,0.0259,0.226,0.4571,0.7419,1.99,-2.29,0.02231,True
,Elderwood,7732,0.14985367366319746,3.263,3.27,-0.055,-0.062,-0.013,0.0082,0.0056,0.2597,0.4512,0.7215,2.044,-2.49,0.01279,True
,Rapidfire,4710,0.09128437699866271,3.266,3.277,-0.048,-0.059,-0.001,0.0044,0.0337,0.1979,0.4318,0.7497,1.915,-2.0,0.0454,True
,Rapidfire,814,0.015776111014206253,3.216,3.277,-0.048,-0.109,0.0,0.0008,0.042,0.1855,0.4398,0.758,1.842,-1.67,0.09476,False
,Coven,1795,0.03478884431265384,3.253,3.28,-0.045,-0.072,0.0,0.0016,0.0016,0.268,0.4669,0.7175,2.094,-1.43,0.15374,False
,Hunter,88,0.0017055255150493246,2.761,3.281,-0.044,-0.564,-0.251,0.0001,0.159,0.1818,0.5455,0.875,1.492,-3.54,0.0004,True
,Rapidfire,84,0.001628001628001628,2.786,3.285,-0.041,-0.539,-0.207,0.0001,0.1412,0.2143,0.5357,0.8571,1.551,-3.18,0.00146,True
,Coven,810,0.015698587127158554,3.235,3.285,-0.04,-0.091,0.0,0.0006,-0.016,0.3605,0.463,0.7,2.213,-1.16,0.24731,False
,Rapidfire,160,0.003100955481907863,3.062,3.29,-0.035,-0.263,0.0,0.0001,0.0965,0.2,0.4562,0.8125,1.77,-1.87,0.0611,True
,Rival,207,0.0040118611547182974,3.145,3.295,-0.03,-0.18,0.0,0.0001,0.0521,0.2174,0.4493,0.7681,1.867,-1.39,0.16597,False
,Solar,937,0.018159970540922922,3.269,3.298,-0.027,-0.056,0.0,0.0005,0.0289,0.2199,0.4301,0.7449,1.959,-0.87,0.38463,False
,Slayer,7936,0.15380739190263,3.3,3.303,-0.022,-0.025,0.0,0.0034,0.0159,0.2184,0.4375,0.7319,2.0,-1.04,0.29942,False
,Slayer,291,0.005639862782719925,3.244,3.307,-0.018,-0.081,0.0,0.0001,0.04,0.1581,0.4158,0.756,1.743,-0.79,0.42877,False
,Slayer,157,0.0030428125666220906,3.21,3.31,-0.015,-0.115,0.0,0.0,0.0802,0.1529,0.4268,0.7962,1.778,-0.81,0.41874,False
,Juggernaut,64,0.0012403821927631452,3.141,3.314,-0.011,-0.185,0.0,0.0,0.034,0.1875,0.4062,0.75,1.638,-0.9,0.368,False
,Adaptor,369,0.007151578580150008,3.293,3.317,-0.009,-0.032,0.0,0.0001,0.0482,0.1762,0.4255,0.7642,1.924,-0.32,0.74696,False
