group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Lux Base,11156,0.21621412097602574,2.807,2.851,-0.474,-0.518,-0.478,0.1025,0.0839,0.34,0.5554,0.7999,1.911,-25.62,0.0,True
populaire,Alune,13458,0.2608291179719751,2.968,2.993,-0.332,-0.357,-0.321,0.0865,0.0703,0.2781,0.5038,0.7863,1.878,-19.27,0.0,True
populaire,Gnar Small,16378,0.31742155551679363,2.99,3.01,-0.316,-0.335,-0.301,0.1002,0.0597,0.2892,0.5037,0.7757,1.921,-19.15,0.0,True
pepite,Kog Maw A D,4313,0.08359013120917883,2.985,3.051,-0.274,-0.34,-0.283,0.0229,0.0895,0.2293,0.4971,0.8055,1.805,-11.75,0.0,True
pepite,Teemo,1879,0.036416845940655466,2.952,3.084,-0.241,-0.374,-0.291,0.0088,0.0919,0.2262,0.5114,0.8079,1.783,-8.87,0.0,True
pepite,Ashe,7058,0.1367908986956606,3.053,3.088,-0.237,-0.272,-0.222,0.0324,0.0422,0.2879,0.4994,0.7581,1.971,-10.81,0.0,True
populaire,Ivern,23637,0.45810802953660096,3.08,3.09,-0.235,-0.245,-0.214,0.1077,0.0347,0.305,0.4919,0.7507,2.022,-15.39,0.0,True
pepite,Nidalee A P,3483,0.06750392464678179,3.045,3.109,-0.216,-0.28,-0.218,0.0146,0.0793,0.2001,0.4872,0.7953,1.791,-8.84,0.0,True
pepite,Sentry,3152,0.061088822993584896,3.07,3.133,-0.192,-0.255,-0.187,0.0118,0.067,0.2332,0.4886,0.783,1.902,-7.28,0.0,True
populaire,Kennen,24330,0.4715390429676144,3.13,3.138,-0.187,-0.195,-0.164,0.0882,0.0272,0.2876,0.4766,0.7432,2.007,-12.4,0.0,True
populaire,Maokai,22145,0.42919161966781016,3.139,3.148,-0.177,-0.186,-0.154,0.0762,0.0252,0.2886,0.4746,0.7412,2.015,-11.41,0.0,True
populaire,Elder Dragon,13588,0.2633486443010253,3.147,3.16,-0.165,-0.178,-0.139,0.0435,0.0183,0.3,0.4792,0.7343,2.059,-8.97,0.0,True
,Gromp A P,1597,0.030951411903792855,3.059,3.164,-0.161,-0.266,-0.177,0.005,0.0849,0.1897,0.479,0.8009,1.78,-5.85,0.0,True
populaire,Sentinel,27343,0.5299339108862918,3.172,3.178,-0.148,-0.153,-0.124,0.0782,0.0288,0.2609,0.4655,0.7448,1.993,-10.18,0.0,True
,Vi,4672,0.0905479000717096,3.159,3.189,-0.136,-0.166,-0.108,0.0123,0.0513,0.2177,0.4681,0.7673,1.914,-5.65,0.0,True
,Tristana,2890,0.05601100839196077,3.149,3.195,-0.13,-0.176,-0.103,0.0073,0.0466,0.2308,0.4747,0.7626,1.94,-4.73,0.0,True
,Rammus,2238,0.04337461480318623,3.139,3.198,-0.127,-0.186,-0.102,0.0055,0.0409,0.2408,0.4911,0.7569,1.982,-4.34,1e-05,True
,Rengar,1053,0.02040816326530612,3.088,3.206,-0.12,-0.237,-0.119,0.0024,0.0618,0.245,0.4872,0.7778,1.937,-3.92,9e-05,True
,Lillia,3905,0.07568269473031378,3.191,3.219,-0.106,-0.134,-0.07,0.008,0.0341,0.2399,0.463,0.7501,1.969,-4.08,4e-05,True
populaire,Draven,18898,0.36626160435684246,3.223,3.228,-0.097,-0.102,-0.068,0.0355,0.0076,0.2892,0.4627,0.7236,2.08,-5.8,0.0,True
,Sivir,2984,0.05783281973758164,3.203,3.234,-0.091,-0.122,-0.049,0.0052,0.0263,0.2396,0.4655,0.7423,1.981,-3.27,0.00109,True
,Brambleback,6048,0.11721611721611722,3.227,3.241,-0.084,-0.098,-0.047,0.0098,0.0386,0.2029,0.4469,0.7546,1.92,-3.73,0.00019,True
,Le Blanc,4462,0.08647789600170552,3.242,3.258,-0.067,-0.083,-0.022,0.0058,0.0189,0.2355,0.4478,0.7349,1.983,-2.66,0.00773,True
,Ahri,5273,0.102195864100626,3.247,3.26,-0.065,-0.078,-0.021,0.0067,0.0128,0.2536,0.4533,0.7288,2.023,-2.66,0.00771,True
,Morgana,9636,0.18675504389790104,3.255,3.262,-0.063,-0.07,-0.025,0.0118,0.0138,0.2575,0.4533,0.7298,2.051,-3.07,0.00212,True
,Kobuko,1508,0.02922650541698161,3.221,3.263,-0.062,-0.104,-0.003,0.0018,0.0221,0.2155,0.4775,0.7381,1.984,-2.01,0.04432,True
,Hecarim,12930,0.2505959648816792,3.271,3.275,-0.05,-0.054,-0.016,0.0126,0.0186,0.2214,0.4414,0.7346,1.97,-2.77,0.00558,True
,Scuttlecrab,2329,0.04513828323352133,3.261,3.281,-0.044,-0.064,0.0,0.002,0.0427,0.1838,0.4371,0.7587,1.909,-1.57,0.11666,False
,Crimson Raptor,3854,0.07469426517045565,3.273,3.284,-0.041,-0.052,0.0,0.0031,0.0398,0.1759,0.4307,0.7558,1.89,-1.64,0.10039,False
populaire,Diana,15933,0.3087970230827374,3.288,3.291,-0.035,-0.037,-0.001,0.0107,0.0146,0.2226,0.4385,0.7306,1.986,-2.03,0.04211,True
,Rakan,5466,0.10593639165067736,3.293,3.298,-0.027,-0.032,0.0,0.0029,0.0156,0.2208,0.4387,0.7316,1.996,-1.13,0.26012,False
,Aphelios,6491,0.1258018877066496,3.3,3.303,-0.022,-0.025,0.0,0.0028,0.0263,0.1918,0.4212,0.7423,1.91,-1.0,0.31782,False
,Sett,5484,0.106285249142392,3.299,3.303,-0.022,-0.026,0.0,0.0024,0.0034,0.2443,0.4413,0.7194,2.033,-0.92,0.36007,False
populaire,Amumu,23051,0.4467507800841134,3.307,3.307,-0.018,-0.019,0.0,0.0079,-0.0063,0.2674,0.4436,0.7096,2.079,-1.13,0.2579,False
,Soraka,7246,0.14043452138690235,3.306,3.308,-0.017,-0.019,0.0,0.0024,0.003,0.2399,0.4365,0.719,2.024,-0.76,0.44441,False
,Zyra,3106,0.06019729829253639,3.317,3.319,-0.006,-0.008,0.0,0.0003,0.0223,0.1951,0.4305,0.7382,1.963,-0.21,0.83259,False
,Ezreal,11515,0.22317188983855651,3.332,3.331,0.006,0.007,0.0,-0.0014,-0.0044,0.247,0.436,0.7116,2.057,0.32,0.74587,False
,Veigar,1275,0.02471073899645328,3.343,3.335,0.01,0.018,0.0,-0.0002,0.0126,0.2141,0.4424,0.7286,2.056,0.3,0.76257,False
,Murkwolf,1442,0.027947361280694614,3.349,3.339,0.014,0.024,0.0,-0.0004,0.0253,0.1748,0.4272,0.7413,1.951,0.45,0.64986,False
,Xayah,3695,0.0716126906603097,3.349,3.343,0.018,0.023,0.0,-0.0013,0.0058,0.2173,0.42,0.7218,1.991,0.69,0.49018,False
,Alistar,9625,0.18654185320851988,3.371,3.366,0.041,0.046,0.001,-0.0077,-0.0113,0.2429,0.4293,0.7047,2.074,1.99,0.04638,True
,Krug,2071,0.0401379925189449,3.404,3.378,0.053,0.079,0.0,-0.0021,0.0001,0.1951,0.4186,0.7161,2.022,1.74,0.08135,False
,Ornn,4284,0.08302808302808302,3.396,3.383,0.057,0.071,0.007,-0.0048,-0.0071,0.2185,0.4225,0.7089,2.054,2.18,0.02914,True
,Karma,2774,0.053762815667577575,3.404,3.383,0.058,0.079,0.001,-0.0031,-0.0109,0.2231,0.4189,0.7051,2.046,1.98,0.04769,True
,Kayle,1111,0.021532259627497722,3.44,3.385,0.06,0.115,0.0,-0.0013,-0.0067,0.1926,0.4041,0.7093,2.003,1.89,0.05842,True
,Cinderling,889,0.017229683896350562,3.496,3.404,0.079,0.171,0.039,-0.0014,0.0039,0.1552,0.3858,0.7199,1.987,2.54,0.01101,True
,Leona,1012,0.01961354342306723,3.54,3.431,0.106,0.214,0.085,-0.0021,-0.0243,0.1927,0.3883,0.6917,2.073,3.26,0.00112,True
,Malphite,1705,0.03304455685408066,3.525,3.45,0.124,0.2,0.1,-0.0041,-0.0192,0.1953,0.3912,0.6968,2.068,3.93,9e-05,True
,Sejuani,1159,0.02246254627207008,3.571,3.455,0.13,0.246,0.125,-0.0029,-0.0404,0.1907,0.3848,0.6756,2.082,3.98,7e-05,True
,Warwick,716,0.013876775781537686,3.648,3.457,0.132,0.323,0.166,-0.0018,-0.0442,0.1872,0.3701,0.6718,2.129,4.03,6e-05,True
,Kha Zix,768,0.014884586313157741,3.637,3.458,0.133,0.312,0.161,-0.002,-0.0493,0.1862,0.375,0.6667,2.113,4.06,5e-05,True
,Fiddlesticks,6830,0.13237203713394188,3.491,3.469,0.144,0.165,0.114,-0.019,-0.0221,0.2028,0.3991,0.6939,2.055,6.26,0.0,True
,Rek Sai,813,0.01575673004244433,3.684,3.483,0.158,0.359,0.209,-0.0025,-0.0702,0.1882,0.3899,0.6458,2.168,4.69,0.0,True
,Yunara,2063,0.03998294474484951,3.58,3.495,0.17,0.255,0.162,-0.0068,-0.0485,0.2031,0.3921,0.6675,2.109,5.38,0.0,True
,Master Yi A D,2082,0.040351183208326064,3.611,3.516,0.191,0.286,0.197,-0.0077,-0.0426,0.1681,0.3722,0.6734,2.029,6.3,0.0,True
,Yorick,2693,0.052192956954861716,3.704,3.599,0.274,0.379,0.297,-0.0143,-0.0714,0.1886,0.3624,0.6446,2.122,9.06,0.0,True
,Azir,2147,0.041610946372851135,3.753,3.614,0.289,0.428,0.337,-0.012,-0.0681,0.1681,0.3461,0.6479,2.101,9.25,0.0,True
,Cassiopeia,5120,0.09923057542105161,3.699,3.636,0.311,0.374,0.311,-0.0309,-0.0785,0.2242,0.3748,0.6375,2.215,11.59,0.0,True
,Elise,6465,0.1252979824408396,3.695,3.644,0.319,0.369,0.313,-0.0399,-0.0782,0.2122,0.3706,0.6377,2.175,12.96,0.0,True
,Akali A D,1708,0.03310269976936644,3.862,3.66,0.335,0.537,0.434,-0.0111,-0.0901,0.144,0.3466,0.6259,2.13,10.26,0.0,True
,Shen,2722,0.05275500513595752,3.864,3.716,0.391,0.539,0.455,-0.0206,-0.0955,0.1789,0.3376,0.6205,2.174,12.64,0.0,True
,Varus,1517,0.029400934162838926,4.028,3.744,0.419,0.703,0.596,-0.0123,-0.1306,0.1325,0.3006,0.5854,2.106,12.83,0.0,True
,Caitlyn,3068,0.05946082136558327,4.076,3.887,0.562,0.751,0.671,-0.0334,-0.1488,0.1731,0.2995,0.5671,2.213,18.34,0.0,True
,Camille,3281,0.06358896835087312,4.085,3.903,0.578,0.76,0.682,-0.0368,-0.1518,0.1743,0.2987,0.5642,2.214,19.15,0.0,True
