group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Gargoyle Stoneplate + Gargoyle Stoneplate + Warmogs Armor,2599,0.08096320986885144,3.589,3.638,-0.199,-0.248,-0.169,0.0161,0.0574,0.1543,0.3605,0.6903,1.958,-6.18,0.0,True
pepite,Evenshroud + Protectors Vow + Sunfire Cape,291,0.009065138157689792,3.433,3.711,-0.126,-0.403,-0.174,0.0011,0.0647,0.2027,0.3814,0.6976,1.986,-3.45,0.00056,True
pepite,Bramble Vest + Gargoyle Stoneplate + Warmogs Armor,333,0.010373508613438834,3.492,3.719,-0.117,-0.344,-0.14,0.0012,0.0698,0.1742,0.3483,0.7027,1.885,-3.31,0.00094,True
populaire,Gargoyle Stoneplate + Steadfast Heart + Warmogs Armor,486,0.015139715273667488,3.595,3.732,-0.104,-0.242,-0.064,0.0016,0.0646,0.1564,0.358,0.6975,1.978,-2.67,0.00754,True
pepite,Evenshroud + Steadfast Heart + Sunfire Cape,165,0.005140026790442665,3.339,3.735,-0.102,-0.497,-0.204,0.0005,0.0883,0.2182,0.4,0.7212,1.915,-3.32,0.00089,True
pepite,Emblem Brawler + Gargoyle Stoneplate + Warmogs Armor,53,0.0016510389084452197,2.566,3.739,-0.097,-1.27,-0.866,0.0002,0.2539,0.283,0.5849,0.8868,1.499,-6.16,0.0,True
pepite,Emblem Vanguard + Gargoyle Stoneplate + Warmogs Armor,83,0.00258558923398025,3.06,3.747,-0.089,-0.776,-0.361,0.0002,0.1623,0.241,0.506,0.7952,1.929,-3.66,0.00025,True
pepite,Dragons Claw + Gargoyle Stoneplate + Spirit Visage,306,0.009532413320457307,3.601,3.76,-0.076,-0.235,-0.011,0.0007,0.0207,0.1601,0.3824,0.6536,1.986,-2.06,0.03947,False
,Gargoyle Stoneplate + Steraks Gage + Warmogs Armor,92,0.0028659543316407587,3.239,3.761,-0.075,-0.597,-0.206,0.0002,0.128,0.2609,0.4239,0.7609,1.913,-2.99,0.0028,True
,Emblem Brawler + Gargoyle Stoneplate + Spirit Visage,41,0.0012772187782312077,2.659,3.766,-0.071,-1.178,-0.601,0.0001,0.1476,0.3902,0.6098,0.7805,1.882,-4.0,6e-05,True
,Crownguard + Evenshroud + Sunfire Cape,41,0.0012772187782312077,2.756,3.771,-0.065,-1.08,-0.531,0.0001,0.1476,0.3171,0.5854,0.7805,1.791,-3.86,0.00011,True
,Evenshroud + Spirit Visage + Sunfire Cape,152,0.004735054982710819,3.5,3.772,-0.064,-0.336,-0.033,0.0003,0.0842,0.1711,0.3684,0.7171,1.902,-2.17,0.02971,False
,Gargoyle Stoneplate + Protectors Vow + Sunfire Cape,189,0.00588766705087069,3.566,3.775,-0.061,-0.27,0.0,0.0004,0.0602,0.164,0.3704,0.6931,1.982,-1.87,0.06172,False
,Evenshroud + Gargoyle Stoneplate + Protectors Vow,127,0.003956263044764961,3.465,3.775,-0.061,-0.372,-0.025,0.0002,0.06,0.189,0.4094,0.6929,1.987,-2.1,0.03541,False
,Protectors Vow + Spirit Visage + Sunfire Cape,106,0.0033020778168904395,3.415,3.777,-0.06,-0.421,-0.062,0.0002,0.0652,0.217,0.3774,0.6981,1.883,-2.3,0.0215,False
,Gargoyle Stoneplate + Protectors Vow + Steadfast Heart,93,0.002897106009158593,3.387,3.779,-0.057,-0.449,-0.015,0.0002,0.0768,0.2258,0.4409,0.7097,2.135,-2.03,0.04276,False
,Bramble Vest + Gargoyle Stoneplate + Sunfire Cape,89,0.0027724992990872557,3.382,3.781,-0.055,-0.454,-0.074,0.0002,0.0637,0.191,0.3933,0.6966,1.827,-2.34,0.01918,False
,Crownguard + Gargoyle Stoneplate + Gargoyle Stoneplate,81,0.0025232858789445813,3.383,3.786,-0.051,-0.454,-0.039,0.0001,0.1202,0.1358,0.4074,0.7531,1.902,-2.14,0.03212,False
,Bramble Vest + Gargoyle Stoneplate + Steadfast Heart,47,0.0014641288433382138,3.128,3.788,-0.048,-0.709,-0.147,0.0001,0.133,0.234,0.4681,0.766,1.964,-2.47,0.01343,True
,Bramble Vest + Gargoyle Stoneplate + Gargoyle Stoneplate,86,0.0026790442665337528,3.442,3.79,-0.047,-0.394,0.0,0.0001,0.0648,0.1744,0.407,0.6977,1.921,-1.9,0.05719,False
,Evenshroud + Protectors Vow + Steadfast Heart,63,0.001962555683623563,3.317,3.79,-0.046,-0.519,-0.031,0.0001,0.0973,0.2063,0.4127,0.7302,1.975,-2.08,0.03721,False
,Bramble Vest + Steadfast Heart + Warmogs Armor,51,0.001588735553409551,3.235,3.792,-0.044,-0.601,-0.154,0.0001,0.2102,0.1569,0.3333,0.8431,1.628,-2.63,0.00846,True
,Evenshroud + Spirit Visage + Steadfast Heart,47,0.0014641288433382138,3.234,3.795,-0.041,-0.602,-0.077,0.0001,0.0692,0.2128,0.4681,0.7021,1.836,-2.25,0.02464,False
,Protectors Vow + Steadfast Heart + Sunfire Cape,53,0.0016510389084452197,3.321,3.797,-0.039,-0.516,0.0,0.0001,0.1029,0.2453,0.4151,0.7358,2.045,-1.83,0.06661,False
,Bramble Vest + Dragons Claw + Spirit Visage,114,0.0035512912370331143,3.588,3.799,-0.037,-0.249,0.0,0.0001,0.0162,0.193,0.3596,0.6491,1.986,-1.33,0.18218,False
,Bramble Vest + Gargoyle Stoneplate + Protectors Vow,54,0.0016821905859630542,3.37,3.8,-0.036,-0.466,0.0,0.0001,0.1449,0.1481,0.3704,0.7778,1.839,-1.86,0.06287,False
,Dragons Claw + Evenshroud + Spirit Visage,43,0.0013395221332668764,3.279,3.801,-0.035,-0.557,0.0,0.0,0.088,0.2093,0.4186,0.7209,1.896,-1.93,0.05419,False
,Bramble Vest + Dragons Claw + Sunfire Cape,55,0.0017133422634808884,3.4,3.802,-0.034,-0.436,-0.006,0.0001,0.1489,0.1273,0.3091,0.7818,1.625,-1.99,0.04672,False
