group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Emblem Brawler,310,0.009498713077583038,2.965,3.555,-0.28,-0.871,-0.661,0.0027,0.1476,0.3032,0.4935,0.7806,1.874,-8.14,0.0,True
populaire,Evenshroud,3377,0.10347469052579973,3.593,3.632,-0.203,-0.242,-0.171,0.021,0.0436,0.1774,0.3598,0.6766,2.0,-6.68,0.0,True
populaire,Bramble Vest,2639,0.08086162519916656,3.61,3.655,-0.181,-0.225,-0.147,0.0146,0.0517,0.1565,0.3486,0.6847,1.974,-5.62,0.0,True
pepite,Steraks Gage,919,0.028159088123544552,3.53,3.657,-0.179,-0.306,-0.175,0.005,0.0742,0.1795,0.3667,0.7073,1.982,-4.6,0.0,True
populaire,Steadfast Heart,3584,0.10981737958083099,3.636,3.667,-0.169,-0.2,-0.131,0.0185,0.0438,0.156,0.3594,0.6769,1.996,-5.67,0.0,True
pepite,Emblem Vanguard,397,0.012164480941291826,3.446,3.688,-0.147,-0.39,-0.197,0.0018,0.0848,0.1839,0.3854,0.7179,1.94,-3.97,7e-05,True
populaire,Sunfire Cape,5800,0.17771785758058586,3.696,3.71,-0.126,-0.14,-0.084,0.0223,0.0285,0.1559,0.3348,0.6616,1.983,-4.92,0.0,True
pepite,Emblem Fae,159,0.004871920578502268,3.352,3.741,-0.095,-0.483,-0.162,0.0005,0.0776,0.2327,0.4528,0.7107,2.059,-2.95,0.00316,True
populaire,Protectors Vow,4202,0.12875352371614168,3.73,3.744,-0.091,-0.105,-0.039,0.0117,0.0109,0.163,0.3508,0.644,2.073,-3.1,0.00192,True
pepite,Emblem Sprykin,126,0.003860767250888589,3.492,3.78,-0.056,-0.343,0.0,0.0002,0.0495,0.2063,0.3889,0.6825,1.979,-1.94,0.05195,False
pepite,Adaptive Helm,1545,0.04734036033827675,3.759,3.781,-0.054,-0.077,0.0,0.0026,0.0129,0.1515,0.345,0.646,2.047,-1.44,0.14938,False
,Ionic Spark,700,0.02144870694938105,3.75,3.791,-0.044,-0.085,0.0,0.0009,0.0141,0.1514,0.33,0.6471,2.023,-1.11,0.26914,False
populaire,Crownguard,1623,0.04973035911263635,3.776,3.793,-0.042,-0.059,0.0,0.0021,0.0053,0.1491,0.3463,0.6383,2.059,-1.13,0.25917,False
populaire,Warmogs Armor,12453,0.3815724966294889,3.801,3.803,-0.032,-0.034,0.0,0.0123,0.009,0.1396,0.3268,0.6421,2.024,-1.59,0.11191,False
,Void Gauntlet,63,0.0019303836254442946,3.556,3.811,-0.025,-0.28,0.0,0.0,-0.014,0.254,0.4127,0.619,2.166,-1.02,0.3055,False
,Emblem Defender,227,0.006955509253584998,3.753,3.814,-0.021,-0.082,0.0,0.0001,0.0013,0.1498,0.3656,0.6344,2.057,-0.6,0.54881,False
populaire,Gargoyle Stoneplate,17480,0.5356048535359725,3.814,3.815,-0.02,-0.021,0.0,0.0109,0.0014,0.1444,0.3269,0.6344,2.039,-1.1,0.27131,False
,Gargoyle Stoneplate Radiant,80,0.0024512807942149773,3.8,3.832,-0.004,-0.035,0.0,0.0,-0.0206,0.075,0.325,0.6125,1.826,-0.17,0.86246,False
populaire,Dragons Claw,3753,0.11499571025861012,3.832,3.832,-0.003,-0.004,0.0,0.0004,-0.0056,0.1346,0.3149,0.6275,2.005,-0.11,0.91206,False
,Warmogs Armor Radiant,54,0.0016546145360951097,3.796,3.832,-0.003,-0.039,0.0,0.0,0.0521,0.0741,0.2593,0.6852,1.819,-0.16,0.87455,False
,Lightshield Crest,168,0.0051476896678514525,3.899,3.848,0.013,0.063,0.0,-0.0001,0.0276,0.125,0.3333,0.6607,2.126,0.39,0.69986,False
,Aegis Of Dawn,148,0.004534869469297708,3.953,3.857,0.022,0.117,0.0,-0.0001,-0.0452,0.1014,0.2905,0.5878,1.943,0.73,0.46387,False
,Titans Resolve,399,0.0122257629611472,3.892,3.857,0.022,0.057,0.0,-0.0003,-0.014,0.1604,0.2957,0.619,2.055,0.55,0.58307,False
,Emblem Blossom,170,0.005208971687706827,3.971,3.863,0.028,0.135,0.0,-0.0001,-0.039,0.1471,0.2941,0.5941,2.068,0.85,0.39527,False
populaire,Spirit Visage,8802,0.2697021693835029,3.873,3.871,0.035,0.038,0.0,-0.0095,-0.0117,0.1405,0.3155,0.6213,2.045,1.54,0.12424,False
,Hullcrusher,81,0.0024819218041426646,4.222,3.878,0.043,0.387,0.0,-0.0001,-0.1022,0.1728,0.2716,0.5309,2.228,1.56,0.11853,False
,Moguls Mail,396,0.012133839931364137,3.957,3.881,0.046,0.122,0.0,-0.0006,-0.0093,0.1187,0.2854,0.6237,2.005,1.2,0.23029,False
,Aegis Of Dusk,67,0.0020529476651550433,4.418,3.89,0.054,0.582,0.11,-0.0001,-0.1256,0.0896,0.1791,0.5075,1.971,2.42,0.01568,True
,The Indomitable,212,0.00649589410466969,4.127,3.907,0.072,0.292,0.031,-0.0005,-0.0246,0.0943,0.2264,0.6085,1.93,2.19,0.0282,True
,Guinsoos Rageblade,87,0.002665767863708788,4.862,3.956,0.121,1.027,0.572,-0.0003,-0.1618,0.069,0.1494,0.4713,2.161,4.43,1e-05,True
,Bloodthirster,340,0.010417943375413654,4.247,3.976,0.141,0.412,0.184,-0.0015,-0.0654,0.1059,0.2588,0.5676,2.128,3.55,0.00039,True
,Component Chain Vest,211,0.006465253094742003,5.251,4.181,0.346,1.416,1.131,-0.0022,-0.2824,0.0474,0.128,0.3507,2.101,9.76,0.0,True
,Component Negatron Cloak,239,0.007323201372717245,5.301,4.228,0.393,1.466,1.204,-0.0029,-0.2983,0.046,0.1381,0.3347,2.058,10.97,0.0,True
,Component Giants Belt,417,0.012777301139845569,5.072,4.317,0.482,1.237,1.043,-0.0062,-0.2614,0.0432,0.1247,0.3717,1.999,12.55,0.0,True
