group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
,Titanic Hydra,73,0.002061855670103093,4.055,3.853,0.021,0.223,0.0,-0.0,-0.072,0.1233,0.3288,0.5616,2.06,0.92,0.35619,False
populaire,Lightshield Crest,309,0.008727580850162406,3.929,3.861,0.029,0.097,0.0,-0.0003,0.0103,0.1327,0.3172,0.644,2.123,0.8,0.42522,False
populaire,Void Gauntlet,150,0.0042366897330885465,4.06,3.872,0.04,0.228,0.0,-0.0002,-0.0603,0.14,0.3,0.5733,2.133,1.31,0.19158,False
populaire,Hellfire Hatchet,99,0.0027962152238384407,4.182,3.875,0.043,0.35,0.0,-0.0001,-0.0882,0.1111,0.2525,0.5455,2.052,1.69,0.09035,False
populaire,Artifact Talisman Of Ascension,90,0.002542013839853128,4.211,3.875,0.043,0.379,0.0,-0.0001,-0.067,0.1,0.2444,0.5667,2.025,1.77,0.07616,False
populaire,Infinity Force,82,0.0023160570540884055,4.378,3.889,0.057,0.546,0.152,-0.0001,-0.1093,0.0732,0.1463,0.5244,1.819,2.71,0.00665,True
populaire,Aegis Of Dawn,297,0.008388645671515323,4.034,3.892,0.06,0.202,0.0,-0.0005,-0.0411,0.0943,0.2929,0.5926,2.025,1.71,0.08761,False
,Forbidden Idol,50,0.0014122299110295156,4.86,3.9,0.068,1.028,0.501,-0.0001,-0.1937,0.04,0.1,0.44,1.897,3.83,0.00013,True
populaire,Aegis Of Dusk,205,0.005790142635221014,4.176,3.909,0.077,0.343,0.063,-0.0004,-0.0629,0.1122,0.2439,0.5707,2.045,2.4,0.01651,True
populaire,Moguls Mail,664,0.018754413218471967,4.006,3.916,0.084,0.174,0.017,-0.0016,-0.0313,0.1175,0.2937,0.6024,2.045,2.17,0.02997,True
,Deaths Defiance,60,0.0016946758932354187,5.367,3.952,0.12,1.535,1.054,-0.0002,-0.3503,0.0333,0.0833,0.2833,1.897,6.26,0.0,True
,Silvermere Dawn,72,0.0020336110718825024,5.208,3.959,0.127,1.376,0.874,-0.0003,-0.2864,0.0833,0.1389,0.3472,2.173,5.37,0.0,True
populaire,The Indomitable,390,0.011015393306030222,4.215,3.968,0.136,0.383,0.182,-0.0015,-0.0465,0.1,0.2256,0.5872,2.019,3.73,0.00019,True
populaire,Hullcrusher,235,0.006637480581838723,4.383,3.969,0.137,0.551,0.27,-0.0009,-0.1145,0.1319,0.2298,0.5191,2.19,3.84,0.00012,True
