group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Evenshroud,4518,0.12760909476062704,3.612,3.642,-0.19,-0.22,-0.158,0.0243,0.0412,0.1731,0.3614,0.6749,2.014,-6.9,0.0,True
populaire,Steadfast Heart,4643,0.13113966953820083,3.657,3.68,-0.152,-0.175,-0.113,0.0199,0.0407,0.1549,0.3562,0.6743,2.012,-5.56,0.0,True
populaire,Bramble Vest,3522,0.09947747493291909,3.661,3.69,-0.142,-0.171,-0.102,0.0142,0.0418,0.155,0.3413,0.6755,1.997,-4.84,0.0,True
pepite,Steraks Gage,1732,0.04891964411806242,3.64,3.696,-0.136,-0.192,-0.095,0.0067,0.0436,0.1622,0.3557,0.6773,2.002,-3.89,0.0001,True
populaire,Protectors Vow,5425,0.15322694534670245,3.713,3.727,-0.105,-0.119,-0.06,0.0161,0.0194,0.1657,0.3524,0.6531,2.071,-3.95,8e-05,True
populaire,Sunfire Cape,7329,0.2070046603587064,3.717,3.727,-0.105,-0.115,-0.064,0.0217,0.0228,0.1553,0.3342,0.6564,1.999,-4.45,1e-05,True
populaire,Crownguard,2321,0.06555571246999012,3.719,3.745,-0.087,-0.113,-0.026,0.0057,0.0186,0.1573,0.3615,0.6523,2.074,-2.56,0.01061,True
pepite,Ionic Spark,1206,0.03406298545403191,3.755,3.783,-0.049,-0.078,0.0,0.0017,0.0164,0.1484,0.3367,0.6501,2.033,-1.3,0.19276,False
pepite,Adaptive Helm,2219,0.06267476345148991,3.771,3.786,-0.046,-0.061,0.0,0.0029,0.0117,0.1496,0.3402,0.6453,2.045,-1.36,0.17257,False
pepite,Tacticians Crown,49,0.0013839853128089254,3.551,3.814,-0.018,-0.281,0.0,0.0,0.0398,0.1837,0.4286,0.6735,2.1,-0.94,0.34912,False
populaire,Warmogs Armor,14650,0.41378336393164805,3.82,3.82,-0.012,-0.012,0.0,0.0048,0.0056,0.1384,0.3248,0.6392,2.034,-0.61,0.54107,False
pepite,Blue Buff,51,0.001440474509250106,3.784,3.829,-0.003,-0.048,0.0,0.0,-0.0062,0.1569,0.3922,0.6275,2.181,-0.16,0.87571,False
pepite,Rabadons Deathcap,42,0.0011862731252647932,3.81,3.831,-0.001,-0.023,0.0,0.0,0.0092,0.0952,0.381,0.6429,2.118,-0.07,0.94493,False
,Last Whisper,60,0.0016946758932354187,3.85,3.834,0.001,0.018,0.0,-0.0,-0.0337,0.2,0.3167,0.6,2.22,0.06,0.95027,False
,Morellonomicon,89,0.0025137692416325377,3.865,3.836,0.004,0.033,0.0,-0.0,-0.0269,0.1573,0.3371,0.6067,2.062,0.15,0.87994,False
populaire,Gargoyle Stoneplate,20289,0.5730546532975569,3.839,3.839,0.007,0.007,0.0,-0.004,-0.0036,0.1433,0.323,0.63,2.05,0.4,0.68587,False
populaire,Dragons Claw,4829,0.13639316480723063,3.841,3.84,0.008,0.009,0.0,-0.0011,-0.0064,0.1371,0.3162,0.6273,2.022,0.29,0.77084,False
,Giant Slayer,71,0.002005366473661912,3.944,3.842,0.01,0.112,0.0,-0.0,0.0001,0.0986,0.2817,0.6338,1.949,0.48,0.63005,False
,Red Buff,45,0.001271006919926564,4.0,3.842,0.01,0.168,0.0,-0.0,-0.0559,0.1333,0.2889,0.5778,2.055,0.55,0.58387,False
,Krakens Fury,57,0.0016099420985736478,4.0,3.845,0.013,0.168,0.0,-0.0,-0.0196,0.0526,0.2982,0.614,1.929,0.66,0.51141,False
,Component Needlessly Large Rod,42,0.0011862731252647932,4.143,3.85,0.017,0.311,0.0,-0.0,0.0092,0.0952,0.2143,0.6429,1.995,1.01,0.31304,False
,Hextech Gunblade,80,0.002259567857647225,4.025,3.852,0.02,0.193,0.0,-0.0,-0.0212,0.1125,0.2875,0.6125,2.055,0.84,0.40178,False
,Component B F Sword,54,0.001525208303911877,4.241,3.861,0.029,0.409,0.0,-0.0,-0.0596,0.1852,0.2222,0.5741,2.151,1.39,0.16303,False
,Archangels Staff,77,0.002174834062985454,4.182,3.866,0.034,0.35,0.0,-0.0001,-0.0363,0.1429,0.3636,0.5974,2.495,1.23,0.21913,False
,Strikers Flail,77,0.002174834062985454,4.182,3.866,0.034,0.35,0.0,-0.0001,-0.0363,0.0909,0.2338,0.5974,2.018,1.52,0.12871,False
,Component Sparring Gloves,51,0.001440474509250106,4.431,3.872,0.04,0.599,0.049,-0.0001,-0.1239,0.0588,0.1569,0.5098,2.002,2.14,0.03272,True
,Deathblade,53,0.0014969637056912865,4.66,3.89,0.058,0.828,0.272,-0.0001,-0.1997,0.0943,0.1698,0.434,2.064,2.92,0.00352,True
,Quicksilver,297,0.008388645671515323,4.037,3.893,0.061,0.205,0.0,-0.0005,-0.0478,0.1279,0.2626,0.5859,2.05,1.72,0.08631,False
