group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Brawler,729,0.02233729623728398,3.213,3.507,-0.329,-0.623,-0.474,0.0073,0.0994,0.2785,0.454,0.7325,2.031,-8.19,0.0,True
populaire,Emblem Sprykin,455,0.013941659517097683,3.382,3.649,-0.186,-0.453,-0.263,0.0026,0.0922,0.2308,0.4088,0.7253,2.058,-4.66,0.0,True
populaire,Emblem Vanguard,770,0.023593577644319158,3.526,3.668,-0.167,-0.309,-0.165,0.004,0.0591,0.1766,0.3883,0.6922,2.021,-4.2,3e-05,True
populaire,Emblem Fae,489,0.01498345385463905,3.491,3.688,-0.148,-0.345,-0.157,0.0022,0.0561,0.2168,0.411,0.6892,2.102,-3.6,0.00032,True
populaire,Emblem Blossom,431,0.013206275278833191,3.842,3.838,0.003,0.007,0.0,-0.0,-0.0043,0.1439,0.3039,0.6288,2.027,0.07,0.94485,False
populaire,Emblem Defender,584,0.017894349797769334,3.849,3.842,0.007,0.014,0.0,-0.0001,-0.0064,0.1575,0.351,0.6267,2.146,0.16,0.8767,False
,Emblem Rapidfire,56,0.0017158965559504842,3.964,3.846,0.01,0.129,0.0,-0.0,0.0098,0.1071,0.2679,0.6429,1.955,0.49,0.62208,False
populaire,Emblem Hunter,339,0.010387302365485967,3.926,3.866,0.031,0.091,0.0,-0.0003,-0.0136,0.1416,0.3127,0.6195,2.078,0.8,0.42319,False
,Emblem Lunar,68,0.0020835886750827305,4.221,3.872,0.036,0.385,0.0,-0.0001,-0.0743,0.0735,0.2647,0.5588,2.021,1.57,0.11641,False
populaire,Emblem Elderwood,178,0.005454099767128325,4.056,3.883,0.047,0.221,0.0,-0.0003,-0.06,0.1685,0.3258,0.573,2.243,1.31,0.19015,False
,Emblem Spellweaver,44,0.0013482044368182376,4.659,3.887,0.052,0.824,0.229,-0.0001,-0.1103,0.0682,0.1364,0.5227,2.011,2.72,0.00662,True
,Emblem Inferno,79,0.00242063978428729,4.392,3.896,0.06,0.557,0.136,-0.0001,-0.1014,0.0506,0.2025,0.5316,1.905,2.59,0.00947,True
populaire,Emblem Flora Fatalis,112,0.0034317931119009683,4.375,3.914,0.079,0.54,0.152,-0.0003,-0.0527,0.0625,0.2232,0.5804,2.088,2.73,0.00633,True
,Emblem Invoker,67,0.0020529476651550433,4.821,3.927,0.092,0.985,0.501,-0.0002,-0.2301,0.0896,0.194,0.403,2.022,3.99,7e-05,True
,Emblem Blackthorn,108,0.0033092290721902194,4.694,3.957,0.122,0.859,0.439,-0.0004,-0.1423,0.0648,0.2037,0.4907,2.226,4.01,6e-05,True
populaire,Emblem Slayer,191,0.0058524328961882584,4.445,3.973,0.138,0.61,0.33,-0.0008,-0.1252,0.0785,0.178,0.5079,1.965,4.27,2e-05,True
,Emblem Coven,110,0.003370511092045594,4.973,3.999,0.164,1.137,0.712,-0.0006,-0.224,0.1182,0.1818,0.4091,2.274,5.24,0.0,True
