group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Evenshroud + Sunfire Cape,1221,0.038036198249275725,3.481,3.603,-0.233,-0.356,-0.243,0.0089,0.0673,0.1933,0.3751,0.7002,1.961,-6.21,0.0,True
pepite,Protectors Vow + Sunfire Cape,1034,0.032210834553440704,3.479,3.616,-0.221,-0.358,-0.237,0.0071,0.0673,0.1838,0.3743,0.7002,1.951,-5.79,0.0,True
pepite,Evenshroud + Protectors Vow,849,0.02644777421264135,3.476,3.631,-0.205,-0.36,-0.222,0.0054,0.0632,0.2014,0.384,0.6961,2.024,-5.12,0.0,True
pepite,Evenshroud + Steadfast Heart,487,0.015170866951185321,3.378,3.639,-0.198,-0.459,-0.284,0.003,0.0776,0.193,0.4107,0.7105,1.944,-5.16,0.0,True
pepite,Emblem Brawler + Gargoyle Stoneplate,164,0.005108875112924831,2.927,3.651,-0.185,-0.909,-0.621,0.0009,0.1354,0.2988,0.5366,0.7683,1.882,-6.17,0.0,True
pepite,Bramble Vest + Sunfire Cape,437,0.013613283075293605,3.398,3.659,-0.177,-0.438,-0.26,0.0024,0.1062,0.1785,0.3844,0.7391,1.887,-4.81,0.0,True
,Bramble Vest + Steadfast Heart,239,0.007445250926762406,3.192,3.662,-0.175,-0.644,-0.416,0.0013,0.1411,0.2008,0.41,0.7741,1.785,-5.55,0.0,True
,Steraks Gage + Warmogs Armor,215,0.006697610666334382,3.186,3.673,-0.163,-0.65,-0.405,0.0011,0.1345,0.2233,0.4279,0.7674,1.826,-5.2,0.0,True
,Bramble Vest + Gargoyle Stoneplate,1073,0.03342574997663624,3.583,3.678,-0.158,-0.253,-0.133,0.0053,0.0521,0.1594,0.3532,0.685,1.965,-4.14,3e-05,True
,Emblem Brawler + Warmogs Armor,112,0.0034889878819974454,2.866,3.692,-0.144,-0.97,-0.648,0.0005,0.1974,0.2768,0.4911,0.8304,1.735,-5.91,0.0,True
,Protectors Vow + Steadfast Heart,395,0.012304912619544563,3.484,3.702,-0.134,-0.353,-0.146,0.0017,0.0709,0.1924,0.4152,0.7038,2.086,-3.34,0.00083,True
,Steraks Gage + Sunfire Cape,159,0.004953116725335659,3.17,3.704,-0.132,-0.667,-0.39,0.0007,0.1533,0.2013,0.4088,0.7862,1.771,-4.73,0.0,True
,Dragons Claw + Evenshroud,263,0.00819289118719043,3.414,3.714,-0.123,-0.422,-0.187,0.001,0.0705,0.2091,0.3764,0.7034,1.934,-3.52,0.00043,True
,Steadfast Heart + Warmogs Armor,1159,0.036104794243169994,3.649,3.716,-0.121,-0.187,-0.072,0.0044,0.053,0.1398,0.3486,0.6859,1.97,-3.18,0.00148,True
populaire,Gargoyle Stoneplate + Steadfast Heart,1642,0.051151054484283975,3.671,3.718,-0.119,-0.165,-0.065,0.0061,0.0346,0.1547,0.352,0.6675,2.009,-3.25,0.00117,True
,Evenshroud + Steraks Gage,109,0.0033955328494439424,3.018,3.718,-0.119,-0.818,-0.47,0.0004,0.1836,0.2385,0.4495,0.8165,1.847,-4.61,0.0,True
,Steadfast Heart + Sunfire Cape,715,0.02227344942525155,3.628,3.727,-0.11,-0.208,-0.061,0.0024,0.0468,0.1608,0.3552,0.6797,1.984,-2.78,0.0055,True
,Emblem Brawler + Spirit Visage,94,0.0029282576866764276,2.979,3.727,-0.11,-0.858,-0.468,0.0003,0.1118,0.3298,0.5106,0.7447,1.924,-4.31,2e-05,True
,Emblem Vanguard + Gargoyle Stoneplate,279,0.00869131802747578,3.48,3.728,-0.108,-0.356,-0.124,0.0009,0.0804,0.1828,0.3835,0.7133,1.971,-3.0,0.00267,True
