group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Emerald,5450,0.16977664247219712,3.081,3.161,-0.675,-0.755,-0.7,0.1147,0.1464,0.2248,0.4844,0.7793,1.87,-27.16,0.0,True
pepite,Brawler,3957,0.12326718793807047,3.121,3.221,-0.616,-0.716,-0.65,0.0759,0.1207,0.2555,0.4817,0.7536,1.959,-21.56,0.0,True
populaire,Fae,6632,0.2065979252982773,3.172,3.231,-0.606,-0.664,-0.612,0.1252,0.1153,0.2479,0.4634,0.7482,1.96,-24.92,0.0,True
populaire,Vanguard,8427,0.2625151864427899,3.217,3.261,-0.575,-0.619,-0.572,0.151,0.1237,0.2046,0.4564,0.7566,1.929,-25.88,0.0,True
pepite,Hunter,2520,0.07850222734494253,3.133,3.276,-0.56,-0.703,-0.624,0.044,0.1199,0.2444,0.481,0.7528,1.949,-17.37,0.0,True
pepite,Sprykin,6515,0.2029531790286907,3.346,3.39,-0.447,-0.491,-0.436,0.0906,0.0836,0.2284,0.433,0.7165,2.043,-17.66,0.0,True
populaire,Defender,7974,0.24840347652721098,3.384,3.418,-0.418,-0.452,-0.402,0.1039,0.0803,0.217,0.4222,0.7132,2.03,-17.76,0.0,True
pepite,Sprykin,369,0.01149496900408087,2.783,3.452,-0.384,-1.053,-0.858,0.0044,0.1964,0.3306,0.5556,0.8293,1.899,-10.58,0.0,True
pepite,Greenfather,2608,0.08124357496651195,3.365,3.458,-0.378,-0.471,-0.39,0.0307,0.081,0.2182,0.4367,0.714,2.042,-11.33,0.0,True
,Lux Unique Trait,2191,0.06825332544157503,3.375,3.48,-0.357,-0.461,-0.376,0.0243,0.0841,0.1953,0.4236,0.717,1.974,-10.55,0.0,True
,Brawler,316,0.00984393009563565,2.943,3.542,-0.295,-0.893,-0.681,0.0029,0.1646,0.307,0.4905,0.7975,1.913,-8.25,0.0,True
,Hunter,281,0.008753621382511447,2.993,3.58,-0.257,-0.843,-0.64,0.0022,0.1642,0.21,0.4947,0.7972,1.731,-8.12,0.0,True
,Hunter,664,0.020684713871842,3.334,3.581,-0.255,-0.502,-0.352,0.0053,0.0975,0.2139,0.4202,0.7304,1.95,-6.56,0.0,True
populaire,Adaptor,11063,0.34463100837980126,3.591,3.604,-0.232,-0.245,-0.203,0.0799,0.0584,0.1444,0.3568,0.6913,1.928,-11.35,0.0,True
populaire,Hunter,7874,0.24528830877542757,3.618,3.635,-0.202,-0.218,-0.168,0.0495,0.039,0.1814,0.3598,0.672,2.036,-8.51,0.0,True
,Executioner,233,0.0072583408616554,3.086,3.636,-0.2,-0.75,-0.519,0.0015,0.1697,0.2403,0.4249,0.8026,1.797,-6.35,0.0,True
,Invoker,1313,0.040902152580916486,3.545,3.64,-0.196,-0.292,-0.183,0.008,0.0723,0.1569,0.3724,0.7053,1.971,-5.25,0.0,True
,Blossom,3216,0.10018379489735522,3.619,3.655,-0.181,-0.217,-0.144,0.0181,0.039,0.1673,0.3598,0.672,2.015,-5.82,0.0,True
