group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Gnar Small,3092,0.09632098688514376,2.872,3.037,-0.799,-0.965,-0.894,0.0769,0.1591,0.304,0.5508,0.792,1.905,-26.71,0.0,True
pepite,Taric,5495,0.17117846796049968,3.079,3.158,-0.678,-0.757,-0.703,0.1161,0.1467,0.2247,0.4848,0.7796,1.868,-27.35,0.0,True
pepite,Ashe,4518,0.14074327902557554,3.206,3.284,-0.552,-0.63,-0.57,0.0777,0.1172,0.22,0.4478,0.7501,1.9,-20.67,0.0,True
populaire,Lillia,7843,0.2443226067723747,3.326,3.365,-0.472,-0.51,-0.461,0.1152,0.0882,0.222,0.4315,0.7212,2.001,-20.15,0.0,True
pepite,Ivern,2658,0.08280115884240366,3.345,3.44,-0.396,-0.492,-0.411,0.0328,0.0842,0.2242,0.4406,0.7171,2.041,-11.93,0.0,True
pepite,Rammus,7582,0.23619201894021993,3.427,3.459,-0.377,-0.409,-0.358,0.0891,0.0694,0.2188,0.4168,0.7023,2.065,-15.53,0.0,True
pepite,Rengar,1631,0.0508083860315878,3.324,3.469,-0.368,-0.513,-0.409,0.0187,0.0869,0.2446,0.4476,0.7198,2.084,-9.7,0.0,True
,Lux Base,2202,0.0685959938942712,3.376,3.48,-0.356,-0.46,-0.375,0.0244,0.0837,0.1957,0.4237,0.7166,1.976,-10.55,0.0,True
,Kobuko,5318,0.165664621039843,3.481,3.519,-0.317,-0.356,-0.296,0.0526,0.0638,0.2074,0.3968,0.6967,2.062,-11.65,0.0,True
,Sett,4097,0.12762842279056727,3.498,3.544,-0.292,-0.338,-0.273,0.0373,0.0603,0.1879,0.3837,0.6932,1.989,-10.21,0.0,True
populaire,Tristana,9869,0.30743590542350707,3.57,3.586,-0.25,-0.267,-0.22,0.077,0.0429,0.1931,0.3859,0.6759,2.074,-11.2,0.0,True
populaire,Sivir,13066,0.40702781844802344,3.585,3.597,-0.239,-0.251,-0.21,0.0975,0.0431,0.1843,0.3727,0.676,2.038,-11.86,0.0,True
,Xayah,5232,0.16298557677330924,3.597,3.624,-0.213,-0.239,-0.178,0.0347,0.0351,0.1843,0.3794,0.668,2.068,-7.76,0.0,True
,Teemo,728,0.022678421232983397,3.482,3.648,-0.188,-0.354,-0.2,0.0043,0.0663,0.2047,0.4148,0.6992,2.105,-4.49,1e-05,True
populaire,Rakan,10195,0.31759135229432106,3.643,3.654,-0.182,-0.193,-0.147,0.0578,0.0267,0.187,0.372,0.6596,2.092,-8.17,0.0,True
populaire,Sentinel,11946,0.372137939628049,3.655,3.664,-0.172,-0.181,-0.14,0.064,0.0465,0.1383,0.3471,0.6794,1.958,-8.53,0.0,True
