group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Deathblade + Giant Slayer + Guinsoos Rageblade,547,0.0174481658692185,3.698,3.892,-0.169,-0.363,-0.189,0.003,0.0694,0.1682,0.3492,0.6527,2.055,-4.09,4e-05,True
pepite,Navori Flickerblade + Hextech Gunblade + Krakens Fury,147,0.004688995215311005,3.211,3.9,-0.162,-0.85,-0.566,0.0008,0.1922,0.1633,0.4218,0.7755,1.751,-5.87,0.0,True
pepite,Giant Slayer + Infinity Edge + Krakens Fury,205,0.006539074960127592,3.561,3.938,-0.123,-0.5,-0.202,0.0008,0.0948,0.2195,0.4049,0.678,2.169,-3.29,0.001,True
populaire,Giant Slayer + Guinsoos Rageblade + Krakens Fury,880,0.028070175438596492,3.853,3.94,-0.121,-0.208,-0.069,0.0034,0.0338,0.1602,0.3045,0.617,2.065,-2.94,0.00328,True
populaire,Deathblade + Guinsoos Rageblade + Krakens Fury,1399,0.04462519936204147,3.89,3.943,-0.118,-0.171,-0.059,0.0053,0.0257,0.1573,0.3195,0.609,2.103,-2.98,0.0029,True
pepite,Navori Flickerblade + Guinsoos Rageblade + Hextech Gunblade,160,0.005103668261562998,3.494,3.946,-0.115,-0.568,-0.27,0.0006,0.1605,0.1437,0.3563,0.7438,1.917,-3.73,0.00019,True
populaire,Giant Slayer + Guinsoos Rageblade + Infinity Edge,883,0.028165869218500797,3.872,3.951,-0.111,-0.189,-0.046,0.0031,0.0283,0.1631,0.3386,0.6116,2.134,-2.6,0.00939,True
pepite,Navori Flickerblade + Guinsoos Rageblade + Krakens Fury,284,0.009059011164274322,3.718,3.954,-0.107,-0.343,-0.118,0.001,0.0928,0.1232,0.2923,0.6761,1.922,-2.99,0.00279,True
populaire,Deathblade + Guinsoos Rageblade + Infinity Edge,1056,0.03368421052631579,3.894,3.956,-0.105,-0.167,-0.036,0.0035,0.0351,0.1695,0.3172,0.6184,2.138,-2.5,0.01239,True
pepite,Deathblade + Guinsoos Rageblade + Red Buff,150,0.004784688995215311,3.52,3.957,-0.104,-0.541,-0.204,0.0005,0.1367,0.2133,0.3933,0.72,2.1,-3.15,0.00164,True
pepite,Deathblade + Infinity Edge + Krakens Fury,165,0.005263157894736842,3.655,3.977,-0.085,-0.407,-0.079,0.0004,0.0773,0.2121,0.3576,0.6606,2.142,-2.43,0.01501,True
,Fishbones + Guinsoos Rageblade + Krakens Fury,223,0.007113237639553429,3.744,3.978,-0.083,-0.317,-0.045,0.0006,0.0759,0.1525,0.3318,0.6592,2.064,-2.28,0.02241,True
,Deathblade + Giant Slayer + Krakens Fury,111,0.0035406698564593303,3.523,3.98,-0.081,-0.539,-0.154,0.0003,0.0834,0.2162,0.3694,0.6667,2.066,-2.74,0.0061,True
,Giant Slayer + Krakens Fury + Last Whisper,83,0.0026475279106858056,3.373,3.981,-0.08,-0.688,-0.257,0.0002,0.1276,0.2651,0.3735,0.7108,1.998,-3.13,0.00174,True
,Deathblade + Krakens Fury + Krakens Fury,63,0.0020095693779904307,3.19,3.982,-0.08,-0.871,-0.344,0.0002,0.131,0.3016,0.5079,0.7143,2.13,-3.24,0.00119,True
,Deathblade + Giant Slayer + Red Buff,52,0.0016586921850079745,3.135,3.99,-0.071,-0.927,-0.377,0.0001,0.1859,0.3077,0.4423,0.7692,2.019,-3.31,0.00095,True
,Fishbones + Deathblade + Guinsoos Rageblade,84,0.002679425837320574,3.488,3.994,-0.068,-0.573,-0.111,0.0002,0.0953,0.2143,0.4524,0.6786,2.157,-2.43,0.01503,True
,Infinity Edge + Last Whisper + Red Buff,59,0.0018819776714513556,3.271,3.993,-0.068,-0.79,-0.207,0.0001,0.0947,0.3559,0.5085,0.678,2.284,-2.66,0.00792,True
,Giant Slayer + Krakens Fury + Krakens Fury,79,0.0025199362041467303,3.468,3.995,-0.066,-0.593,-0.182,0.0002,0.0876,0.1899,0.3544,0.6709,1.861,-2.83,0.0047,True
,Deathblade + Krakens Fury + Red Buff,75,0.0023923444976076554,3.44,3.995,-0.066,-0.621,-0.151,0.0002,0.0967,0.24,0.4,0.68,2.074,-2.59,0.00956,True
,Titanic Hydra + Guinsoos Rageblade + Krakens Fury,100,0.003189792663476874,3.6,3.998,-0.063,-0.461,-0.07,0.0002,0.0767,0.16,0.37,0.66,1.995,-2.31,0.021,True
,Giant Slayer + Infinity Edge + Red Buff,80,0.002551834130781499,3.525,4.001,-0.061,-0.536,-0.038,0.0002,0.0542,0.2875,0.4375,0.6375,2.269,-2.11,0.03474,True
,Deathblade + Giant Slayer + Infinity Edge,73,0.002328548644338118,3.493,4.002,-0.059,-0.568,-0.059,0.0001,0.1016,0.2329,0.411,0.6849,2.215,-2.19,0.02861,True
,Deathblade + Giant Slayer + Last Whisper,52,0.0016586921850079745,3.288,4.002,-0.059,-0.773,-0.228,0.0001,0.2052,0.2115,0.4038,0.7885,2.003,-2.78,0.00545,True
,Krakens Fury + Last Whisper + Red Buff,52,0.0016586921850079745,3.288,4.002,-0.059,-0.773,-0.2,0.0001,0.1475,0.25,0.4231,0.7308,2.106,-2.64,0.0082,True
,Giant Slayer + Guinsoos Rageblade + Red Buff,127,0.00405103668261563,3.724,4.005,-0.057,-0.337,0.0,0.0002,0.0624,0.1417,0.3307,0.6457,1.963,-1.93,0.05369,False
,Rapid Fire Cannon + Guinsoos Rageblade + Krakens Fury,115,0.003668261562998405,3.704,4.006,-0.055,-0.357,0.0,0.0002,0.0863,0.1304,0.3478,0.6696,1.991,-1.92,0.05508,False
,Giant Slayer + Infinity Edge + Strikers Flail,46,0.0014673046251993621,3.261,4.007,-0.055,-0.8,-0.28,0.0001,0.1558,0.1957,0.3913,0.7391,1.799,-3.01,0.00257,True
,Mittens + Guinsoos Rageblade + Krakens Fury,63,0.0020095693779904307,3.476,4.008,-0.053,-0.585,-0.117,0.0001,0.1469,0.1429,0.3651,0.7302,1.893,-2.45,0.01427,True
,Fishbones + Guinsoos Rageblade + Infinity Edge,116,0.003700159489633174,3.733,4.01,-0.051,-0.329,0.0,0.0002,0.0891,0.1466,0.3793,0.6724,2.155,-1.64,0.10123,False
,Navori Flickerblade + Infinity Edge + Krakens Fury,41,0.0013078149920255184,3.244,4.011,-0.05,-0.817,-0.269,0.0001,0.124,0.2439,0.3659,0.7073,1.791,-2.92,0.00351,True
,Giant Slayer + Last Whisper + Red Buff,40,0.0012759170653907496,3.225,4.011,-0.05,-0.836,-0.148,0.0001,0.1917,0.325,0.475,0.775,2.219,-2.38,0.01722,True
,Deathblade + Last Whisper + Red Buff,54,0.001722488038277512,3.444,4.012,-0.049,-0.617,-0.018,0.0001,0.1945,0.2222,0.4259,0.7778,2.242,-2.02,0.04332,False
,Rapid Fire Cannon + Deathblade + Guinsoos Rageblade,40,0.0012759170653907496,3.25,4.013,-0.049,-0.811,-0.177,0.0001,0.1167,0.275,0.475,0.7,2.046,-2.51,0.01222,True
,Guinsoos Rageblade + Krakens Fury + Red Buff,182,0.005805422647527911,3.846,4.013,-0.048,-0.215,0.0,0.0003,0.0376,0.1813,0.3352,0.6209,2.091,-1.38,0.16641,False
,Emblem Hunter + Guinsoos Rageblade + Krakens Fury,77,0.002456140350877193,3.649,4.016,-0.045,-0.412,0.0,0.0001,0.0791,0.1299,0.3896,0.6623,2.005,-1.8,0.0718,False
,Navori Flickerblade + Giant Slayer + Guinsoos Rageblade,60,0.0019138755980861245,3.55,4.017,-0.045,-0.511,-0.034,0.0001,0.1,0.1833,0.3333,0.6833,1.883,-2.1,0.03572,True
,Deathblade + Guinsoos Rageblade + Strikers Flail,116,0.003700159489633174,3.784,4.018,-0.043,-0.277,0.0,0.0002,0.046,0.1897,0.3362,0.6293,2.157,-1.38,0.16766,False
