group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Navori Flickerblade,1426,0.041691030288855103,3.572,3.735,-0.338,-0.501,-0.397,0.0141,0.1089,0.162,0.3471,0.69,1.949,-9.46,0.0,True
populaire,Red Buff,2283,0.06674657934744474,3.717,3.799,-0.274,-0.356,-0.263,0.0183,0.0667,0.2089,0.3693,0.6478,2.192,-7.51,0.0,True
pepite,Fishbones,909,0.02657583908314817,3.597,3.802,-0.271,-0.476,-0.338,0.0072,0.1053,0.1793,0.3839,0.6865,2.087,-6.77,0.0,True
pepite,Titanic Hydra,334,0.00976493977312595,3.362,3.84,-0.233,-0.711,-0.491,0.0023,0.1434,0.1946,0.4311,0.7246,2.038,-6.34,0.0,True
populaire,Giant Slayer,6064,0.17728920594082564,3.819,3.844,-0.229,-0.254,-0.196,0.0405,0.0425,0.1763,0.3397,0.6237,2.142,-8.5,0.0,True
populaire,Deathblade,7421,0.21696292831247807,3.902,3.917,-0.156,-0.171,-0.116,0.0339,0.029,0.1686,0.3261,0.6102,2.163,-6.16,0.0,True
pepite,Quicksilver,514,0.015027482165828557,3.767,3.942,-0.131,-0.306,-0.113,0.002,0.055,0.1984,0.3696,0.6362,2.221,-3.11,0.0019,True
pepite,Rapid Fire Cannon,420,0.012279265582972751,3.736,3.945,-0.128,-0.337,-0.14,0.0016,0.0641,0.1643,0.3405,0.6452,2.047,-3.35,0.0008,True
pepite,Mittens,255,0.007455268389662028,3.616,3.949,-0.124,-0.457,-0.214,0.0009,0.0777,0.1765,0.3647,0.6588,1.973,-3.69,0.00023,True
populaire,Strikers Flail,1609,0.04704128172143609,3.909,3.958,-0.115,-0.164,-0.053,0.0054,0.0292,0.1784,0.3344,0.6103,2.209,-2.91,0.00365,True
populaire,Krakens Fury,14175,0.4144252134253304,3.994,3.997,-0.076,-0.079,-0.037,0.0313,0.016,0.1432,0.2992,0.5972,2.122,-3.71,0.00021,True
pepite,Hand Of Justice,346,0.010115775932639457,3.853,3.999,-0.074,-0.22,0.0,0.0007,0.0402,0.1763,0.341,0.6214,2.165,-1.88,0.05955,False
,Wits End,151,0.0044146883405449654,3.675,4.001,-0.072,-0.398,-0.082,0.0003,0.0943,0.1656,0.3113,0.6755,1.975,-2.47,0.01365,True
,Infinity Force,114,0.0033329435153783183,3.57,4.001,-0.072,-0.503,-0.117,0.0002,0.0592,0.2105,0.4035,0.6404,2.098,-2.55,0.01065,True
,Artifact Talisman Of Ascension,54,0.0015787627178107824,3.185,4.008,-0.065,-0.888,-0.397,0.0001,0.2151,0.2037,0.4259,0.7963,1.837,-3.55,0.00039,True
,Void Staff,52,0.001520290024558531,3.25,4.015,-0.058,-0.823,-0.317,0.0001,0.1688,0.1923,0.4423,0.75,1.859,-3.19,0.00143,True
,Edge Of Night,86,0.0025143258098468016,3.651,4.026,-0.047,-0.422,0.0,0.0001,0.07,0.1744,0.3953,0.6512,2.139,-1.83,0.0678,False
,Gold Collector,216,0.00631505087124313,3.884,4.028,-0.045,-0.189,0.0,0.0003,0.0392,0.1713,0.3241,0.6204,2.171,-1.27,0.20279,False
,Emblem Hunter,350,0.01023272131914396,3.954,4.033,-0.04,-0.119,0.0,0.0004,0.036,0.14,0.3086,0.6171,2.159,-1.02,0.3061,False
,Tacticians Crown,161,0.004707051806806221,3.87,4.034,-0.039,-0.203,0.0,0.0002,0.0586,0.1553,0.3168,0.6398,2.08,-1.24,0.21569,False
populaire,Hextech Gunblade,5218,0.15255525669512338,4.034,4.039,-0.034,-0.039,0.0,0.0052,0.0137,0.1297,0.2878,0.5949,2.104,-1.23,0.22038,False
,Statikk Shiv,257,0.007513741082914279,3.953,4.04,-0.033,-0.12,0.0,0.0002,0.0258,0.1051,0.2685,0.607,1.873,-1.02,0.30802,False
,Titans Resolve,90,0.002631271196351304,3.822,4.044,-0.029,-0.251,0.0,0.0001,0.03,0.2111,0.3111,0.6111,2.143,-1.11,0.26748,False
populaire,Infinity Edge,10850,0.3172143608934628,4.053,4.054,-0.019,-0.02,0.0,0.0059,0.0001,0.1537,0.3065,0.5813,2.194,-0.82,0.40947,False
,Guinsoos Rageblade Radiant,158,0.004619342766927844,3.975,4.055,-0.018,-0.098,0.0,0.0001,0.0391,0.1456,0.2975,0.6203,2.143,-0.58,0.56515,False
,Infinity Edge Radiant,41,0.0011986902116711497,4.0,4.069,-0.004,-0.073,0.0,0.0,0.0042,0.1707,0.3659,0.5854,2.337,-0.2,0.84157,False
,Giant Slayer Radiant,57,0.0016664717576891591,4.053,4.071,-0.002,-0.02,0.0,0.0,0.068,0.1053,0.2456,0.6491,1.995,-0.08,0.93861,False
,Emblem Primal,43,0.0012571629049234008,4.116,4.076,0.003,0.043,0.0,-0.0,-0.023,0.1628,0.2791,0.5581,2.126,0.13,0.8939,False
,Krakens Fury Radiant,133,0.003888434101274705,4.098,4.077,0.004,0.025,0.0,-0.0,0.0203,0.0902,0.2632,0.6015,2.037,0.14,0.88883,False
populaire,Guinsoos Rageblade,23319,0.6817623669746229,4.08,4.08,0.007,0.007,0.0,-0.0048,-0.0027,0.139,0.2897,0.5785,2.148,0.39,0.69537,False
,Deathblade Radiant,54,0.0015787627178107824,4.222,4.084,0.011,0.149,0.0,-0.0,-0.0071,0.1111,0.1852,0.5741,2.025,0.54,0.58842,False
,Hellfire Hatchet,47,0.0013741082914279033,4.277,4.086,0.013,0.204,0.0,-0.0,-0.0918,0.1064,0.2553,0.4894,1.997,0.7,0.48492,False
,Bloodthirster,72,0.0021050169570810432,4.25,4.09,0.017,0.177,0.0,-0.0,-0.095,0.1389,0.2083,0.4861,2.012,0.75,0.45598,False
,Emblem Executioner,185,0.0054087241258332355,4.222,4.105,0.032,0.149,0.0,-0.0002,-0.0352,0.1297,0.2649,0.5459,2.188,0.92,0.35691,False
,Nashors Tooth,46,0.0013448719448017775,4.674,4.111,0.038,0.601,0.065,-0.0001,-0.1464,0.0652,0.1304,0.4348,1.854,2.2,0.02807,True
,Gamblers Blade,421,0.012308501929598877,4.195,4.119,0.046,0.122,0.0,-0.0006,-0.061,0.1591,0.304,0.5202,2.238,1.11,0.26696,False
,Emblem Lunar,62,0.0018126534908197872,4.645,4.121,0.048,0.572,0.064,-0.0001,-0.1134,0.0968,0.1613,0.4677,2.041,2.21,0.02743,True
populaire,Last Whisper,4461,0.1304233422991463,4.162,4.15,0.077,0.089,0.02,-0.0101,-0.0199,0.1453,0.2824,0.5613,2.21,2.54,0.01123,True
,Component Negatron Cloak,40,0.0011694538650450239,6.45,4.204,0.131,2.377,1.907,-0.0002,-0.4562,0.0,0.0,0.125,1.516,9.91,0.0,True
,Blue Buff,89,0.0026020348497251783,5.236,4.207,0.134,1.163,0.731,-0.0003,-0.2666,0.0674,0.1461,0.3146,2.077,5.27,0.0,True
