group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Navori Flickerblade,1562,0.05064522404513326,3.577,3.713,-0.344,-0.48,-0.379,0.0174,0.1039,0.1677,0.3515,0.6882,1.978,-9.31,0.0,True
populaire,Titanic Hydra,464,0.015044419946825757,3.351,3.754,-0.303,-0.706,-0.516,0.0046,0.1398,0.2134,0.4397,0.7241,2.079,-7.26,0.0,True
populaire,Fishbones,1067,0.03459568121392906,3.599,3.767,-0.291,-0.459,-0.331,0.0101,0.1017,0.1799,0.3871,0.686,2.094,-7.03,0.0,True
populaire,Mittens,355,0.011510278192075741,3.504,3.855,-0.202,-0.553,-0.344,0.0023,0.1086,0.1944,0.3859,0.693,1.995,-5.19,0.0,True
populaire,Rapid Fire Cannon,542,0.017573438817197327,3.738,3.908,-0.149,-0.32,-0.143,0.0026,0.0743,0.1734,0.3395,0.6587,2.073,-3.55,0.00038,True
populaire,Wits End,212,0.0068737435963945265,3.66,3.956,-0.102,-0.397,-0.116,0.0007,0.0902,0.1981,0.3396,0.6745,2.083,-2.77,0.00567,True
populaire,Infinity Force,193,0.006257700538227093,3.637,3.957,-0.1,-0.42,-0.099,0.0006,0.0582,0.2435,0.4093,0.6425,2.272,-2.56,0.01041,True
pepite,Artifact Talisman Of Ascension,110,0.0035665650736009338,3.518,3.976,-0.082,-0.539,-0.159,0.0003,0.1611,0.1818,0.4,0.7455,2.03,-2.78,0.00543,True
populaire,Gold Collector,302,0.00979184229297711,3.858,3.992,-0.066,-0.2,0.0,0.0006,0.0448,0.1656,0.3146,0.6291,2.107,-1.64,0.10088,False
populaire,Statikk Shiv,353,0.011445431554373905,4.037,4.05,-0.008,-0.021,0.0,0.0001,0.0191,0.0992,0.255,0.6034,1.916,-0.2,0.83992,False
pepite,Hellfire Hatchet,112,0.003631411711302769,4.045,4.056,-0.002,-0.013,0.0,0.0,-0.0308,0.125,0.2679,0.5536,2.033,-0.07,0.94639,False
populaire,Gamblers Blade,536,0.017378898904091823,4.205,4.126,0.069,0.148,0.0,-0.0012,-0.047,0.1586,0.3041,0.5373,2.272,1.49,0.13559,False
