group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Red Buff,2643,0.08569483172297516,3.751,3.809,-0.248,-0.306,-0.219,0.0213,0.0566,0.2036,0.3594,0.6409,2.191,-6.9,0.0,True
populaire,Giant Slayer,6177,0.2002788405421179,3.816,3.838,-0.22,-0.242,-0.183,0.044,0.0398,0.174,0.3405,0.6241,2.136,-8.09,0.0,True
pepite,Quicksilver,729,0.023636599442318915,3.765,3.899,-0.158,-0.292,-0.131,0.0037,0.0535,0.1893,0.3676,0.6379,2.2,-3.54,0.00039,True
populaire,Deathblade,7344,0.23811685364113871,3.909,3.92,-0.137,-0.149,-0.093,0.0327,0.0262,0.1716,0.3276,0.6106,2.181,-5.26,0.0,True
pepite,Tacticians Crown,292,0.009467609104467933,3.637,3.922,-0.135,-0.421,-0.167,0.0013,0.0903,0.226,0.3801,0.6747,2.199,-3.25,0.00114,True
pepite,Hand Of Justice,525,0.01702224239673173,3.804,3.941,-0.117,-0.254,-0.067,0.002,0.0557,0.1829,0.3486,0.64,2.164,-2.66,0.00772,True
pepite,Edge Of Night,224,0.007262823422605538,3.786,3.985,-0.072,-0.272,0.0,0.0005,0.0496,0.1875,0.3795,0.6339,2.256,-1.8,0.07221,True
populaire,Krakens Fury,13358,0.433110693210557,3.985,3.988,-0.069,-0.072,-0.029,0.03,0.0155,0.1446,0.3005,0.5998,2.125,-3.26,0.0011,True
populaire,Strikers Flail,1884,0.06108553271512872,3.979,3.998,-0.059,-0.079,0.0,0.0036,0.0112,0.1736,0.3312,0.5955,2.248,-1.48,0.13884,False
populaire,Hextech Gunblade,4979,0.16143570455871864,3.999,4.005,-0.052,-0.059,0.0,0.0084,0.0178,0.1354,0.293,0.6021,2.099,-1.82,0.06912,True
pepite,Titans Resolve,177,0.005738927436612412,3.983,4.041,-0.017,-0.075,0.0,0.0001,0.0258,0.1469,0.2825,0.6102,2.09,-0.47,0.63619,False
pepite,Void Staff,245,0.007943713118474808,4.004,4.042,-0.015,-0.054,0.0,0.0001,0.0034,0.1551,0.3102,0.5878,2.179,-0.38,0.70183,False
,Tacticians Cape,54,0.0017508592179495493,3.944,4.048,-0.009,-0.113,0.0,0.0,-0.0103,0.2222,0.2963,0.5741,2.24,-0.37,0.71069,False
,Morellonomicon,181,0.005868620712016082,4.05,4.056,-0.002,-0.008,0.0,0.0,0.0013,0.1547,0.2762,0.5856,2.145,-0.05,0.96079,False
populaire,Infinity Edge,10693,0.3467025484728617,4.057,4.057,-0.0,-0.0,0.0,0.0001,-0.0037,0.1539,0.3052,0.5807,2.192,-0.01,0.9947,False
populaire,Guinsoos Rageblade,22014,0.7137669411840996,4.089,4.089,0.031,0.032,0.0,-0.0222,-0.0075,0.1398,0.2894,0.5769,2.155,1.67,0.09493,False
,Adaptive Helm,46,0.0014914726671422086,4.761,4.106,0.049,0.703,0.082,-0.0001,-0.1061,0.0435,0.1957,0.4783,2.149,2.22,0.02654,True
,Archangels Staff,48,0.001556319304844044,5.083,4.132,0.074,1.026,0.478,-0.0001,-0.2093,0.0417,0.1042,0.375,1.935,3.67,0.00024,True
,Steraks Gage,85,0.0027559821023279943,4.694,4.135,0.077,0.637,0.175,-0.0002,-0.1255,0.0706,0.2118,0.4588,2.169,2.7,0.00691,True
,Rabadons Deathcap,81,0.0026262888269243238,4.926,4.158,0.101,0.868,0.413,-0.0003,-0.1769,0.0617,0.1481,0.4074,2.089,3.74,0.00019,True
,Bloodthirster,218,0.007068283509500032,4.454,4.161,0.104,0.397,0.123,-0.0007,-0.0981,0.0872,0.2248,0.4862,2.052,2.84,0.00449,True
populaire,Last Whisper,4688,0.1520005187731016,4.18,4.165,0.108,0.122,0.054,-0.0164,-0.0242,0.1433,0.2828,0.5602,2.221,3.51,0.00044,True
,Component Tear Of The Goddess,99,0.0032099085662408403,5.131,4.206,0.148,1.074,0.643,-0.0005,-0.1803,0.0707,0.1414,0.404,2.182,4.89,0.0,True
,Nashors Tooth,164,0.005317424291550483,4.768,4.207,0.149,0.711,0.386,-0.0008,-0.127,0.0915,0.1646,0.4573,2.114,4.29,2e-05,True
,Component Negatron Cloak,63,0.0020426690876078077,6.508,4.285,0.227,2.45,2.028,-0.0005,-0.4732,0.0317,0.0317,0.1111,1.708,11.37,0.0,True
,Jeweled Gauntlet,172,0.005576810842357824,5.169,4.3,0.242,1.111,0.769,-0.0014,-0.2064,0.0814,0.1628,0.3779,2.283,6.37,0.0,True
,Blue Buff,231,0.007489786654561961,4.974,4.307,0.25,0.916,0.648,-0.0019,-0.1991,0.0563,0.1558,0.3853,2.074,6.69,0.0,True
,Component Needlessly Large Rod,234,0.0075870566111147135,5.65,4.495,0.438,1.592,1.339,-0.0033,-0.3407,0.0427,0.0855,0.2436,1.963,12.35,0.0,True
,Component Sparring Gloves,374,0.012126321250243174,5.334,4.539,0.482,1.277,1.046,-0.0058,-0.2234,0.0775,0.1471,0.361,2.259,10.87,0.0,True
,Component Recurve Bow,611,0.019810647817910643,5.357,4.704,0.647,1.299,1.119,-0.0128,-0.2341,0.0736,0.1424,0.3502,2.247,14.16,0.0,True
,Component B F Sword,736,0.02386356267427534,5.265,4.714,0.657,1.207,1.045,-0.0157,-0.2107,0.0761,0.1454,0.3736,2.225,14.56,0.0,True
populaire,Spear Of Shojin,1125,0.03647623370728228,5.184,4.785,0.728,1.126,1.0,-0.0265,-0.2146,0.064,0.1449,0.3698,2.12,17.49,0.0,True
