group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Hunter,596,0.01932429803514688,4.104,4.08,0.023,0.046,0.0,-0.0004,-0.0021,0.1342,0.2919,0.5822,2.193,0.51,0.6085,False
populaire,Emblem Spellweaver,84,0.0027235587834770767,4.452,4.105,0.047,0.395,0.0,-0.0001,-0.0724,0.119,0.25,0.5119,2.332,1.55,0.12119,False
populaire,Emblem Defender,61,0.0019778224499059725,4.607,4.107,0.049,0.549,0.0,-0.0001,-0.0433,0.1311,0.2459,0.541,2.349,1.82,0.06818,True
populaire,Emblem Sprykin,96,0.003112638609688088,4.49,4.116,0.058,0.432,0.0,-0.0002,-0.0635,0.1146,0.2292,0.5208,2.227,1.9,0.05769,True
,Emblem Flora Fatalis,47,0.0015238959859931263,5.191,4.138,0.08,1.134,0.491,-0.0001,-0.2439,0.1064,0.1489,0.3404,2.247,3.46,0.00055,True
populaire,Emblem Lunar,186,0.00603073730627067,4.489,4.158,0.1,0.432,0.103,-0.0006,-0.1005,0.1505,0.2473,0.4839,2.28,2.58,0.01001,True
populaire,Emblem Slayer,79,0.002561442189222489,4.949,4.159,0.101,0.892,0.394,-0.0003,-0.1413,0.0759,0.1646,0.443,2.255,3.51,0.00045,True
populaire,Emblem Blossom,58,0.0018805524933532196,5.328,4.167,0.109,1.27,0.664,-0.0002,-0.205,0.069,0.1724,0.3793,2.352,4.11,4e-05,True
populaire,Emblem Primal,139,0.004506841320277543,4.813,4.196,0.139,0.755,0.382,-0.0006,-0.1743,0.1007,0.2158,0.4101,2.243,3.96,7e-05,True
populaire,Emblem Executioner,354,0.011477854873224823,4.531,4.23,0.173,0.473,0.24,-0.002,-0.0956,0.1158,0.2288,0.4887,2.227,3.98,7e-05,True
populaire,Emblem Inferno,382,0.012385707801050515,4.673,4.293,0.235,0.615,0.399,-0.0029,-0.1105,0.0838,0.178,0.4738,2.143,5.58,0.0,True
