group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Navori Flickerblade + Krakens Fury,599,0.019106858054226475,3.462,3.769,-0.293,-0.599,-0.446,0.0056,0.1312,0.1586,0.3589,0.7145,1.89,-7.66,0.0,True
pepite,Deathblade + Giant Slayer,972,0.031004784688995216,3.583,3.771,-0.291,-0.478,-0.345,0.009,0.0865,0.1955,0.3776,0.6698,2.08,-7.04,0.0,True
pepite,Giant Slayer + Krakens Fury,1661,0.052982456140350874,3.696,3.796,-0.265,-0.365,-0.262,0.0141,0.0633,0.1902,0.3444,0.6466,2.089,-6.93,0.0,True
pepite,Deathblade + Red Buff,488,0.015566188197767145,3.475,3.805,-0.256,-0.586,-0.392,0.004,0.1257,0.2377,0.416,0.709,2.164,-5.93,0.0,True
pepite,Navori Flickerblade + Hextech Gunblade,360,0.011483253588516746,3.367,3.808,-0.253,-0.695,-0.502,0.0029,0.1723,0.1556,0.3861,0.7556,1.854,-7.05,0.0,True
pepite,Giant Slayer + Red Buff,438,0.013971291866028707,3.47,3.818,-0.243,-0.591,-0.391,0.0034,0.1039,0.2489,0.4087,0.6872,2.122,-5.78,0.0,True
,Krakens Fury + Red Buff,557,0.01776714513556619,3.594,3.842,-0.22,-0.467,-0.29,0.0039,0.0846,0.219,0.377,0.6679,2.109,-5.18,0.0,True
,Navori Flickerblade + Guinsoos Rageblade,840,0.026794258373205742,3.715,3.863,-0.198,-0.346,-0.21,0.0053,0.0798,0.144,0.3107,0.6631,1.97,-5.01,0.0,True
,Titanic Hydra + Guinsoos Rageblade,266,0.008484848484848486,3.402,3.865,-0.196,-0.659,-0.413,0.0017,0.131,0.1955,0.4211,0.7143,2.041,-5.24,0.0,True
,Giant Slayer + Infinity Edge,1614,0.05148325358851675,3.802,3.875,-0.187,-0.259,-0.149,0.0096,0.04,0.1871,0.36,0.6233,2.189,-4.64,0.0,True
populaire,Deathblade + Krakens Fury,2179,0.06950558213716108,3.834,3.885,-0.176,-0.227,-0.134,0.0123,0.0353,0.1721,0.3304,0.6186,2.127,-4.81,0.0,True
,Fishbones + Deathblade,153,0.004880382775119617,3.163,3.885,-0.176,-0.898,-0.571,0.0009,0.1618,0.2549,0.4967,0.7451,2.056,-5.39,0.0,True
,Fishbones + Guinsoos Rageblade,632,0.020159489633173842,3.714,3.887,-0.175,-0.348,-0.183,0.0035,0.0797,0.1677,0.3528,0.663,2.088,-4.14,3e-05,True
,Giant Slayer + Last Whisper,650,0.02073365231259968,3.735,3.895,-0.166,-0.326,-0.162,0.0034,0.0583,0.1785,0.3446,0.6415,2.11,-3.89,0.0001,True
,Fishbones + Infinity Edge,212,0.006762360446570973,3.406,3.896,-0.166,-0.656,-0.371,0.0011,0.1337,0.1934,0.4623,0.717,2.107,-4.51,1e-05,True
,Last Whisper + Red Buff,355,0.011323763955342903,3.637,3.908,-0.154,-0.425,-0.192,0.0017,0.0928,0.2282,0.3775,0.6761,2.223,-3.58,0.00034,True
,Fishbones + Krakens Fury,362,0.011547049441786283,3.646,3.909,-0.152,-0.415,-0.205,0.0018,0.1018,0.1492,0.3564,0.6851,2.028,-3.87,0.00011,True
,Hextech Gunblade + Red Buff,180,0.005741626794258373,3.389,3.911,-0.15,-0.672,-0.38,0.0009,0.1167,0.2444,0.3889,0.7,1.993,-4.51,1e-05,True
,Infinity Edge + Strikers Flail,725,0.023125996810207338,3.796,3.919,-0.142,-0.265,-0.1,0.0033,0.0443,0.2,0.3683,0.6276,2.244,-3.15,0.00163,True
,Infinity Edge + Red Buff,656,0.020925039872408294,3.787,3.921,-0.14,-0.275,-0.101,0.0029,0.0326,0.218,0.375,0.6159,2.254,-3.09,0.00199,True
populaire,Deathblade + Infinity Edge,1711,0.054577352472089315,3.876,3.925,-0.136,-0.186,-0.08,0.0074,0.0327,0.18,0.3314,0.616,2.172,-3.44,0.00057,True
,Giant Slayer + Strikers Flail,219,0.006985645933014354,3.534,3.925,-0.136,-0.527,-0.258,0.001,0.0742,0.1963,0.4018,0.6575,2.021,-3.84,0.00012,True
,Navori Flickerblade + Giant Slayer,139,0.004433811802232855,3.331,3.929,-0.133,-0.73,-0.399,0.0006,0.1577,0.2302,0.4101,0.741,1.987,-4.32,2e-05,True
populaire,Deathblade + Guinsoos Rageblade,4943,0.15767145135566188,3.914,3.93,-0.131,-0.147,-0.083,0.0206,0.0244,0.1647,0.3209,0.6077,2.146,-4.48,1e-05,True
,Guinsoos Rageblade + Red Buff,1008,0.03215311004784689,3.849,3.931,-0.131,-0.212,-0.079,0.0042,0.0397,0.1736,0.3323,0.623,2.124,-3.12,0.00182,True
,Giant Slayer + Hextech Gunblade,344,0.010972886762360447,3.721,3.941,-0.121,-0.34,-0.108,0.0013,0.0824,0.1948,0.3663,0.6657,2.19,-2.87,0.00413,True
populaire,Giant Slayer + Guinsoos Rageblade,3805,0.12137161084529506,3.921,3.941,-0.12,-0.14,-0.069,0.0146,0.0188,0.1519,0.3154,0.6021,2.112,-3.85,0.00012,True
,Navori Flickerblade + Deathblade,169,0.005390749601275917,3.503,3.943,-0.119,-0.558,-0.276,0.0006,0.0854,0.1775,0.3609,0.6686,1.866,-3.88,0.00011,True
,Titanic Hydra + Krakens Fury,127,0.00405103668261563,3.386,3.948,-0.114,-0.675,-0.326,0.0005,0.1254,0.1811,0.4331,0.7087,2.004,-3.79,0.00015,True
,Rapid Fire Cannon + Guinsoos Rageblade,296,0.009441786283891546,3.743,3.959,-0.102,-0.318,-0.082,0.001,0.062,0.1723,0.3378,0.6453,2.062,-2.64,0.00829,True
,Deathblade + Strikers Flail,262,0.00835725677830941,3.733,3.964,-0.097,-0.328,-0.071,0.0008,0.0618,0.1794,0.3435,0.645,2.116,-2.5,0.01237,True
,Red Buff + Strikers Flail,106,0.0033811802232854866,3.396,3.965,-0.096,-0.665,-0.244,0.0003,0.1526,0.2642,0.434,0.7358,2.209,-3.09,0.00197,True
