group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Lux Unique Trait,2117,0.061893345807507896,2.951,3.225,-0.848,-1.122,-1.039,0.0525,0.2086,0.2744,0.5182,0.7898,1.886,-26.31,0.0,True
pepite,Alune Unique Trait,1432,0.04186644836861186,2.888,3.271,-0.802,-1.185,-1.084,0.0336,0.2142,0.3198,0.523,0.7954,1.909,-22.88,0.0,True
pepite,Eclipse,426,0.012454683662729506,2.185,3.349,-0.724,-1.888,-1.749,0.009,0.3296,0.4319,0.6948,0.9108,1.436,-26.75,0.0,True
populaire,Solar,11894,0.3477371067711379,3.326,3.366,-0.707,-0.747,-0.703,0.2457,0.1336,0.2596,0.4461,0.7147,2.113,-32.94,0.0,True
populaire,Rapidfire,4889,0.14293649865512806,3.281,3.378,-0.695,-0.792,-0.731,0.0993,0.1527,0.2334,0.4369,0.7339,2.007,-25.53,0.0,True
pepite,Lunar,643,0.01879897088059876,2.698,3.407,-0.666,-1.375,-1.235,0.0125,0.2509,0.3266,0.5692,0.832,1.787,-19.24,0.0,True
pepite,Elderwood,389,0.011372938837562858,2.373,3.457,-0.616,-1.7,-1.554,0.007,0.3237,0.3393,0.6504,0.9049,1.458,-22.71,0.0,True
pepite,Rapidfire,751,0.021956496316220327,2.905,3.462,-0.611,-1.168,-1.03,0.0134,0.2058,0.2983,0.5393,0.787,1.898,-16.62,0.0,True
populaire,Juggernaut,20333,0.5944626359490118,3.544,3.562,-0.511,-0.529,-0.492,0.304,0.1047,0.1986,0.3847,0.6859,2.073,-28.23,0.0,True
,Emerald,3206,0.09373172728335867,3.488,3.59,-0.483,-0.585,-0.51,0.0452,0.1119,0.2034,0.4145,0.6931,2.09,-15.11,0.0,True
,Lunar,1645,0.04809379019997661,3.431,3.62,-0.453,-0.642,-0.543,0.0218,0.121,0.2152,0.3909,0.7021,1.993,-12.71,0.0,True
,Hunter,1776,0.051923751607999065,3.51,3.667,-0.406,-0.563,-0.467,0.0211,0.1193,0.1762,0.3846,0.7005,2.008,-11.47,0.0,True
,Greenfather,2592,0.07578061045491756,3.561,3.668,-0.405,-0.512,-0.429,0.0307,0.0971,0.1875,0.3981,0.6782,2.071,-12.09,0.0,True
populaire,Fae,11391,0.3330312244181967,3.685,3.707,-0.366,-0.388,-0.346,0.1219,0.0889,0.1413,0.322,0.6701,1.929,-17.98,0.0,True
,Vanguard,685,0.020026897438896036,3.41,3.741,-0.332,-0.663,-0.514,0.0066,0.1254,0.1883,0.4088,0.7066,1.962,-8.74,0.0,True
,Elderwood,2513,0.07347093907145363,3.672,3.758,-0.315,-0.401,-0.324,0.0232,0.083,0.1417,0.3243,0.6641,1.897,-10.12,0.0,True
populaire,Vanguard,19595,0.5728862121389311,3.749,3.76,-0.313,-0.324,-0.286,0.1791,0.0655,0.175,0.3459,0.6466,2.115,-16.88,0.0,True
populaire,Defender,25616,0.7489182551748333,3.785,3.793,-0.28,-0.288,-0.253,0.2098,0.0571,0.174,0.3407,0.6383,2.123,-16.2,0.0,True
,Rapidfire,216,0.00631505087124313,2.917,3.796,-0.277,-1.156,-0.91,0.0018,0.2059,0.2963,0.5093,0.787,1.842,-9.19,0.0,True
populaire,Elderwood,20026,0.5854870775347912,3.796,3.805,-0.268,-0.277,-0.239,0.1568,0.055,0.1783,0.3456,0.6361,2.161,-14.35,0.0,True
,Defender,1070,0.03128289088995439,3.65,3.815,-0.258,-0.423,-0.298,0.0081,0.0777,0.1757,0.3654,0.6589,2.054,-6.63,0.0,True
,Brawler,4484,0.1310957782715472,3.78,3.818,-0.255,-0.293,-0.229,0.0334,0.0578,0.1574,0.3365,0.6389,2.062,-8.89,0.0,True
,Juggernaut,440,0.012863992515495264,3.455,3.831,-0.242,-0.618,-0.429,0.0031,0.1211,0.1818,0.4091,0.7023,2.014,-6.39,0.0,True
,Spellweaver,3233,0.09452110864226407,3.827,3.87,-0.203,-0.246,-0.166,0.0192,0.0372,0.1995,0.3551,0.6183,2.216,-6.04,0.0,True
,Draven Unique Trait,695,0.02031926090515729,3.679,3.875,-0.198,-0.394,-0.24,0.004,0.0663,0.1799,0.3525,0.6475,2.042,-5.03,0.0,True
,Hunter,257,0.007513741082914279,3.354,3.877,-0.196,-0.719,-0.486,0.0015,0.1542,0.1712,0.4008,0.7354,1.895,-6.05,0.0,True
,Inferno,1906,0.055724476669395395,3.83,3.894,-0.179,-0.243,-0.148,0.01,0.0532,0.1291,0.3279,0.6343,2.047,-5.03,0.0,True
,Primal,964,0.02818383814758508,3.773,3.897,-0.176,-0.3,-0.167,0.0049,0.061,0.1525,0.3434,0.6421,2.082,-4.41,1e-05,True
,Lunar,98,0.002865161969360309,2.755,3.908,-0.165,-1.318,-0.948,0.0005,0.2352,0.3469,0.551,0.8163,1.863,-6.99,0.0,True
populaire,Inferno,7832,0.2289790667758157,3.919,3.931,-0.142,-0.154,-0.104,0.0324,0.0475,0.1195,0.2923,0.6287,2.024,-5.99,0.0,True
,Maokai Unique Trait,2330,0.06812068763887265,3.901,3.94,-0.133,-0.172,-0.085,0.0091,0.0347,0.1292,0.3185,0.6159,2.074,-3.86,0.00011,True
,Vanguard,79,0.002309671383463922,3.304,3.993,-0.08,-0.769,-0.385,0.0002,0.153,0.1519,0.3671,0.7342,1.738,-3.93,9e-05,True
,Sprykin,129,0.003771488714770202,3.729,4.018,-0.055,-0.344,0.0,0.0002,0.0623,0.1628,0.3256,0.6434,2.003,-1.95,0.05139,True
,Executioner,240,0.007016723190270144,3.867,4.019,-0.054,-0.206,0.0,0.0004,0.0355,0.1833,0.3375,0.6167,2.158,-1.48,0.13996,False
,Executioner,70,0.002046544263828792,3.543,4.024,-0.049,-0.53,-0.055,0.0001,0.076,0.2143,0.3857,0.6571,2.026,-2.19,0.02878,True
,Hunter,41,0.0011986902116711497,3.293,4.029,-0.044,-0.78,-0.197,0.0001,0.1749,0.1951,0.4146,0.7561,1.903,-2.62,0.0087,True
,Primal,70,0.002046544263828792,3.6,4.029,-0.044,-0.473,-0.022,0.0001,0.0903,0.1857,0.3,0.6714,1.923,-2.06,0.03983,True
,Defender,85,0.002485089463220676,3.718,4.034,-0.039,-0.355,0.0,0.0001,0.0659,0.1529,0.3647,0.6471,2.05,-1.6,0.11051,False
,Juggernaut,55,0.001607999064436908,3.636,4.041,-0.032,-0.437,0.0,0.0001,0.1279,0.0727,0.2545,0.7091,1.709,-1.89,0.05852,True
,Spellweaver,60,0.001754180797567536,3.9,4.059,-0.014,-0.173,0.0,0.0,0.0355,0.0833,0.2667,0.6167,1.814,-0.74,0.46059,False
populaire,Fae,17035,0.4980411647760496,4.066,4.066,-0.007,-0.007,0.0,0.0032,-0.0064,0.1756,0.3232,0.5748,2.289,-0.32,0.74818,False
populaire,Rapidfire,21014,0.6143725880014034,4.071,4.071,-0.002,-0.002,0.0,0.0013,0.0024,0.1461,0.2957,0.5836,2.178,-0.11,0.91057,False
,Zyra Unique Trait,277,0.008098468015436792,4.083,4.076,0.003,0.01,0.0,-0.0,-0.0072,0.148,0.3141,0.574,2.226,0.07,0.94047,False
,Brawler,135,0.0039469067945269555,4.104,4.078,0.005,0.031,0.0,-0.0,-0.0108,0.0889,0.2519,0.5704,2.023,0.18,0.86036,False
,Summoner,46,0.0013448719448017775,4.239,4.083,0.01,0.166,0.0,-0.0,0.0058,0.0652,0.2174,0.587,1.991,0.57,0.57179,False
,Executioner,1551,0.045345573617120806,4.112,4.1,0.027,0.039,0.0,-0.0012,-0.0002,0.1083,0.2708,0.5809,2.048,0.72,0.46987,False
,Invoker,163,0.004765524500058473,4.245,4.106,0.033,0.172,0.0,-0.0002,-0.0229,0.135,0.2577,0.5583,2.193,1.0,0.31677,False
,Inferno,220,0.006431996257747632,4.236,4.113,0.04,0.163,0.0,-0.0003,-0.0084,0.1,0.25,0.5727,2.086,1.16,0.24717,False
,Sprykin,1296,0.03789030522745878,4.155,4.127,0.054,0.082,0.0,-0.002,-0.014,0.108,0.2577,0.5671,2.034,1.42,0.15504,False
,Caustic,122,0.003566834288387323,4.59,4.151,0.078,0.517,0.103,-0.0003,-0.1303,0.1393,0.2541,0.4508,2.329,2.45,0.01431,True
,Blackthorn,218,0.006373523564495381,4.472,4.17,0.097,0.399,0.101,-0.0006,-0.0812,0.1284,0.2339,0.5,2.245,2.62,0.0088,True
,Adaptor,73,0.002134253303707169,5.178,4.18,0.107,1.105,0.647,-0.0002,-0.2524,0.0411,0.137,0.3288,1.995,4.73,0.0,True
,Summoner,324,0.009472576306864695,4.503,4.211,0.138,0.43,0.203,-0.0013,-0.0688,0.0895,0.1852,0.5123,2.071,3.72,0.0002,True
,Flora Fatalis,787,0.023009004794760847,4.347,4.22,0.147,0.274,0.123,-0.0034,-0.0373,0.1055,0.2402,0.5438,2.129,3.57,0.00036,True
,Blossom,194,0.0056718512454683664,4.747,4.222,0.149,0.674,0.359,-0.0008,-0.1739,0.1031,0.232,0.4072,2.237,4.19,3e-05,True
,Rival,566,0.01654777219038709,4.419,4.23,0.157,0.346,0.165,-0.0026,-0.0653,0.1148,0.2456,0.5159,2.182,3.74,0.00018,True
,Battlemage,237,0.0069290141503917674,4.726,4.241,0.168,0.653,0.381,-0.0012,-0.1339,0.0886,0.1814,0.4473,2.128,4.71,0.0,True
,Slayer,349,0.010203484972517834,4.593,4.249,0.176,0.52,0.294,-0.0018,-0.0998,0.0745,0.212,0.4814,2.143,4.51,1e-05,True
,Apex Predator,203,0.0059349783651034965,4.931,4.269,0.196,0.858,0.537,-0.0012,-0.1575,0.0985,0.2069,0.4236,2.325,5.25,0.0,True
,Flora Fatalis,2632,0.07695006431996258,4.368,4.307,0.234,0.295,0.209,-0.018,-0.0606,0.1193,0.2485,0.5205,2.177,6.7,0.0,True
,Riftbeast,274,0.008010758975558415,4.905,4.311,0.238,0.832,0.578,-0.0019,-0.1651,0.062,0.1752,0.4161,2.137,6.42,0.0,True
,Elderwood,4581,0.13393170389428138,4.685,4.605,0.532,0.612,0.547,-0.0713,-0.1265,0.0792,0.1855,0.4547,2.072,18.64,0.0,True
