group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Lux Base,2124,0.062098000233890775,2.953,3.226,-0.847,-1.12,-1.037,0.0526,0.2079,0.2745,0.5179,0.7891,1.888,-26.28,0.0,True
pepite,Elise,1386,0.04052157642381008,2.868,3.266,-0.807,-1.205,-1.091,0.0327,0.1887,0.4004,0.562,0.7698,2.129,-20.63,0.0,True
pepite,Alune,1449,0.04236346626125599,2.897,3.274,-0.799,-1.176,-1.075,0.0338,0.2125,0.3168,0.521,0.7937,1.91,-22.81,0.0,True
pepite,Aphelios,4587,0.13410712197403812,3.186,3.301,-0.772,-0.887,-0.827,0.1035,0.1697,0.2335,0.4495,0.7508,1.916,-28.94,0.0,True
populaire,Sejuani,12584,0.36791018594316455,3.415,3.449,-0.624,-0.658,-0.614,0.2298,0.1173,0.2487,0.4321,0.6985,2.15,-29.25,0.0,True
pepite,Ashe,938,0.02742369313530581,3.057,3.485,-0.588,-1.016,-0.895,0.0161,0.196,0.2303,0.4893,0.7772,1.864,-16.39,0.0,True
populaire,Kayle,13041,0.38127119635130396,3.478,3.508,-0.565,-0.595,-0.551,0.2156,0.1068,0.24,0.4214,0.688,2.171,-26.59,0.0,True
pepite,Gnar Small,4603,0.13457490352005613,3.428,3.512,-0.561,-0.645,-0.584,0.0755,0.1288,0.1897,0.3945,0.71,1.947,-20.77,0.0,True
populaire,Leona,13013,0.3804525786457724,3.5,3.528,-0.545,-0.573,-0.529,0.2072,0.1015,0.2418,0.4202,0.6826,2.193,-25.42,0.0,True
,Taric,3255,0.09516430826803883,3.48,3.583,-0.49,-0.593,-0.518,0.0466,0.1132,0.2037,0.416,0.6943,2.087,-15.43,0.0,True
,Ivern,2622,0.07665770085370133,3.556,3.663,-0.41,-0.517,-0.435,0.0315,0.0985,0.1873,0.3993,0.6796,2.069,-12.29,0.0,True
,Diana,2412,0.07051806806221494,3.62,3.72,-0.353,-0.453,-0.364,0.0249,0.0818,0.2044,0.3839,0.6629,2.151,-9.98,0.0,True
,Amumu,7723,0.225792304993568,3.756,3.782,-0.291,-0.317,-0.267,0.0657,0.0797,0.126,0.3197,0.6609,1.972,-12.5,0.0,True
populaire,Lillia,12679,0.3706876388726465,3.776,3.791,-0.282,-0.297,-0.256,0.1046,0.0692,0.1327,0.3104,0.6504,1.956,-14.16,0.0,True
,Sivir,893,0.02610805753713016,3.627,3.821,-0.252,-0.446,-0.311,0.0066,0.0997,0.1624,0.3617,0.6809,2.029,-6.47,0.0,True
,Kennen,1949,0.056981639574318795,3.784,3.859,-0.214,-0.289,-0.193,0.0122,0.0566,0.1478,0.3525,0.6378,2.091,-5.92,0.0,True
,Draven,720,0.02105016957081043,3.667,3.865,-0.208,-0.406,-0.256,0.0044,0.0688,0.1778,0.3528,0.65,2.03,-5.31,0.0,True
populaire,Le Blanc,12639,0.3695181850076015,3.855,3.866,-0.207,-0.218,-0.173,0.0764,0.0332,0.1916,0.3454,0.6144,2.211,-9.5,0.0,True
populaire,Rakan,27001,0.7894105952520173,3.905,3.91,-0.163,-0.168,-0.133,0.129,0.0353,0.1629,0.324,0.6165,2.164,-9.48,0.0,True
,Maokai,2364,0.06911472342416092,3.901,3.939,-0.134,-0.172,-0.086,0.0092,0.0343,0.1286,0.3185,0.6155,2.073,-3.9,0.0001,True
,Crimson Raptor,1664,0.048649280785872995,3.915,3.961,-0.112,-0.158,-0.055,0.0055,0.0336,0.1424,0.3143,0.6148,2.091,-3.01,0.00261,True
populaire,Ornn,28876,0.8442287451760028,4.002,4.004,-0.069,-0.071,-0.037,0.0584,0.0141,0.1556,0.3103,0.5953,2.179,-4.06,5e-05,True
populaire,Hecarim,19849,0.580312244181967,4.031,4.032,-0.041,-0.042,-0.005,0.0235,0.0138,0.1308,0.288,0.595,2.098,-2.21,0.0272,True
