group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Executioner + Spear Of Shojin + Void Staff,1728,0.022746718970079113,2.954,3.249,-0.335,-0.63,-0.544,0.0076,0.1215,0.2645,0.4902,0.8096,1.801,-14.35,0.0,True
populaire,Morellonomicon + Spear Of Shojin + Void Staff,2268,0.029855068648228837,3.353,3.446,-0.138,-0.231,-0.153,0.0041,0.0536,0.1817,0.3884,0.7416,1.856,-5.82,0.0,True
pepite,Emblem Executioner + Rabadons Deathcap + Spear Of Shojin,551,0.007253149393815736,3.187,3.478,-0.106,-0.397,-0.242,0.0008,0.0851,0.2196,0.4338,0.7731,1.852,-5.01,0.0,True
pepite,Adaptive Helm + Morellonomicon + Void Staff,337,0.004436136743586031,3.006,3.479,-0.105,-0.578,-0.394,0.0005,0.1042,0.2226,0.4629,0.7923,1.716,-6.17,0.0,True
pepite,Emblem Executioner + Nashors Tooth + Void Staff,221,0.0029091579238353497,2.796,3.484,-0.1,-0.788,-0.559,0.0003,0.149,0.3077,0.5023,0.8371,1.728,-6.76,0.0,True
pepite,Blue Buff + Morellonomicon + Void Staff,433,0.00569984335303487,3.15,3.488,-0.096,-0.434,-0.264,0.0005,0.0764,0.2009,0.4388,0.7644,1.794,-5.02,0.0,True
pepite,Giant Slayer + Spear Of Shojin + Void Staff,446,0.005870970289731068,3.179,3.492,-0.092,-0.405,-0.235,0.0005,0.0698,0.1951,0.4372,0.7578,1.825,-4.67,0.0,True
pepite,Archangels Staff + Spear Of Shojin + Void Staff,536,0.0070556952360893545,3.271,3.502,-0.082,-0.313,-0.161,0.0006,0.0769,0.1884,0.3899,0.7649,1.793,-4.03,6e-05,True
populaire,Rabadons Deathcap + Spear Of Shojin + Void Staff,1146,0.015085497650295524,3.407,3.508,-0.076,-0.177,-0.067,0.0011,0.0318,0.1798,0.3935,0.7199,1.897,-3.14,0.00169,True
populaire,Red Buff + Spear Of Shojin + Void Staff,725,0.009543617623441757,3.349,3.508,-0.076,-0.235,-0.097,0.0007,0.0457,0.1834,0.4,0.7338,1.887,-3.34,0.00085,True
,Emblem Executioner + Morellonomicon + Void Staff,244,0.003211920965682467,3.061,3.512,-0.072,-0.522,-0.288,0.0002,0.0865,0.2295,0.4918,0.7746,1.869,-4.36,1e-05,True
,Emblem Executioner + Spear Of Shojin + Strikers Flail,315,0.004146537312254005,3.2,3.518,-0.066,-0.384,-0.178,0.0003,0.0865,0.2222,0.4127,0.7746,1.862,-3.65,0.00026,True
,Emblem Executioner + Nashors Tooth + Spear Of Shojin,271,0.0035673384495899536,3.148,3.518,-0.066,-0.436,-0.205,0.0002,0.061,0.2214,0.4908,0.7491,1.938,-3.7,0.00022,True
,Hextech Gunblade + Spear Of Shojin + Void Staff,370,0.00487053589058407,3.251,3.519,-0.065,-0.333,-0.146,0.0003,0.0498,0.2,0.4243,0.7378,1.827,-3.49,0.00048,True
,Emblem Spellweaver + Morellonomicon + Void Staff,298,0.00392275593349744,3.208,3.522,-0.062,-0.376,-0.171,0.0002,0.0636,0.2013,0.4228,0.7517,1.798,-3.6,0.00032,True
,Emblem Executioner + Archangels Staff + Spear Of Shojin,152,0.0020008687982939963,2.914,3.523,-0.061,-0.669,-0.392,0.0001,0.1146,0.2368,0.5263,0.8026,1.743,-4.73,0.0,True
,Blue Buff + Rabadons Deathcap + Void Staff,200,0.002632722103018416,3.065,3.524,-0.06,-0.519,-0.275,0.0002,0.0919,0.235,0.435,0.78,1.758,-4.17,3e-05,True
,Archangels Staff + Jeweled Gauntlet + Void Staff,234,0.0030802848605315466,3.184,3.531,-0.053,-0.4,-0.168,0.0002,0.0812,0.2051,0.4316,0.7692,1.808,-3.38,0.00073,True
,Emblem Executioner + Red Buff + Void Staff,127,0.0016717785354166941,2.898,3.531,-0.053,-0.686,-0.348,0.0001,0.123,0.3307,0.5276,0.811,1.943,-3.98,7e-05,True
,Archangels Staff + Morellonomicon + Void Staff,240,0.0031592665236220992,3.2,3.532,-0.052,-0.384,-0.147,0.0002,0.0744,0.2167,0.4208,0.7625,1.867,-3.18,0.00147,True
populaire,Jeweled Gauntlet + Spear Of Shojin + Void Staff,4165,0.054826437795358514,3.515,3.534,-0.05,-0.068,-0.009,0.0027,0.0226,0.1589,0.3527,0.7107,1.895,-2.27,0.0235,True
,Giant Slayer + Morellonomicon + Spear Of Shojin,225,0.0029618123658957177,3.204,3.535,-0.049,-0.379,-0.147,0.0001,0.0764,0.1689,0.4178,0.7644,1.78,-3.19,0.00141,True
,Emblem Executioner + Nashors Tooth + Strikers Flail,157,0.0020666868508694564,3.07,3.536,-0.048,-0.514,-0.217,0.0001,0.089,0.242,0.4777,0.7771,1.896,-3.39,0.00069,True
,Adaptive Helm + Red Buff + Void Staff,116,0.0015269788197506812,2.914,3.536,-0.048,-0.67,-0.355,0.0001,0.1395,0.2672,0.4741,0.8276,1.73,-4.17,3e-05,True
,Archangels Staff + Blue Buff + Void Staff,110,0.0014479971566601288,2.873,3.536,-0.048,-0.711,-0.399,0.0001,0.1574,0.2182,0.5,0.8455,1.668,-4.47,1e-05,True
,Morellonomicon + Rabadons Deathcap + Spear Of Shojin,370,0.00487053589058407,3.351,3.538,-0.046,-0.233,-0.05,0.0002,0.0687,0.1622,0.3892,0.7568,1.791,-2.49,0.01274,True
,Emblem Executioner + Blue Buff + Jeweled Gauntlet,83,0.0010925796727526426,2.711,3.539,-0.045,-0.873,-0.54,0.0,0.1794,0.2892,0.5181,0.8675,1.549,-5.13,0.0,True
,Emblem Executioner + Jeweled Gauntlet + Spear Of Shojin,518,0.0068187502468176975,3.411,3.54,-0.044,-0.173,-0.009,0.0003,0.0494,0.1969,0.3552,0.7375,1.898,-2.06,0.03902,False
,Adaptive Helm + Jeweled Gauntlet + Void Staff,262,0.0034488659549541246,3.294,3.541,-0.043,-0.29,-0.062,0.0001,0.06,0.1756,0.416,0.7481,1.876,-2.5,0.01252,True
,Emblem Blossom + Spear Of Shojin + Void Staff,122,0.0016059604828412336,3.008,3.541,-0.043,-0.576,-0.243,0.0001,0.107,0.2623,0.4918,0.7951,1.875,-3.39,0.0007,True
,Emblem Executioner + Strikers Flail + Void Staff,91,0.0011978885568733793,2.857,3.543,-0.041,-0.727,-0.349,0.0,0.1361,0.2527,0.5714,0.8242,1.837,-3.77,0.00016,True
,Emblem Executioner + Blue Buff + Void Staff,132,0.0017375965879921544,3.083,3.544,-0.04,-0.501,-0.162,0.0001,0.0695,0.2803,0.4924,0.7576,1.985,-2.89,0.00379,True
,Emblem Executioner + Morellonomicon + Spear Of Shojin,163,0.002145668513960009,3.184,3.545,-0.039,-0.4,-0.106,0.0001,0.0727,0.2515,0.4294,0.7607,1.91,-2.67,0.00758,True
