group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Executioner,2441,0.09085495217180928,3.226,3.285,-0.27,-0.329,-0.249,0.0245,0.0604,0.2151,0.4379,0.7522,1.926,-8.08,0.0,True
populaire,Archangels Staff,2149,0.07998660066252279,3.246,3.308,-0.247,-0.309,-0.228,0.0198,0.0668,0.195,0.4141,0.7585,1.838,-7.47,0.0,True
pepite,Adaptive Helm,1743,0.06487512561878885,3.295,3.356,-0.199,-0.26,-0.169,0.0129,0.0444,0.1933,0.4217,0.7361,1.88,-5.58,0.0,True
populaire,Void Staff,9319,0.34685673875013956,3.373,3.383,-0.172,-0.182,-0.137,0.0598,0.0359,0.1855,0.3914,0.7277,1.889,-7.96,0.0,True
populaire,Morellonomicon,4280,0.15930323445118547,3.369,3.39,-0.165,-0.186,-0.125,0.0263,0.0352,0.1825,0.3902,0.7269,1.867,-6.01,0.0,True
pepite,Hextech Gunblade,1750,0.06513566829195667,3.359,3.405,-0.15,-0.196,-0.106,0.0098,0.0403,0.1743,0.3949,0.732,1.848,-4.28,2e-05,True
pepite,Emblem Rapidfire,221,0.0082257043957271,3.181,3.446,-0.109,-0.374,-0.152,0.0009,0.0956,0.1719,0.3982,0.7873,1.671,-3.31,0.00094,True
populaire,Blue Buff,2543,0.09465143112368334,3.431,3.453,-0.102,-0.123,-0.046,0.0096,0.026,0.1722,0.3787,0.7177,1.889,-3.14,0.00168,True
pepite,Emblem Spellweaver,475,0.0176796813935311,3.352,3.459,-0.095,-0.203,-0.029,0.0017,0.0304,0.1874,0.4105,0.7221,1.915,-2.29,0.02189,True
populaire,Rabadons Deathcap,3482,0.12960136971005323,3.482,3.492,-0.063,-0.072,-0.004,0.0081,0.0136,0.1712,0.3725,0.7053,1.92,-2.09,0.03671,True
pepite,Emblem Lunar,144,0.005359734990881006,3.444,3.532,-0.023,-0.11,0.0,0.0001,0.0166,0.1597,0.3958,0.7083,1.896,-0.7,0.48591,False
pepite,Emblem Blossom,628,0.02337439982134217,3.521,3.536,-0.018,-0.034,0.0,0.0004,-0.0165,0.2086,0.3917,0.6752,2.044,-0.41,0.67877,False
populaire,Red Buff,2185,0.08132653441024305,3.535,3.539,-0.016,-0.02,0.0,0.0013,0.0012,0.1625,0.368,0.6929,1.941,-0.47,0.63858,False
populaire,Spear Of Shojin,11512,0.42848103621543154,3.54,3.541,-0.014,-0.015,0.0,0.0061,0.0032,0.1646,0.3611,0.6949,1.939,-0.68,0.49408,False
,Emblem Blackthorn,110,0.004094242006922991,3.582,3.559,0.005,0.027,0.0,-0.0,-0.0553,0.2364,0.4182,0.6364,2.225,0.13,0.899,False
,Manazane,101,0.003759258569992928,3.604,3.563,0.008,0.049,0.0,-0.0,0.0212,0.0792,0.3267,0.7129,1.707,0.29,0.77294,False
,Emblem Inferno,73,0.002717087877321621,3.644,3.565,0.011,0.089,0.0,-0.0,-0.0616,0.2329,0.3699,0.6301,2.154,0.35,0.72441,False
,Last Whisper,63,0.00234488405851044,3.667,3.567,0.012,0.112,0.0,-0.0,-0.025,0.127,0.2857,0.6667,1.764,0.5,0.61533,False
,Hand Of Justice,49,0.001823798712174787,3.694,3.566,0.012,0.139,0.0,-0.0,-0.0182,0.1429,0.2449,0.6735,1.764,0.55,0.58148,False
populaire,Nashors Tooth,2695,0.10030892916961329,3.576,3.573,0.018,0.021,0.0,-0.0018,-0.0012,0.1625,0.3477,0.6905,1.946,0.54,0.58619,False
,Emblem Invoker,118,0.0043920050619719354,3.653,3.572,0.018,0.098,0.0,-0.0001,-0.0646,0.2119,0.3729,0.6271,2.064,0.51,0.60785,False
,Giant Slayer,1905,0.07090482748352998,3.586,3.579,0.024,0.031,0.0,-0.0017,0.0086,0.1496,0.3507,0.7003,1.955,0.67,0.50374,False
,Tacticians Crown,44,0.0016376968027691965,4.023,3.59,0.035,0.468,0.0,-0.0001,-0.0553,0.0909,0.2727,0.6364,2.017,1.54,0.12413,False
