group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Gamblers Blade,155,0.0021433411231107486,3.619,3.622,-0.0,-0.003,0.0,0.0,0.0105,0.1742,0.3419,0.6903,1.981,-0.02,0.98441,False
,Seekers Armguard,107,0.0014795967753087104,3.86,3.639,0.016,0.237,0.0,-0.0,-0.035,0.1308,0.2523,0.6449,1.78,1.38,0.16811,False
,Artifact Talisman Of Ascension,46,0.0006360883333102866,4.152,3.639,0.016,0.53,0.033,-0.0,-0.0494,0.087,0.1522,0.6304,1.719,2.09,0.0367,True
,Wits End,82,0.0011338965941618154,4.098,3.648,0.025,0.475,0.097,-0.0,-0.0823,0.0854,0.1829,0.5976,1.743,2.47,0.01366,True
,Mittens,45,0.0006222603260644108,4.622,3.653,0.03,1.0,0.517,-0.0,-0.1243,0.0222,0.0667,0.5556,1.65,4.06,5e-05,True
populaire,Eternal Pact,431,0.005959871122972468,3.761,3.654,0.032,0.139,0.0,-0.0002,-0.0488,0.1694,0.3016,0.6311,1.989,1.44,0.14922,False
populaire,Zhonyas Paradox,129,0.0017838129347179778,4.023,3.655,0.033,0.401,0.054,-0.0001,-0.0442,0.0853,0.2868,0.6357,2.01,2.26,0.02362,True
populaire,Blighting Jewel,894,0.012362238477812962,3.733,3.665,0.042,0.11,0.0,-0.0005,-0.0165,0.1298,0.2953,0.6633,1.886,1.74,0.08262,False
populaire,Navori Flickerblade,166,0.0022954492028153823,4.386,3.701,0.079,0.763,0.47,-0.0002,-0.1618,0.0723,0.1988,0.5181,1.922,5.11,0.0,True
populaire,Lich Bane,282,0.0038994980433369746,4.181,3.714,0.091,0.558,0.329,-0.0004,-0.0806,0.0922,0.2128,0.5993,1.96,4.77,0.0,True
populaire,Ludens Tempest,197,0.002724117427437532,4.416,3.718,0.095,0.794,0.512,-0.0003,-0.1469,0.0812,0.203,0.533,2.015,5.52,0.0,True
populaire,Statikk Shiv,289,0.003996294094058105,4.232,3.724,0.101,0.609,0.379,-0.0004,-0.1401,0.1073,0.2353,0.5398,1.994,5.18,0.0,True
populaire,Dawncore,773,0.010689049601061991,4.057,3.774,0.151,0.434,0.294,-0.0016,-0.0848,0.0996,0.2549,0.5951,1.988,6.05,0.0,True
populaire,Manazane,794,0.010979437753225383,4.079,3.784,0.162,0.457,0.314,-0.0018,-0.103,0.1184,0.2733,0.5768,2.045,6.26,0.0,True
