group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Void Staff,11646,0.3551475969748719,3.443,3.452,-0.155,-0.164,-0.124,0.0552,0.0308,0.1746,0.372,0.7167,1.885,-8.03,0.0,True
pepite,Adaptive Helm,2532,0.0772139546230788,3.418,3.457,-0.15,-0.189,-0.116,0.0116,0.0424,0.1631,0.3598,0.7283,1.808,-5.05,0.0,True
populaire,Morellonomicon,5827,0.17769577945840448,3.45,3.466,-0.141,-0.157,-0.106,0.0251,0.0359,0.1574,0.3619,0.7218,1.84,-5.98,0.0,True
populaire,Red Buff,2900,0.08843620395218346,3.454,3.482,-0.125,-0.153,-0.082,0.0111,0.0317,0.1707,0.3683,0.7176,1.877,-4.21,3e-05,True
populaire,Archangels Staff,3405,0.10383630153696023,3.471,3.493,-0.114,-0.136,-0.07,0.0119,0.0351,0.1612,0.3645,0.721,1.884,-4.01,6e-05,True
pepite,Hextech Gunblade,2839,0.08657599414491339,3.542,3.555,-0.052,-0.065,0.0,0.0045,0.0172,0.1493,0.3441,0.7031,1.87,-1.76,0.07818,False
populaire,Spear Of Shojin,15733,0.4797816540619663,3.591,3.591,-0.016,-0.016,0.0,0.0076,0.0038,0.1525,0.3407,0.6897,1.914,-0.89,0.37539,False
populaire,Rabadons Deathcap,5269,0.1606794340082947,3.592,3.594,-0.013,-0.015,0.0,0.0022,0.0184,0.142,0.3266,0.7043,1.872,-0.54,0.58928,False
pepite,Tacticians Cape,51,0.0015552573798487436,3.451,3.596,-0.011,-0.156,0.0,0.0,0.0004,0.1765,0.4118,0.6863,1.933,-0.58,0.56468,False
populaire,Blue Buff,4048,0.12344474262015126,3.595,3.597,-0.01,-0.012,0.0,0.0012,0.0001,0.1472,0.335,0.686,1.879,-0.37,0.71035,False
pepite,Krakens Fury,44,0.001341790680653818,3.545,3.603,-0.004,-0.062,0.0,0.0,-0.0041,0.1818,0.3636,0.6818,2.083,-0.2,0.84469,False
,Hand Of Justice,354,0.010795315930714809,3.644,3.62,0.013,0.037,0.0,-0.0001,-0.0136,0.1384,0.3277,0.6723,1.908,0.36,0.7163,False
,Last Whisper,165,0.005031715052451817,3.673,3.62,0.013,0.066,0.0,-0.0001,0.0414,0.103,0.297,0.7273,1.885,0.45,0.65512,False
,Titans Resolve,57,0.001738228836301537,3.789,3.622,0.015,0.182,0.0,-0.0,0.0509,0.1404,0.2456,0.7368,1.852,0.74,0.45736,False
,Quicksilver,254,0.007745791656501586,3.709,3.635,0.028,0.102,0.0,-0.0002,-0.0363,0.1575,0.315,0.6496,1.916,0.84,0.39962,False
,Infinity Edge,140,0.004269333983898511,3.807,3.642,0.035,0.2,0.0,-0.0002,-0.0716,0.15,0.35,0.6143,2.107,1.12,0.26201,False
,Edge Of Night,108,0.0032934862161502804,3.88,3.646,0.039,0.273,0.0,-0.0001,-0.1211,0.1574,0.3426,0.5648,2.124,1.33,0.18292,False
,Tacticians Crown,249,0.007593315442790924,3.751,3.647,0.04,0.144,0.0,-0.0003,-0.0393,0.1044,0.3333,0.6466,1.902,1.19,0.23397,False
populaire,Giant Slayer,3388,0.10331788241034398,3.659,3.65,0.043,0.052,0.0,-0.0045,-0.0067,0.1358,0.3217,0.6792,1.896,1.51,0.13059,False
,Component Tear Of The Goddess,339,0.010337887289582825,3.888,3.703,0.096,0.281,0.08,-0.001,-0.0605,0.1091,0.2596,0.6254,1.877,2.74,0.00612,True
,Strikers Flail,2020,0.0616003903391071,3.764,3.726,0.119,0.157,0.068,-0.0073,-0.0374,0.1406,0.3243,0.6485,1.992,3.45,0.00055,True
populaire,Nashors Tooth,5017,0.15299463283727738,3.742,3.727,0.12,0.135,0.077,-0.0183,-0.0224,0.1379,0.3105,0.6635,1.951,4.58,0.0,True
,Component B F Sword,135,0.004116857770187851,4.319,3.728,0.121,0.712,0.376,-0.0005,-0.1155,0.0593,0.2296,0.5704,1.984,4.16,3e-05,True
,Component Sparring Gloves,192,0.005855086606489388,4.307,3.766,0.159,0.7,0.4,-0.0009,-0.1703,0.1146,0.2604,0.5156,2.117,4.57,0.0,True
populaire,Jeweled Gauntlet,12958,0.3951573554525494,3.795,3.786,0.179,0.188,0.149,-0.0707,-0.0412,0.1306,0.3008,0.6447,1.941,9.37,0.0,True
,Component Recurve Bow,305,0.00930104903635033,4.207,3.797,0.19,0.6,0.379,-0.0018,-0.1088,0.0787,0.2197,0.577,1.955,5.33,0.0,True
,Component Needlessly Large Rod,491,0.014973164186386924,4.096,3.816,0.209,0.489,0.315,-0.0031,-0.0668,0.1059,0.2138,0.6191,1.95,5.51,0.0,True
,Guinsoos Rageblade,2574,0.07849475481824836,3.955,3.885,0.278,0.348,0.271,-0.0218,-0.0721,0.108,0.2665,0.6138,1.94,8.78,0.0,True
