group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Executioner,4239,0.11477229652894352,3.042,3.126,-0.485,-0.57,-0.51,0.0557,0.1003,0.2663,0.472,0.7839,1.876,-18.69,0.0,True
populaire,Emblem Spellweaver,995,0.02693994693236584,3.414,3.498,-0.113,-0.198,-0.076,0.0031,0.04,0.194,0.3819,0.7236,1.932,-3.19,0.00145,True
populaire,Emblem Blackthorn,866,0.023447230194400825,3.49,3.546,-0.066,-0.122,0.0,0.0015,-0.0092,0.2206,0.4099,0.6744,2.08,-1.71,0.08704,False
populaire,Emblem Rapidfire,721,0.019521308279633942,3.54,3.576,-0.036,-0.072,0.0,0.0007,0.0265,0.1262,0.3481,0.7101,1.834,-1.05,0.29517,False
pepite,Emblem Slayer,131,0.0035468673850652514,3.374,3.576,-0.036,-0.238,0.0,0.0001,0.095,0.145,0.3511,0.7786,1.745,-1.56,0.11959,False
populaire,Emblem Invoker,591,0.016001516218118808,3.55,3.584,-0.028,-0.062,0.0,0.0004,0.0271,0.1574,0.3401,0.7107,1.902,-0.78,0.43277,False
populaire,Emblem Flora Fatalis,879,0.023799209400552336,3.586,3.598,-0.014,-0.026,0.0,0.0003,-0.0272,0.1797,0.3641,0.6564,1.975,-0.38,0.70064,False
pepite,Emblem Fae,100,0.0027075323550116424,3.54,3.603,-0.009,-0.072,0.0,0.0,-0.0336,0.22,0.35,0.65,1.997,-0.36,0.71956,False
pepite,Emblem Hunter,48,0.0012996155304055884,3.583,3.61,-0.002,-0.028,0.0,0.0,-0.0169,0.1667,0.3333,0.6667,1.742,-0.11,0.90995,False
,Emblem Vanguard,64,0.0017328207072074512,3.641,3.614,0.002,0.029,0.0,-0.0,0.0195,0.0781,0.3594,0.7031,1.797,0.13,0.89799,False
,Emblem Sprykin,46,0.0012454648833053555,3.848,3.626,0.014,0.236,0.0,-0.0,0.0121,0.087,0.2609,0.6957,1.956,0.82,0.41332,False
,Emblem Elderwood,61,0.001651594736557102,3.984,3.64,0.028,0.372,0.0,-0.0,-0.1098,0.1475,0.3607,0.5738,2.169,1.34,0.18091,False
populaire,Emblem Lunar,737,0.019954513456435806,3.673,3.642,0.031,0.061,0.0,-0.0006,0.003,0.133,0.3026,0.6866,1.869,0.88,0.37897,False
,Emblem Primal,146,0.003952997238316998,4.082,3.689,0.078,0.47,0.194,-0.0003,-0.1836,0.0822,0.226,0.5,1.698,3.34,0.00084,True
populaire,Emblem Blossom,549,0.014864352629013916,3.798,3.691,0.079,0.186,0.014,-0.0012,-0.0479,0.1694,0.3133,0.6357,2.047,2.12,0.0344,True
populaire,Emblem Inferno,406,0.010992581361347268,3.865,3.701,0.09,0.253,0.057,-0.001,-0.0654,0.133,0.303,0.6182,2.001,2.53,0.01133,True
populaire,Emblem Flora Fatalis Augment,975,0.026398440461363512,3.834,3.738,0.126,0.222,0.094,-0.0033,-0.0631,0.1549,0.3118,0.6205,2.018,3.4,0.00069,True
