group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Morellonomicon Radiant,56,0.0010297903641044502,3.607,3.558,0.003,0.051,0.0,-0.0,-0.0139,0.1786,0.3393,0.6786,2.024,0.19,0.84969,False
populaire,Archangels Staff Radiant,47,0.0008642883413019492,3.702,3.562,0.006,0.146,0.0,-0.0,-0.0329,0.1489,0.3191,0.6596,1.912,0.52,0.60015,False
populaire,Adaptive Helm Radiant,60,0.0011033468186833395,3.717,3.564,0.008,0.161,0.0,-0.0,-0.0258,0.2,0.3333,0.6667,2.13,0.58,0.55886,False
populaire,Blue Buff Radiant,93,0.0017101875689591762,3.742,3.571,0.015,0.186,0.0,-0.0,-0.0043,0.1183,0.2796,0.6882,1.813,0.99,0.32288,False
populaire,Hextech Gunblade Radiant,42,0.0007723427730783376,4.19,3.579,0.024,0.635,0.0,-0.0,-0.121,0.119,0.2381,0.5714,2.152,1.91,0.05605,False
populaire,Void Staff Radiant,135,0.002482530342037514,3.785,3.581,0.025,0.229,0.0,-0.0001,-0.048,0.1407,0.2667,0.6444,1.953,1.36,0.17295,False
populaire,Rabadons Deathcap Radiant,134,0.0024641412283927916,4.127,3.619,0.063,0.571,0.222,-0.0002,-0.0954,0.097,0.2537,0.597,2.06,3.2,0.00135,True
populaire,Nashors Tooth Radiant,106,0.0019492460463405663,4.292,3.621,0.065,0.737,0.317,-0.0001,-0.1641,0.1321,0.2453,0.5283,2.202,3.44,0.00058,True
populaire,Spear Of Shojin Radiant,166,0.003052592865023906,4.102,3.628,0.072,0.547,0.235,-0.0002,-0.0961,0.1145,0.2651,0.5964,2.044,3.44,0.00058,True
populaire,Jeweled Gauntlet Radiant,180,0.0033100404560500183,4.194,3.647,0.091,0.639,0.342,-0.0003,-0.1036,0.0944,0.2167,0.5889,2.025,4.22,2e-05,True
