group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Emblem Executioner + Void Staff,1348,0.03370421302662833,2.871,3.15,-0.47,-0.749,-0.651,0.0158,0.1372,0.2856,0.5171,0.819,1.805,-14.95,0.0,True
populaire,Emblem Executioner + Spear Of Shojin,1957,0.048931116389548696,2.993,3.175,-0.445,-0.626,-0.543,0.0218,0.1107,0.2647,0.4829,0.7925,1.843,-14.65,0.0,True
pepite,Emblem Executioner + Nashors Tooth,669,0.016727090886360794,2.969,3.323,-0.297,-0.651,-0.514,0.005,0.1238,0.2661,0.4843,0.8057,1.794,-9.3,0.0,True
pepite,Red Buff + Void Staff,1121,0.028028503562945367,3.26,3.41,-0.21,-0.359,-0.251,0.0059,0.0737,0.1945,0.405,0.7556,1.814,-6.53,0.0,True
pepite,Adaptive Helm + Void Staff,732,0.018302287785973245,3.21,3.424,-0.196,-0.409,-0.279,0.0036,0.0736,0.1981,0.4057,0.7555,1.779,-6.16,0.0,True
populaire,Spear Of Shojin + Void Staff,6583,0.16459557444680586,3.407,3.43,-0.19,-0.213,-0.164,0.0312,0.0464,0.1706,0.3808,0.7282,1.869,-8.52,0.0,True
pepite,Emblem Executioner + Blue Buff,292,0.00730091261407676,2.942,3.438,-0.181,-0.678,-0.455,0.0013,0.099,0.3151,0.5068,0.7808,1.939,-5.95,0.0,True
pepite,Emblem Executioner + Strikers Flail,335,0.008376047005875735,3.018,3.442,-0.178,-0.602,-0.403,0.0015,0.1301,0.2567,0.4776,0.8119,1.853,-5.92,0.0,True
,Emblem Executioner + Archangels Staff,197,0.004925615701962745,2.766,3.451,-0.169,-0.853,-0.621,0.0008,0.1811,0.2589,0.5381,0.8629,1.658,-7.2,0.0,True
,Blue Buff + Void Staff,1114,0.02785348168521065,3.334,3.453,-0.166,-0.286,-0.176,0.0046,0.0543,0.1876,0.3914,0.7361,1.841,-5.11,0.0,True
populaire,Morellonomicon + Void Staff,3082,0.07705963245405675,3.414,3.456,-0.164,-0.206,-0.138,0.0126,0.0388,0.17,0.3767,0.7206,1.851,-5.94,0.0,True
,Emblem Executioner + Morellonomicon,293,0.007325915739467433,3.041,3.465,-0.155,-0.579,-0.349,0.0011,0.0793,0.2935,0.5154,0.7611,1.998,-4.94,0.0,True
,Emblem Executioner + Rabadons Deathcap,573,0.014326790848856108,3.251,3.466,-0.154,-0.368,-0.214,0.0022,0.0791,0.2094,0.4014,0.7609,1.867,-4.69,0.0,True
,Adaptive Helm + Spear Of Shojin,610,0.015251906488311038,3.289,3.476,-0.143,-0.331,-0.194,0.0022,0.0919,0.1574,0.3787,0.7738,1.713,-4.73,0.0,True
,Archangels Staff + Void Staff,874,0.021852731591448932,3.351,3.48,-0.14,-0.268,-0.146,0.0031,0.0676,0.1773,0.3799,0.7494,1.823,-4.3,2e-05,True
,Adaptive Helm + Morellonomicon,394,0.00985123140392549,3.216,3.486,-0.133,-0.404,-0.234,0.0013,0.0796,0.1777,0.3959,0.7614,1.71,-4.66,0.0,True
populaire,Morellonomicon + Spear Of Shojin,3133,0.07833479184898112,3.466,3.497,-0.123,-0.154,-0.088,0.0096,0.0363,0.1503,0.3556,0.7182,1.822,-4.54,1e-05,True
,Emblem Executioner + Giant Slayer,224,0.005600700087510939,3.058,3.497,-0.123,-0.562,-0.307,0.0007,0.0994,0.2679,0.4732,0.7812,1.941,-4.32,2e-05,True
,Emblem Executioner + Jeweled Gauntlet,609,0.015226903362920366,3.338,3.498,-0.122,-0.281,-0.128,0.0019,0.0423,0.2299,0.3941,0.7241,1.919,-3.59,0.00033,True
,Blue Buff + Morellonomicon,613,0.01532691586448306,3.343,3.499,-0.12,-0.277,-0.139,0.0018,0.062,0.1517,0.3768,0.7439,1.728,-3.93,8e-05,True
,Emblem Spellweaver + Void Staff,330,0.008251031378922365,3.212,3.501,-0.119,-0.408,-0.208,0.001,0.1,0.2121,0.4121,0.7818,1.842,-4.0,6e-05,True
,Hextech Gunblade + Void Staff,724,0.018102262782847857,3.387,3.509,-0.111,-0.233,-0.101,0.002,0.0571,0.1506,0.3605,0.739,1.789,-3.47,0.00052,True
,Hextech Gunblade + Spear Of Shojin,988,0.02470308788598575,3.422,3.511,-0.109,-0.198,-0.081,0.0027,0.0449,0.1711,0.3674,0.7267,1.854,-3.31,0.00094,True
,Archangels Staff + Blue Buff,393,0.009826228278534816,3.293,3.512,-0.108,-0.327,-0.144,0.0011,0.0815,0.1858,0.3995,0.7634,1.845,-3.5,0.00047,True
,Emblem Executioner + Emblem Flora Fatalis,90,0.002250281285160645,2.567,3.513,-0.107,-1.053,-0.669,0.0002,0.1404,0.4,0.6111,0.8222,1.856,-5.38,0.0,True
,Emblem Executioner + Hextech Gunblade,144,0.0036004500562570323,2.979,3.522,-0.098,-0.641,-0.314,0.0004,0.1098,0.3333,0.5139,0.7917,1.998,-3.84,0.00012,True
,Emblem Executioner + Red Buff,168,0.004200525065633204,3.06,3.523,-0.097,-0.56,-0.262,0.0004,0.0741,0.3036,0.4881,0.756,1.966,-3.69,0.00023,True
,Emblem Executioner + Adaptive Helm,154,0.0038504813101637703,3.032,3.525,-0.095,-0.587,-0.305,0.0004,0.0974,0.2403,0.461,0.7792,1.782,-4.08,4e-05,True
,Emblem Spellweaver + Morellonomicon,154,0.0038504813101637703,3.045,3.527,-0.093,-0.574,-0.303,0.0004,0.1363,0.2208,0.4351,0.8182,1.714,-4.15,3e-05,True
,Adaptive Helm + Hextech Gunblade,177,0.004425553194149268,3.119,3.529,-0.091,-0.501,-0.256,0.0004,0.1374,0.1469,0.435,0.8192,1.661,-4.0,6e-05,True
,Rabadons Deathcap + Void Staff,1503,0.03757969746218277,3.486,3.533,-0.087,-0.133,-0.037,0.0033,0.0421,0.1657,0.3526,0.7239,1.868,-2.71,0.00664,True
,Emblem Blackthorn + Void Staff,149,0.0037254656832104013,3.067,3.533,-0.087,-0.553,-0.216,0.0003,0.0497,0.3289,0.5235,0.7315,2.091,-3.22,0.00128,True
,Red Buff + Spear Of Shojin,1204,0.030103762970371296,3.476,3.533,-0.086,-0.144,-0.037,0.0026,0.0308,0.1503,0.3654,0.7126,1.858,-2.64,0.00819,True
,Archangels Staff + Spear Of Shojin,1388,0.034704338042255284,3.486,3.535,-0.085,-0.133,-0.03,0.0029,0.0307,0.1679,0.3667,0.7125,1.924,-2.54,0.01109,True
,Emblem Executioner + Guinsoos Rageblade,118,0.0029503687960995124,2.966,3.536,-0.084,-0.654,-0.343,0.0002,0.1402,0.2712,0.4237,0.822,1.717,-4.13,4e-05,True
,Adaptive Helm + Red Buff,174,0.004350543817977247,3.155,3.537,-0.083,-0.465,-0.191,0.0004,0.0825,0.2299,0.4368,0.7644,1.836,-3.33,0.00087,True
,Giant Slayer + Hextech Gunblade,190,0.004750593824228029,3.189,3.537,-0.083,-0.43,-0.187,0.0004,0.0866,0.1789,0.4105,0.7684,1.703,-3.47,0.00052,True
,Archangels Staff + Morellonomicon,401,0.010026253281660208,3.374,3.538,-0.082,-0.246,-0.075,0.0008,0.0663,0.1521,0.3441,0.7481,1.731,-2.82,0.00474,True
,Adaptive Helm + Archangels Staff,197,0.004925615701962745,3.213,3.539,-0.08,-0.407,-0.159,0.0004,0.0897,0.1675,0.4112,0.7716,1.764,-3.23,0.00126,True
populaire,Rabadons Deathcap + Spear Of Shojin,2825,0.07063382922865358,3.533,3.552,-0.068,-0.087,-0.016,0.0048,0.0268,0.1455,0.3434,0.7087,1.86,-2.39,0.01697,True
,Nashors Tooth + Void Staff,898,0.022452806600825104,3.501,3.557,-0.063,-0.119,0.0,0.0014,0.0342,0.1659,0.3541,0.716,1.885,-1.86,0.06227,False
,Adaptive Helm + Rabadons Deathcap,275,0.006875859482435304,3.378,3.558,-0.062,-0.242,-0.017,0.0004,0.0563,0.1964,0.3745,0.7382,1.892,-2.11,0.0349,True
