group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Alune Unique Trait,10514,0.14324055530578603,2.903,2.988,-0.609,-0.694,-0.658,0.0872,0.1343,0.2491,0.4973,0.8195,1.738,-37.67,0.0,True
pepite,Executioner,12001,0.16349913488917045,2.951,3.021,-0.576,-0.647,-0.612,0.0942,0.121,0.248,0.4895,0.8062,1.771,-36.54,0.0,True
pepite,Lux Unique Trait,6223,0.08478086129616763,2.891,3.026,-0.572,-0.707,-0.659,0.0485,0.1223,0.2761,0.5174,0.8075,1.817,-29.27,0.0,True
pepite,Hunter,4727,0.06439966757946076,2.881,3.051,-0.547,-0.717,-0.664,0.0352,0.1285,0.274,0.5151,0.8136,1.791,-26.52,0.0,True
pepite,Greenfather,10175,0.13862208961730765,3.084,3.149,-0.449,-0.514,-0.474,0.0622,0.0914,0.2491,0.4666,0.7766,1.883,-25.66,0.0,True
pepite,Emerald,13713,0.18682306780561572,3.125,3.171,-0.426,-0.472,-0.439,0.0797,0.0948,0.2128,0.449,0.78,1.815,-27.61,0.0,True
,Lunar,2863,0.039004918189125486,2.968,3.181,-0.416,-0.63,-0.566,0.0162,0.1311,0.2263,0.4691,0.8163,1.714,-19.18,0.0,True
,Brawler,14237,0.19396193512349968,3.17,3.21,-0.388,-0.428,-0.394,0.0752,0.0787,0.2194,0.4426,0.7639,1.862,-24.88,0.0,True
,Inferno,3413,0.046498004114385365,3.145,3.281,-0.317,-0.453,-0.389,0.0147,0.0828,0.2209,0.4462,0.7679,1.855,-13.9,0.0,True
,Blossom,6053,0.08246481655563276,3.221,3.295,-0.303,-0.376,-0.326,0.025,0.0617,0.2248,0.4371,0.7469,1.909,-14.71,0.0,True
,Vanguard,8383,0.11420825329355186,3.242,3.295,-0.302,-0.355,-0.315,0.0345,0.0907,0.1702,0.3969,0.7759,1.751,-17.38,0.0,True
,Lunar,803,0.010939905450879415,2.787,3.311,-0.287,-0.81,-0.696,0.0031,0.1592,0.2528,0.528,0.8443,1.635,-13.94,0.0,True
populaire,Inferno,23385,0.31859238974945847,3.299,3.317,-0.281,-0.298,-0.27,0.0894,0.0577,0.1965,0.4065,0.7429,1.872,-20.98,0.0,True
,Maokai Unique Trait,13932,0.18980667838312829,3.311,3.338,-0.259,-0.286,-0.251,0.0492,0.0471,0.212,0.4131,0.7323,1.931,-16.01,0.0,True
,Sprykin,2324,0.031661693982370814,3.191,3.348,-0.249,-0.406,-0.333,0.0079,0.0906,0.1837,0.4182,0.7758,1.765,-10.89,0.0,True
