group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Gnar Small,10523,0.13996329006171526,2.85,2.941,-0.631,-0.721,-0.684,0.0882,0.1313,0.2744,0.5187,0.822,1.765,-38.7,0.0,True
pepite,Ashe,8554,0.11377420727814429,2.839,2.948,-0.623,-0.732,-0.692,0.0708,0.1329,0.2774,0.5199,0.8237,1.759,-36.04,0.0,True
pepite,Alune,10513,0.13983028303894446,2.879,2.966,-0.605,-0.692,-0.656,0.0846,0.1356,0.2537,0.5052,0.8263,1.737,-37.63,0.0,True
pepite,Lux Base,6571,0.08739891466269419,2.846,2.981,-0.59,-0.725,-0.68,0.0516,0.1265,0.2844,0.5244,0.8172,1.795,-31.18,0.0,True
pepite,Ivern,10246,0.13627899553096404,3.056,3.122,-0.449,-0.515,-0.476,0.0612,0.088,0.2515,0.4746,0.7787,1.874,-25.97,0.0,True
populaire,Kennen,25638,0.34100340497978293,3.099,3.125,-0.446,-0.472,-0.446,0.152,0.0904,0.2204,0.4505,0.7812,1.807,-35.35,0.0,True
pepite,Taric,14441,0.1920754415833156,3.081,3.128,-0.443,-0.49,-0.457,0.0852,0.0995,0.2121,0.4584,0.7902,1.784,-29.74,0.0,True
,Sivir,8993,0.11961321557778251,3.258,3.303,-0.268,-0.313,-0.27,0.0321,0.0506,0.2245,0.4307,0.7414,1.937,-14.46,0.0,True
,Maokai,12893,0.1714859544583954,3.295,3.324,-0.247,-0.276,-0.24,0.0424,0.0479,0.2143,0.4161,0.7387,1.932,-14.98,0.0,True
,Aphelios,12000,0.15960842732496275,3.316,3.345,-0.226,-0.255,-0.22,0.0361,0.0688,0.1568,0.3867,0.7596,1.774,-14.39,0.0,True
,Brambleback,11416,0.15184081719514791,3.326,3.354,-0.217,-0.246,-0.21,0.0329,0.0675,0.1543,0.3865,0.7582,1.778,-13.56,0.0,True
populaire,Ahri,18586,0.24720685252181315,3.413,3.424,-0.147,-0.158,-0.127,0.0362,0.0235,0.1976,0.3926,0.7143,1.953,-9.91,0.0,True
populaire,Sett,16433,0.21857044051925942,3.412,3.425,-0.146,-0.159,-0.126,0.0319,0.0213,0.2026,0.3972,0.7121,1.971,-9.4,0.0,True
,Karma,13989,0.18606352415407534,3.412,3.428,-0.143,-0.159,-0.123,0.0267,0.0222,0.2019,0.3956,0.713,1.97,-8.77,0.0,True
,Hecarim,11220,0.14923387954884018,3.413,3.432,-0.139,-0.158,-0.121,0.0207,0.0458,0.1541,0.372,0.7365,1.836,-8.41,0.0,True
,Crimson Raptor,13805,0.18361619493509257,3.427,3.441,-0.13,-0.144,-0.111,0.0239,0.0451,0.1473,0.3648,0.7358,1.813,-8.48,0.0,True
populaire,Diana,17047,0.2267370717173867,3.455,3.464,-0.107,-0.116,-0.085,0.0242,0.0352,0.1541,0.3659,0.7259,1.859,-7.28,0.0,True
,Sentinel,15982,0.21257182379229622,3.469,3.478,-0.093,-0.102,-0.069,0.0197,0.032,0.152,0.3647,0.7228,1.868,-6.19,0.0,True
,Kha Zix,1347,0.01791604596722707,3.419,3.499,-0.072,-0.152,-0.049,0.0013,0.0316,0.1782,0.3898,0.7223,1.912,-2.9,0.00377,True
,Rengar,396,0.005267078101723771,3.323,3.519,-0.052,-0.248,-0.062,0.0003,0.0567,0.1768,0.4066,0.7475,1.879,-2.62,0.00889,True
,Kayle,219,0.0029128537986805704,3.174,3.52,-0.051,-0.398,-0.157,0.0001,0.0992,0.1826,0.4429,0.79,1.812,-3.24,0.00119,True
,Vi,14045,0.18680836348159183,3.527,3.531,-0.04,-0.044,-0.008,0.0074,0.0012,0.185,0.3733,0.692,1.991,-2.42,0.01573,True
,Elder Dragon,791,0.010520855501170462,3.47,3.536,-0.035,-0.101,0.0,0.0004,0.021,0.1669,0.3679,0.7118,1.906,-1.48,0.13943,False
,Teemo,329,0.004375931049159396,3.435,3.547,-0.024,-0.136,0.0,0.0001,0.0205,0.1429,0.3739,0.7112,1.789,-1.38,0.16784,False
populaire,Yorick,40644,0.5405937433496488,3.547,3.548,-0.023,-0.024,-0.001,0.0127,0.0032,0.1701,0.358,0.6939,1.95,-2.03,0.04262,True
,Morgana,3731,0.049624920195786335,3.553,3.558,-0.013,-0.018,0.0,0.0006,-0.0003,0.1646,0.3726,0.6904,1.987,-0.54,0.58687,False
,Kog Maw A D,1790,0.023808257075973612,3.571,3.571,-0.0,-0.0,0.0,0.0,0.0109,0.1592,0.3559,0.7017,1.954,-0.0,0.9987,False
,Ezreal,7454,0.09914343477335603,3.575,3.574,0.003,0.004,0.0,-0.0003,0.0014,0.1572,0.3535,0.6921,1.94,0.16,0.87079,False
populaire,Amumu,34328,0.4565865077676101,3.588,3.587,0.016,0.017,0.0,-0.0072,-0.0048,0.1653,0.3503,0.6859,1.959,1.3,0.19446,False
,Draven,1230,0.016359863800808682,3.612,3.59,0.019,0.041,0.0,-0.0003,-0.0135,0.1862,0.3642,0.6772,2.052,0.7,0.48491,False
,Sentry,1031,0.013713024047669716,3.626,3.593,0.022,0.055,0.0,-0.0003,0.0066,0.1164,0.3278,0.6974,1.857,0.94,0.34894,False
,Krug,3136,0.0417110023409236,3.608,3.596,0.025,0.037,0.0,-0.001,0.0038,0.1342,0.3438,0.6945,1.904,1.06,0.28992,False
,Murkwolf,910,0.01210363907214301,3.653,3.602,0.031,0.082,0.0,-0.0004,0.0037,0.0978,0.3242,0.6945,1.815,1.35,0.17728,False
,Kobuko,1684,0.022398382634603108,3.655,3.615,0.044,0.084,0.0,-0.001,-0.0067,0.1348,0.3195,0.6841,1.877,1.81,0.06974,True
,Xayah,772,0.010268142157905938,3.712,3.619,0.048,0.141,0.003,-0.0005,-0.0275,0.1386,0.3277,0.6632,1.958,2.0,0.0459,True
,Rammus,3299,0.04387901681208768,3.65,3.625,0.054,0.079,0.012,-0.0024,-0.0154,0.1449,0.3371,0.6754,1.93,2.31,0.02115,True
populaire,Malphite,40501,0.5386917429240264,3.631,3.629,0.058,0.06,0.036,-0.0313,-0.0124,0.1577,0.3429,0.6784,1.966,4.98,0.0,True
,Lillia,9536,0.12683549691423707,3.639,3.63,0.059,0.068,0.026,-0.0075,-0.015,0.1568,0.3413,0.6758,1.966,3.19,0.00142,True
,Gromp A P,549,0.007302085550117046,3.794,3.631,0.06,0.223,0.074,-0.0004,-0.015,0.0565,0.2878,0.6758,1.78,2.92,0.00345,True
populaire,Soraka,37924,0.5044158331559906,3.635,3.632,0.061,0.064,0.039,-0.0308,-0.0117,0.1559,0.3405,0.679,1.961,5.15,0.0,True
,Veigar,5921,0.07875345818259204,3.649,3.634,0.062,0.078,0.026,-0.0049,-0.0181,0.1547,0.3412,0.6727,1.973,2.94,0.00324,True
populaire,Fiddlesticks,36016,0.47903809321132157,3.639,3.637,0.066,0.068,0.044,-0.0314,-0.0129,0.1573,0.341,0.6779,1.969,5.43,0.0,True
,Tristana,508,0.006756756756756757,3.852,3.642,0.071,0.281,0.112,-0.0005,-0.0589,0.1299,0.2894,0.6319,1.936,3.26,0.0011,True
,Rek Sai,7228,0.0961374760587359,3.671,3.654,0.083,0.1,0.052,-0.0079,-0.0217,0.1467,0.3395,0.6691,1.967,4.12,4e-05,True
populaire,Azir,44235,0.5883565652266439,3.659,3.656,0.085,0.088,0.065,-0.0502,-0.0176,0.1542,0.3367,0.6731,1.968,7.5,0.0,True
,Cinderling,564,0.00750159608427325,3.883,3.656,0.085,0.312,0.164,-0.0006,-0.0223,0.0567,0.2535,0.6684,1.791,4.12,4e-05,True
,Le Blanc,1133,0.0150696956799319,3.777,3.659,0.088,0.206,0.087,-0.0013,-0.0482,0.1598,0.3248,0.6425,2.026,3.39,0.00069,True
,Leona,293,0.0038971057671845074,4.198,3.673,0.102,0.627,0.392,-0.0004,-0.1379,0.1229,0.2526,0.5529,2.051,5.22,0.0,True
,Warwick,3311,0.04403862523941264,3.756,3.698,0.127,0.185,0.115,-0.0056,-0.0414,0.1407,0.3298,0.6494,1.992,5.22,0.0,True
,Varus,712,0.009470100021281123,4.039,3.722,0.15,0.468,0.326,-0.0014,-0.1009,0.0955,0.2598,0.5899,1.934,6.43,0.0,True
,Rakan,7605,0.10115184081719515,3.76,3.729,0.158,0.189,0.143,-0.016,-0.0354,0.1352,0.3098,0.6554,1.957,8.04,0.0,True
,Scuttlecrab,2230,0.029660566077888913,3.851,3.738,0.167,0.28,0.199,-0.005,-0.0428,0.0973,0.2874,0.648,1.904,6.83,0.0,True
