comp,champ,games,share_of_meta,avg_place,top4,win,erreur
Sivir,DA_18_Sivir,71516,0.05682,3.37,0.7222,0.204,
Sett,DA_18_Sett,117241,0.09314,3.413,0.7072,0.2108,
Ahri,DA_18_Ahri,123307,0.09796,3.473,0.6945,0.2078,
Sentinel,DA_Sentinel18,135429,0.10759,3.477,0.7112,0.172,
Ezreal,DA_18_Ezreal,63338,0.05032,3.522,0.68,0.2152,
Lillia,DA_18_Lillia,54261,0.04311,3.525,0.6873,0.1919,
Aphelios,DA_18_Aphelios,87895,0.06983,3.529,0.6932,0.1754,
Zyra,DA_18_Zyra,54380,0.0432,3.556,0.6924,0.1651,
Morgana,DA_18_Morgana,92446,0.07344,3.574,0.6872,0.1704,
Brambleback,DA_Brambleback18,56580,0.04495,3.602,0.6921,0.1394,
Nidalee A P,DA_Nidalee18_AP,83076,0.066,3.664,0.6779,0.1356,
Soraka,DA_18_Soraka,56213,0.04466,3.711,0.6567,0.1608,
Malphite,DA_18_Malphite,63816,0.0507,3.822,0.6406,0.1345,
Amumu,DA_Amumu18,52700,0.04187,3.869,0.6203,0.1558,
